"fraud_case_id","transaction_id","cardholder_id","card_id","alert_date","fraud_type","investigation_status","chargeback_amount","loss_amount","model_score"
"23","69843","16038","9113","2025-08-07","merchant_collusion","under_review","5651.51","61.57","0.436"
"24","42795","17514","3023","2025-05-25","card_not_present","under_review","6129.22","1063.8","0.662"
"25","75462","8453","6374","2025-07-02","card_not_present","recovered","249.18","4842.26","0.201"
"26","79053","953","8616","2025-09-27","card_not_present","confirmed_fraud","5543.13","2556.56","0.029"
"27","19917","6451","1473","2025-06-10","merchant_collusion","recovered","6568.8","1118.91","0.7"
"28","90847","10006","7130","2025-05-09","account_takeover","false_positive","739.5","3529.0","0.195"
"29","4606","2089","8413","2025-01-05","merchant_collusion","under_review","7264.63","5076.14","0.826"
"30","6474","17954","3479","2025-07-16","identity_theft","false_positive","1740.35","3371.73","0.993"
"31","15225","10956","3459","2025-06-28","account_takeover","confirmed_fraud","3498.38","2252.22","0.449"
"32","58851","10414","15780","2025-09-01","account_takeover","confirmed_fraud","7622.51","3700.5","0.352"
"33","69915","14651","19102","2025-04-20","counterfeit","false_positive","5452.4","5120.91","0.673"
"34","60762","16405","10834","2025-09-24","counterfeit","confirmed_fraud","96.5","1730.14","0.565"
"35","33565","4347","5172","2025-05-21","account_takeover","under_review","7719.8","3425.53","0.91"
"36","157316","7945","18065","2025-01-26","identity_theft","confirmed_fraud","3131.43","3245.65","0.786"
"37","169608","10795","21912","2025-07-27","card_not_present","recovered","720.76","2731.31","0.16"
"38","8836","14972","13677","2025-07-31","merchant_collusion","under_review","7778.67","1050.91","0.894"
"39","133893","12707","21511","2025-12-14","friendly_fraud","under_review","3467.53","3930.15","0.014"
"40","77362","9756","21465","2025-08-26","account_takeover","confirmed_fraud","3473.58","2819.07","0.331"
"41","54704","17034","10792","2025-05-09","card_not_present","confirmed_fraud","5084.55","2069.45","0.908"
"42","81723","843","12822","2025-07-25","identity_theft","recovered","6278.26","2808.84","0.18"
"43","108615","3744","20102","2025-03-24","identity_theft","false_positive","6843.61","1084.49","0.626"
"44","131822","9797","2751","2025-02-08","card_not_present","recovered","5976.71","4192.69","0.419"
"45","61552","2978","22308","2025-04-15","friendly_fraud","confirmed_fraud","875.03","5918.62","0.865"
"46","46502","14527","21039","2025-06-27","counterfeit","recovered","7663.5","5976.5","0.649"
"47","63373","16665","7155","2025-04-29","account_takeover","recovered","3338.6","684.2","0.808"
"48","13851","15130","2765","2025-05-02","account_takeover","confirmed_fraud","6835.46","1616.22","0.596"
"49","121294","17659","11287","2025-03-31","counterfeit","false_positive","4740.56","534.45","0.88"
"50","4833","11997","19882","2025-04-07","friendly_fraud","confirmed_fraud","2447.11","1906.0","0.569"
"51","84312","5244","19566","2025-07-29","account_takeover","false_positive","7945.98","73.52","0.311"
"52","85722","5140","9074","2025-03-31","card_not_present","confirmed_fraud","4806.15","2484.5","0.911"
"53","177813","4587","20616","2025-02-12","card_not_present","recovered","5495.94","4079.78","0.83"
"54","13104","2651","4443","2025-12-24","account_takeover","recovered","6359.21","2178.51","0.631"
"55","135426","13229","6962","2025-10-08","merchant_collusion","false_positive","7519.6","3266.45","0.989"
"56","51829","554","8752","2025-02-05","counterfeit","confirmed_fraud","3326.7","5799.89","0.259"
"57","84996","13575","24058","2025-10-25","merchant_collusion","under_review","6945.72","2408.77","0.327"
"58","14428","9723","8417","2025-08-05","identity_theft","confirmed_fraud","6161.28","4469.88","0.411"
"59","81137","381","23926","2025-05-23","account_takeover","recovered","4126.94","3337.23","0.876"
"60","57113","16526","18645","2025-11-16","friendly_fraud","confirmed_fraud","4444.96","133.93","0.47"
"61","72040","11990","13552","2025-05-21","merchant_collusion","recovered","6756.72","1675.45","0.339"
"62","47289","9853","4290","2025-12-15","card_not_present","under_review","628.82","5311.9","0.373"
"63","98463","7301","18752","2025-09-30","account_takeover","false_positive","6802.78","4788.21","0.784"
"64","166827","12330","19695","2025-09-05","counterfeit","confirmed_fraud","3205.71","5912.43","0.105"
"65","71855","8730","8740","2025-12-23","card_not_present","confirmed_fraud","104.49","1354.23","0.864"
"66","120844","12640","5206","2025-07-23","counterfeit","false_positive","7059.54","215.57","0.819"
"67","9981","6006","18013","2025-06-29","identity_theft","confirmed_fraud","6773.1","990.62","0.667"
"68","72167","10647","18813","2025-07-02","identity_theft","false_positive","4624.72","3521.96","0.875"
"69","134840","13433","19053","2025-08-01","counterfeit","confirmed_fraud","4062.97","1513.83","0.028"
"70","92702","14582","4451","2025-07-03","identity_theft","under_review","2409.59","883.72","0.298"
"71","531","8522","22980","2025-05-25","account_takeover","confirmed_fraud","3560.36","3782.56","0.795"
"72","14607","7564","10420","2025-08-17","friendly_fraud","confirmed_fraud","94.77","5031.46","0.157"
"73","123732","17138","4807","2025-04-13","identity_theft","recovered","2045.71","4336.7","0.39"
"74","121338","14470","11179","2025-08-13","counterfeit","false_positive","6562.57","3484.61","0.329"
"75","84857","1961","16587","2025-01-23","card_not_present","recovered","5514.72","4550.67","0.438"
"76","6880","7586","8405","2025-11-26","card_not_present","recovered","1284.28","1061.24","0.615"
"77","98910","12460","2744","2025-02-16","friendly_fraud","under_review","2257.15","917.28","0.922"
"78","103952","12049","21833","2025-01-11","card_not_present","under_review","2062.77","2601.43","0.107"
"79","43002","5675","20650","2025-01-04","counterfeit","false_positive","6747.23","2305.75","0.204"
"80","102107","9245","22790","2025-07-27","identity_theft","recovered","2656.74","1212.64","0.724"
"81","168792","9028","16331","2025-03-07","identity_theft","confirmed_fraud","4226.23","565.81","0.037"
"82","136307","1547","20270","2025-10-07","identity_theft","recovered","4002.23","4615.63","0.938"
"83","134431","12613","5678","2025-10-06","account_takeover","under_review","7999.63","5156.0","0.531"
"84","112269","6532","2238","2025-08-31","friendly_fraud","false_positive","2646.18","5468.58","0.128"
"85","21684","10077","18625","2025-01-13","counterfeit","under_review","1430.44","839.14","0.974"
"86","110931","7002","13620","2025-09-18","counterfeit","recovered","3553.8","4515.5","0.034"
"87","66292","3343","10220","2025-11-29","friendly_fraud","under_review","4205.7","5152.02","0.238"
"88","43370","4879","22961","2025-03-27","card_not_present","false_positive","6393.48","2516.46","0.511"
"89","131332","13229","1636","2025-03-22","merchant_collusion","false_positive","1295.17","1106.14","0.113"
"90","77143","8513","22237","2025-09-17","identity_theft","recovered","2183.55","5950.1","0.645"
"91","146150","14611","7440","2025-10-10","card_not_present","false_positive","2003.53","1359.03","0.489"
"92","126009","10584","8026","2025-01-09","merchant_collusion","recovered","3900.16","3733.86","0.69"
"93","33919","3653","3218","2025-11-24","merchant_collusion","confirmed_fraud","5874.42","887.25","0.198"
"94","161818","2483","4403","2025-01-17","identity_theft","confirmed_fraud","784.39","376.04","0.094"
"95","99800","1725","23563","2025-09-23","merchant_collusion","under_review","7891.77","5945.97","0.32"
"96","5807","12939","6420","2025-04-11","friendly_fraud","under_review","6485.43","1140.12","0.411"
"97","75341","17757","21566","2025-02-01","identity_theft","confirmed_fraud","7351.58","1935.84","0.713"
"98","1789","3186","6415","2025-03-22","merchant_collusion","recovered","7475.8","1350.38","0.473"
"99","8923","2926","8537","2025-06-05","identity_theft","confirmed_fraud","2700.66","2483.92","0.914"
"100","132730","6814","7736","2025-10-11","identity_theft","confirmed_fraud","5051.19","5648.03","0.706"
"101","77829","16099","3264","2025-08-07","card_not_present","recovered","407.23","5646.73","0.872"
"102","92528","5648","3386","2025-02-07","identity_theft","under_review","7201.14","5808.6","0.589"
"103","128705","6846","12333","2025-09-17","counterfeit","recovered","5369.0","4447.26","0.96"
"104","43477","169","5047","2025-01-24","counterfeit","under_review","2378.91","5229.38","0.656"
"105","4212","13915","16911","2025-01-14","friendly_fraud","confirmed_fraud","7096.17","1593.87","0.56"
"106","70515","11651","6230","2025-01-26","merchant_collusion","false_positive","5449.92","1733.07","0.33"
"107","40009","1921","8190","2025-04-08","account_takeover","under_review","5119.91","1576.18","0.843"
"108","128929","14003","3094","2025-08-29","identity_theft","confirmed_fraud","4931.28","2992.4","0.807"
"109","120504","13344","14790","2025-10-11","friendly_fraud","recovered","585.96","2124.1","0.552"
"110","133481","2278","9139","2025-10-10","account_takeover","false_positive","2105.48","1270.3","0.149"
"111","10582","11721","6621","2025-06-11","account_takeover","under_review","3314.94","2264.17","0.983"
"112","169008","2912","17707","2025-03-07","account_takeover","confirmed_fraud","7230.86","5486.73","0.328"
"113","43137","12278","9121","2025-09-17","card_not_present","recovered","1363.36","5051.77","0.471"
"114","108194","2136","6542","2025-03-14","counterfeit","recovered","4054.69","5364.56","0.673"
"115","59225","12561","14978","2025-06-18","card_not_present","false_positive","1330.38","2352.56","0.901"
"116","27095","17683","23777","2025-11-11","counterfeit","recovered","662.77","1349.76","0.463"
"117","93763","13512","11335","2025-05-28","counterfeit","confirmed_fraud","5817.75","3607.32","0.067"
"118","35645","10796","7615","2025-02-04","friendly_fraud","false_positive","5688.63","3300.49","0.832"
"119","145044","11873","23643","2025-10-22","account_takeover","under_review","7715.29","5986.83","0.366"
"120","111215","3033","511","2025-09-16","identity_theft","under_review","3940.65","940.65","0.344"
"121","149691","6807","9367","2025-05-24","merchant_collusion","under_review","5559.52","14.6","0.818"
"122","29545","8418","8334","2025-01-17","counterfeit","confirmed_fraud","3414.51","1315.47","0.731"
"123","75221","4217","5695","2025-06-19","counterfeit","confirmed_fraud","237.74","3105.46","0.578"
"124","42343","13515","7741","2025-10-03","counterfeit","under_review","5988.12","871.33","0.105"
"125","30828","14108","241","2025-05-27","account_takeover","confirmed_fraud","3905.41","1107.44","0.785"
"126","30601","8027","9706","2025-09-08","friendly_fraud","confirmed_fraud","1161.44","2721.27","0.921"
"127","98366","10847","13114","2025-10-01","friendly_fraud","recovered","5764.42","4738.2","0.608"
"128","45223","11968","9399","2025-06-17","identity_theft","false_positive","6322.93","2968.42","0.2"
"129","143805","14814","811","2025-02-10","card_not_present","false_positive","1939.52","507.85","0.531"
"130","141931","14164","15029","2025-03-18","account_takeover","false_positive","1564.44","4581.68","0.394"
"131","59683","12354","9101","2025-07-08","friendly_fraud","false_positive","7902.0","268.69","0.199"
"132","13603","15327","1517","2025-02-10","merchant_collusion","confirmed_fraud","7883.67","2921.29","0.75"
"133","164757","1651","18371","2025-10-27","identity_theft","confirmed_fraud","6677.63","3168.25","0.334"
"134","89412","4170","9253","2025-10-02","account_takeover","confirmed_fraud","6737.54","4262.69","0.799"
"135","96627","16413","23209","2025-02-27","account_takeover","confirmed_fraud","455.3","4463.0","0.836"
"136","135720","10652","9087","2025-12-22","merchant_collusion","confirmed_fraud","1290.03","5124.97","0.99"
"137","40879","9990","3795","2025-04-10","counterfeit","under_review","1792.72","5646.97","0.627"
"138","47087","14551","14501","2025-01-17","friendly_fraud","confirmed_fraud","2540.47","857.94","0.233"
"139","67578","13376","12878","2025-10-03","friendly_fraud","confirmed_fraud","2746.27","4379.57","0.017"
"140","25719","10574","21549","2025-02-28","counterfeit","under_review","7895.36","5247.66","0.726"
"141","176498","9750","20339","2025-05-01","friendly_fraud","false_positive","6939.76","1914.17","0.668"
"142","54842","5256","17095","2025-03-20","identity_theft","under_review","4769.63","3381.39","0.401"
"143","98549","3875","15631","2025-02-03","account_takeover","recovered","5133.86","4534.0","0.752"
"144","110379","7396","22805","2025-12-08","identity_theft","recovered","4566.26","2294.49","0.715"
"145","16809","2253","8482","2025-05-05","card_not_present","under_review","6163.03","724.71","0.149"
"146","104535","6442","4461","2025-06-22","identity_theft","under_review","2498.18","2777.62","0.426"
"147","135248","15375","13301","2025-09-28","friendly_fraud","under_review","419.36","4498.32","0.738"
"148","70689","3456","11476","2025-01-19","identity_theft","under_review","79.08","429.3","0.506"
"149","63602","3639","9151","2025-11-16","account_takeover","confirmed_fraud","6318.49","1574.41","0.123"
"150","24918","14365","20189","2025-12-06","counterfeit","confirmed_fraud","506.25","2990.52","0.377"
"151","49158","6118","10285","2025-09-02","card_not_present","confirmed_fraud","7413.43","3103.6","0.473"
"152","43103","12528","5737","2025-03-25","account_takeover","under_review","3905.55","2714.29","0.532"
"153","118506","4328","23035","2025-04-05","friendly_fraud","recovered","1359.22","1658.89","0.282"
"154","146592","6086","5520","2025-05-23","card_not_present","recovered","2790.4","3946.44","0.336"
"155","71369","6537","11925","2025-09-21","merchant_collusion","recovered","6095.69","3438.12","0.34"
"156","51936","8470","11073","2025-10-27","friendly_fraud","recovered","929.95","3465.18","0.889"
"157","132692","5993","12199","2025-10-01","account_takeover","under_review","4880.36","3705.22","0.859"
"158","12760","240","1796","2025-09-06","account_takeover","false_positive","2363.22","855.53","0.079"
"159","27911","15156","3778","2025-04-01","card_not_present","confirmed_fraud","1447.01","5949.66","0.207"
"160","176549","3768","8746","2025-07-16","identity_theft","under_review","7366.21","677.54","0.444"
"161","1446","15736","19097","2025-11-28","identity_theft","recovered","532.53","2622.37","0.604"
"162","110226","2879","19448","2025-12-13","merchant_collusion","false_positive","5265.14","4272.75","0.113"
"163","25160","6291","6571","2025-08-28","card_not_present","confirmed_fraud","5227.15","5678.31","0.088"
"164","61817","16335","2938","2025-09-30","merchant_collusion","confirmed_fraud","464.57","1764.18","0.538"
"165","125074","12265","20853","2025-12-01","card_not_present","confirmed_fraud","26.64","1092.32","0.567"
"166","98672","718","15268","2025-03-21","account_takeover","false_positive","1866.3","3589.12","0.215"
"167","65560","5030","17241","2025-11-22","friendly_fraud","confirmed_fraud","4725.88","1242.11","0.505"
"168","117277","13043","8544","2025-03-28","card_not_present","false_positive","3753.25","3532.58","0.165"
"169","136953","13745","16958","2025-10-18","merchant_collusion","false_positive","7962.84","2763.34","0.838"
"170","167399","16195","10076","2025-07-11","counterfeit","confirmed_fraud","1359.38","857.35","0.205"
"171","130003","14236","18754","2025-09-08","identity_theft","recovered","4651.32","3173.22","0.164"
"172","133682","1979","8192","2025-02-12","counterfeit","under_review","5892.23","3477.77","0.512"
"173","103744","16948","997","2025-08-04","friendly_fraud","false_positive","251.67","1096.32","0.904"
"174","17719","14861","19429","2025-08-30","merchant_collusion","false_positive","1046.64","3737.87","0.945"
"175","145403","15842","12018","2025-01-10","account_takeover","under_review","4967.65","3159.71","0.733"
"176","96346","9961","1693","2025-01-20","friendly_fraud","false_positive","2776.98","930.18","0.287"
"177","46449","3693","6673","2025-12-04","identity_theft","recovered","6125.27","5784.25","0.757"
"178","72423","6200","2504","2025-05-24","identity_theft","false_positive","4366.56","4101.62","0.831"
"179","37930","7622","7789","2025-05-31","merchant_collusion","false_positive","7361.57","301.84","0.112"
"180","164044","7860","967","2025-04-06","counterfeit","recovered","257.59","512.83","0.072"
"181","120527","7398","3173","2025-08-09","account_takeover","confirmed_fraud","1769.27","5464.66","0.713"
"182","23082","10602","19714","2025-06-19","account_takeover","confirmed_fraud","1928.09","579.9","0.438"
"183","23453","16910","4396","2025-05-13","counterfeit","under_review","5017.29","2865.29","0.722"
"184","16397","1144","16494","2025-04-28","merchant_collusion","under_review","2435.61","1243.17","0.25"
"185","169478","11021","22919","2025-01-23","identity_theft","false_positive","7449.22","1809.56","0.631"
"186","75539","4203","12479","2025-09-28","counterfeit","false_positive","3374.05","4640.5","0.239"
"187","22391","5867","9131","2025-10-02","merchant_collusion","false_positive","2139.5","115.05","0.016"
"188","87325","13073","11766","2025-03-17","identity_theft","under_review","6333.3","5496.37","0.869"
"189","60246","15311","20399","2025-11-23","identity_theft","confirmed_fraud","4349.74","1902.11","0.657"
"190","163404","12173","6240","2025-01-02","account_takeover","recovered","2534.03","2001.94","0.498"
"191","150953","9445","12322","2025-01-03","account_takeover","under_review","4434.38","5211.81","0.799"
"192","163465","8522","19218","2025-03-22","account_takeover","confirmed_fraud","3836.02","5372.08","0.154"
"193","56497","200","20002","2025-05-16","friendly_fraud","false_positive","1294.18","778.98","0.758"
"194","23847","17254","7164","2025-02-15","card_not_present","confirmed_fraud","4234.73","969.14","0.212"
"195","36076","12694","17082","2025-09-04","account_takeover","recovered","3846.4","3646.96","0.829"
"196","154470","1403","4739","2025-11-21","friendly_fraud","under_review","846.12","5483.79","0.037"
"197","35832","11507","8829","2025-12-16","card_not_present","under_review","6994.61","4518.7","0.655"
"198","178120","1394","16176","2025-04-08","account_takeover","confirmed_fraud","7129.42","4290.05","0.971"
"199","175513","14217","12018","2025-03-28","friendly_fraud","false_positive","438.11","5048.67","0.871"
"200","171098","5158","9576","2025-05-05","friendly_fraud","recovered","40.97","4237.08","0.849"
"201","18542","12048","8701","2025-11-27","identity_theft","false_positive","4582.01","5476.46","0.674"
"202","62532","12450","15194","2025-03-12","account_takeover","false_positive","5715.98","3138.55","0.595"
"203","107997","16684","8768","2025-01-26","account_takeover","under_review","6544.28","4076.72","0.012"
"204","19126","10747","5400","2025-06-25","identity_theft","confirmed_fraud","578.53","2001.56","0.553"
"205","139587","1416","23180","2025-05-31","friendly_fraud","under_review","7768.92","2655.76","0.592"
"206","42879","1065","7217","2025-07-05","account_takeover","under_review","6851.37","5097.74","0.665"
"207","9216","1311","15208","2025-10-02","friendly_fraud","false_positive","7087.69","1642.46","0.248"
"208","138593","1387","6702","2025-02-26","account_takeover","recovered","3490.54","1190.76","0.974"
"209","21326","17054","2421","2025-01-17","card_not_present","under_review","2779.06","5316.69","0.417"
"210","30313","5200","12921","2025-12-29","card_not_present","false_positive","7016.59","1179.9","0.307"
"211","117868","12210","18866","2025-12-04","merchant_collusion","under_review","7099.1","444.73","0.95"
"212","147140","9213","15470","2025-07-05","account_takeover","recovered","5862.97","2856.61","0.588"
"213","62143","17098","16303","2025-04-20","card_not_present","confirmed_fraud","2108.81","217.06","0.102"
"214","158213","14689","10239","2025-02-06","identity_theft","false_positive","7477.45","2448.9","0.832"
"215","97668","11554","21958","2025-05-12","merchant_collusion","recovered","3141.08","5163.95","0.429"
"216","173924","5397","5416","2025-10-03","identity_theft","confirmed_fraud","5889.69","4471.11","0.043"
"217","68248","5658","19055","2025-04-16","account_takeover","confirmed_fraud","727.62","4858.89","0.271"
"218","174326","13053","20770","2025-07-19","account_takeover","recovered","1949.67","5505.36","0.417"
"219","146200","4251","8913","2025-05-15","merchant_collusion","under_review","6916.96","2958.0","0.027"
"220","7934","17660","9773","2025-05-12","card_not_present","recovered","4144.01","817.45","0.461"
"221","89444","8064","4005","2025-03-30","counterfeit","false_positive","1299.12","1057.2","0.195"
"222","15864","10499","11685","2025-01-24","account_takeover","confirmed_fraud","2417.39","4069.51","0.553"
"223","128424","16675","3512","2025-10-09","friendly_fraud","recovered","1297.02","986.12","0.434"
"224","46897","2080","18948","2025-03-13","friendly_fraud","recovered","4397.94","4681.66","0.957"
"225","153657","6983","3735","2025-06-16","account_takeover","confirmed_fraud","5363.78","5699.95","0.772"
"226","52629","15104","11233","2025-12-06","card_not_present","confirmed_fraud","811.12","2148.23","0.758"
"227","80853","15359","23163","2025-12-25","merchant_collusion","false_positive","1417.5","3966.19","0.405"
"228","154689","15135","9759","2025-09-19","friendly_fraud","under_review","6092.91","2573.01","0.58"
"229","174845","14557","8372","2025-08-16","merchant_collusion","under_review","552.33","5605.97","0.106"
"230","150436","4588","17460","2025-04-18","account_takeover","confirmed_fraud","4198.15","3477.8","0.617"
"231","162906","14525","1404","2025-06-28","card_not_present","recovered","2641.23","1560.27","0.168"
"232","77272","11282","16656","2025-11-08","account_takeover","false_positive","5350.94","1927.32","0.815"
"233","152728","16634","6785","2025-10-02","merchant_collusion","confirmed_fraud","6253.82","5846.1","0.326"
"234","120873","1612","5102","2025-07-15","counterfeit","false_positive","6633.32","1883.3","0.57"
"235","118937","6259","15733","2025-07-18","counterfeit","false_positive","2490.93","5664.84","0.081"
"236","91264","1152","11571","2025-03-01","card_not_present","false_positive","754.43","4234.06","0.04"
"237","89256","6445","22384","2025-11-15","friendly_fraud","recovered","7334.41","3698.09","0.294"
"238","62173","3191","19423","2025-06-19","identity_theft","recovered","2579.94","4326.29","0.235"
"239","30211","17818","7856","2025-02-09","card_not_present","recovered","4132.22","5400.79","0.986"
"240","69927","9810","22169","2025-11-10","identity_theft","false_positive","844.86","647.8","0.505"
"241","138036","3319","11586","2025-12-13","merchant_collusion","confirmed_fraud","5837.98","2296.88","0.656"
"242","57023","1264","11985","2025-09-29","account_takeover","under_review","3260.95","498.93","0.28"
"243","143362","4784","1844","2025-10-10","account_takeover","recovered","4002.02","5987.51","0.606"
"244","127366","14122","15034","2025-10-29","merchant_collusion","under_review","3746.23","1848.08","0.35"
"245","84003","17890","9118","2025-01-12","account_takeover","false_positive","1555.49","4393.17","0.402"
"246","17256","7215","614","2025-05-03","card_not_present","under_review","1334.63","1967.27","0.718"
"247","75968","2429","3682","2025-06-27","account_takeover","confirmed_fraud","6196.42","2419.98","0.732"
"248","9508","745","23796","2025-06-14","counterfeit","under_review","5851.92","5014.74","0.78"
"249","106673","11388","11879","2025-04-26","friendly_fraud","recovered","2489.18","1985.0","0.94"
"250","118769","8031","10518","2025-04-03","identity_theft","false_positive","7399.02","921.84","0.91"
"251","144620","1067","11441","2025-04-09","merchant_collusion","under_review","3079.0","3686.27","0.179"
"252","100397","1787","8043","2025-08-27","account_takeover","under_review","5760.16","3110.92","0.891"
"253","76177","17286","5976","2025-01-29","friendly_fraud","under_review","339.96","1720.72","0.203"
"254","82435","10981","16999","2025-10-20","friendly_fraud","recovered","327.41","2747.43","0.868"
"255","116425","6462","13547","2025-10-22","card_not_present","recovered","2078.93","5346.15","0.604"
"256","38029","13807","579","2025-12-12","identity_theft","confirmed_fraud","4689.37","3158.7","0.457"
"257","81266","8602","12264","2025-05-13","card_not_present","recovered","2634.04","4017.25","0.217"
"258","25029","5281","9082","2025-09-04","merchant_collusion","false_positive","3509.28","26.44","0.804"
"259","59549","11449","2297","2025-09-18","card_not_present","false_positive","6061.49","5043.59","0.222"
"260","128553","9628","8290","2025-08-10","counterfeit","false_positive","5397.06","4915.31","0.687"
"261","130673","5824","4818","2025-06-11","counterfeit","confirmed_fraud","1330.66","2935.76","0.724"
"262","36961","12196","14276","2025-01-05","friendly_fraud","confirmed_fraud","2344.01","596.1","0.457"
"263","111838","9969","10076","2025-04-08","friendly_fraud","recovered","496.94","5641.42","0.946"
"264","49067","11545","8813","2025-10-29","merchant_collusion","false_positive","1515.85","1160.59","0.26"
"265","163818","7891","10968","2025-05-31","identity_theft","confirmed_fraud","6191.08","4789.72","0.798"
"266","64870","5828","6294","2025-08-04","friendly_fraud","recovered","3276.04","2542.0","0.321"
"267","73607","14046","558","2025-02-23","card_not_present","confirmed_fraud","7346.97","2100.21","0.464"
"268","13335","17576","766","2025-10-02","account_takeover","confirmed_fraud","5235.39","3669.04","0.201"
"269","52242","13741","15525","2025-03-29","counterfeit","confirmed_fraud","1824.81","4944.27","0.498"
"270","172527","6612","6574","2025-11-18","account_takeover","false_positive","1616.81","862.81","0.395"
"271","70361","16707","21314","2025-01-09","account_takeover","false_positive","6377.23","3092.35","0.413"
"272","103730","7445","490","2025-07-25","identity_theft","recovered","3043.4","5291.6","0.506"
"273","125453","9811","15894","2025-08-26","identity_theft","false_positive","2833.89","2872.38","0.953"
"274","164122","1018","7664","2025-04-12","counterfeit","under_review","7550.73","4718.87","0.812"
"275","9123","9462","23686","2025-07-18","friendly_fraud","recovered","6200.85","2147.57","0.419"
"276","7602","12798","21401","2025-03-20","card_not_present","confirmed_fraud","3814.84","3316.05","0.77"
"277","63944","4494","8772","2025-08-24","counterfeit","under_review","4454.08","5361.23","0.81"
"278","156883","15992","19060","2025-10-17","card_not_present","false_positive","682.83","2899.81","0.453"
"279","99670","11247","7761","2025-02-14","identity_theft","false_positive","4275.99","4085.46","0.883"
"280","113227","17962","13973","2025-01-23","merchant_collusion","under_review","7234.73","704.56","0.944"
"281","93690","27","17694","2025-11-12","merchant_collusion","under_review","4025.6","5158.79","0.44"
"282","40826","755","15069","2025-01-03","merchant_collusion","false_positive","486.66","3507.6","0.814"
"283","29083","6100","8546","2025-05-28","identity_theft","recovered","4089.3","5020.76","0.826"
"284","93981","10983","5219","2025-01-11","account_takeover","under_review","425.87","5965.63","0.418"
"285","77705","14309","21135","2025-08-31","card_not_present","confirmed_fraud","2791.62","1747.34","0.58"
"286","73315","7093","2692","2025-04-01","counterfeit","under_review","7824.59","408.48","0.985"
"287","178445","3350","22623","2025-12-08","card_not_present","under_review","7724.48","4562.62","0.946"
"288","28350","17766","10821","2025-05-23","merchant_collusion","recovered","3203.47","494.78","0.226"
"289","39893","1720","16206","2025-12-04","counterfeit","under_review","6921.38","3016.38","0.488"
"290","35791","10664","15414","2025-09-02","merchant_collusion","recovered","2147.45","2094.15","0.748"
"291","4096","1600","170","2025-02-13","counterfeit","confirmed_fraud","6468.53","5890.09","0.494"
"292","160632","12555","18254","2025-04-22","identity_theft","false_positive","1892.19","1501.4","0.651"
"293","84488","4084","17554","2025-08-07","account_takeover","confirmed_fraud","2598.57","4019.52","0.644"
"294","122639","15761","12683","2025-12-17","merchant_collusion","recovered","7614.69","558.97","0.366"
"295","124317","550","11274","2025-02-03","counterfeit","false_positive","1268.63","3383.2","0.396"
"296","43989","2817","21097","2025-02-22","account_takeover","confirmed_fraud","2608.24","2172.43","0.621"
"297","89607","12147","20859","2025-08-27","account_takeover","recovered","3890.62","1418.97","0.681"
"298","15342","13197","11200","2025-08-07","account_takeover","confirmed_fraud","6619.88","2062.43","0.502"
"299","134609","4936","2187","2025-01-01","identity_theft","under_review","771.9","661.03","0.794"
"300","122527","3445","24007","2025-01-17","identity_theft","false_positive","6334.51","5156.49","0.875"
"301","8287","7474","16758","2025-11-10","merchant_collusion","under_review","6858.76","2520.36","0.188"
"302","113775","17590","23343","2025-05-21","merchant_collusion","recovered","4074.81","2296.97","0.05"
