"metric_id","merchant_id","metric_date","transactions_total","approved_amount","decline_rate","fraud_alerts_total","confirmed_fraud_total","chargeback_rate","loss_amount"
"43","4134","2025-01-19","880","175130.45","0.2053","3","0","0.1181","15332.94"
"44","1016","2025-01-30","46","194314.75","0.0122","32","0","0.044","44304.76"
"45","13103","2025-02-07","175","227189.23","0.2215","4","15","0.0432","32205.6"
"46","10766","2025-04-20","219","210814.84","0.116","74","25","0.0883","37609.3"
"47","626","2025-11-29","637","83602.18","0.0407","20","19","0.0037","31034.56"
"48","5659","2025-09-08","250","165237.45","0.1993","48","25","0.0862","10680.38"
"49","11025","2025-04-20","1378","240369.99","0.1952","64","28","0.1174","37616.97"
"50","3580","2025-07-21","1187","34389.42","0.1986","83","30","0.1467","3581.22"
"51","9979","2025-11-21","63","22453.82","0.0755","0","13","0.019","43025.37"
"52","4019","2025-01-05","105","231689.8","0.1897","18","0","0.1192","19697.41"
"53","4192","2025-07-30","884","69548.42","0.0121","30","1","0.0933","950.9"
"54","7898","2025-07-28","757","15859.95","0.0435","87","4","0.0054","1662.05"
"55","9214","2025-03-23","394","148025.65","0.0235","66","26","0.1594","35742.21"
"56","13600","2025-12-28","742","64185.83","0.2139","71","12","0.0948","5160.16"
"57","1512","2025-11-19","1068","263613.84","0.1626","74","5","0.0547","3344.23"
"58","3451","2025-03-03","581","266948.59","0.1292","84","6","0.159","42833.57"
"59","10245","2025-06-18","1582","140230.3","0.1176","71","8","0.1313","48718.07"
"60","4638","2025-06-16","655","123482.45","0.0248","85","1","0.0951","24993.73"
"61","12476","2025-06-19","1791","217849.86","0.066","81","23","0.1538","23121.99"
"62","12922","2025-08-16","1654","12625.57","0.201","58","30","0.0197","13667.73"
"63","2336","2025-08-19","666","3923.26","0.0827","42","8","0.03","4164.94"
"64","4900","2025-01-22","1727","260600.36","0.0412","0","15","0.1395","5761.85"
"65","6354","2025-06-07","1468","7492.72","0.0251","18","18","0.0074","4474.37"
"66","13458","2025-09-11","1747","269260.25","0.2176","44","13","0.0578","43227.24"
"67","13433","2025-12-21","846","78996.21","0.2021","72","27","0.1082","49193.36"
"68","2781","2025-05-26","293","2248.28","0.1723","25","21","0.1585","6819.95"
"69","14824","2025-06-08","980","240348.5","0.0576","70","12","0.0499","9435.36"
"70","9413","2025-04-03","130","3430.82","0.0097","42","17","0.0657","43435.97"
"71","8610","2025-08-23","832","51262.95","0.0069","10","19","0.0295","14358.67"
"72","5047","2025-02-19","1685","120636.48","0.0215","16","3","0.0755","21608.63"
"73","7750","2025-02-28","836","60397.66","0.068","66","28","0.0598","31727.42"
"74","11516","2025-04-09","1119","55150.44","0.2496","85","1","0.0622","37452.65"
"75","6916","2025-09-28","291","229855.84","0.0454","72","0","0.159","22465.42"
"76","5006","2025-01-06","1012","188709.03","0.1884","11","23","0.0881","10436.4"
"77","5233","2025-04-29","1191","37406.48","0.0802","83","22","0.0211","34987.14"
"78","14610","2025-03-08","1149","153988.85","0.1133","31","5","0.0691","1647.64"
"79","10518","2025-07-15","369","192796.69","0.0559","89","3","0.0927","36849.61"
"80","3114","2025-06-24","1447","155707.61","0.2463","4","1","0.1299","40422.51"
"81","12493","2025-11-14","1171","76503.47","0.0767","44","30","0.0369","2186.75"
"82","1115","2025-02-11","1256","39890.58","0.0022","55","5","0.0686","28164.44"
"83","12094","2025-11-01","265","135264.06","0.0726","23","3","0.0514","49159.75"
"84","9479","2025-10-30","907","113329.58","0.2292","56","20","0.0797","41163.65"
"85","13737","2025-09-19","377","127006.29","0.0516","25","5","0.0176","24733.85"
"86","4850","2025-08-05","818","229007.35","0.0471","9","2","0.0394","37125.26"
"87","8269","2025-01-16","710","210015.27","0.2163","60","21","0.0808","17220.94"
"88","5481","2025-03-28","618","148552.09","0.0258","81","18","0.0411","8479.16"
"89","4757","2025-04-07","1701","115386.35","0.0506","82","14","0.1024","15950.34"
"90","3663","2025-03-16","292","169206.03","0.0087","81","10","0.1214","27897.76"
"91","1013","2025-04-27","32","254205.08","0.0032","69","30","0.0051","40611.28"
"92","10774","2025-11-29","902","30616.86","0.1438","83","21","0.1259","1860.21"
"93","3319","2025-12-25","613","167863.17","0.0635","14","19","0.1047","22666.78"
"94","5335","2025-07-22","901","4724.02","0.2198","82","2","0.0872","37959.26"
"95","13256","2025-06-01","811","266101.28","0.0285","80","30","0.1015","3117.03"
"96","1285","2025-07-03","853","117475.66","0.1449","38","16","0.1571","28257.36"
"97","11463","2025-11-02","503","205504.01","0.1234","90","7","0.0693","8774.12"
"98","1937","2025-04-26","1703","123842.38","0.144","65","18","0.0373","12566.25"
"99","4401","2025-09-14","1354","159167.78","0.0778","51","1","0.1514","2799.18"
"100","12585","2025-02-11","662","128284.96","0.1947","34","15","0.001","35439.83"
"101","5573","2025-05-27","472","135885.5","0.0048","57","30","0.0797","17169.18"
"102","3681","2025-01-28","306","101763.87","0.2213","59","25","0.0066","13840.15"
"103","9772","2025-03-26","1531","215416.08","0.0907","44","21","0.0065","20111.07"
"104","3311","2025-12-05","590","239823.66","0.186","48","5","0.0327","21909.41"
"105","7422","2025-12-04","1366","4757.23","0.207","74","15","0.1562","47314.88"
"106","2696","2025-12-31","1114","109281.52","0.1478","89","28","0.0889","13442.91"
"107","9243","2025-06-22","1552","269866.33","0.0329","88","0","0.1563","26935.45"
"108","2944","2025-10-16","113","49748.9","0.2499","4","20","0.0767","27161.35"
"109","14741","2025-01-18","745","52405.43","0.1811","66","18","0.0411","40445.44"
"110","2827","2025-11-23","136","262416.17","0.101","46","25","0.0366","44732.51"
"111","849","2025-07-01","661","39672.03","0.0832","33","10","0.1258","19010.99"
"112","2002","2025-06-04","1490","227398.32","0.1155","0","30","0.1509","5984.14"
"113","9502","2025-07-27","1321","41880.12","0.1693","90","19","0.0522","40589.24"
"114","5541","2025-08-20","845","271895.56","0.0284","77","6","0.0447","14494.75"
"115","2953","2025-11-20","1458","84483.88","0.1249","43","3","0.1072","21917.48"
"116","6763","2025-12-12","320","177098.72","0.0742","52","8","0.0494","1029.45"
"117","5234","2025-11-10","1039","231233.25","0.1589","80","6","0.0887","4328.38"
"118","3206","2025-04-27","1652","18570.33","0.1282","34","29","0.0708","19700.43"
"119","12019","2025-08-23","1407","168884.74","0.2292","8","1","0.0856","41714.66"
"120","1357","2025-03-20","20","134843.37","0.1028","30","25","0.1378","32211.8"
"121","11150","2025-10-26","456","191293.28","0.0784","35","11","0.0405","23121.64"
"122","2629","2025-08-22","224","163952.04","0.2071","69","17","0.1069","29471.51"
"123","5202","2025-12-16","1168","240144.09","0.2172","59","25","0.0143","39020.14"
"124","9976","2025-11-04","297","102368.57","0.0325","68","20","0.1348","18959.79"
"125","11149","2025-12-17","151","148633.3","0.0251","41","26","0.1408","4324.33"
"126","9909","2025-12-23","1558","267834.75","0.0732","19","24","0.0372","16089.38"
"127","14347","2025-06-02","386","50964.29","0.0634","85","2","0.1127","16996.78"
"128","4132","2025-05-14","1558","185672.41","0.0781","76","27","0.111","9729.94"
"129","14831","2025-09-13","849","255424.96","0.1956","57","5","0.0599","12978.21"
"130","8159","2025-09-04","91","24617.69","0.0568","43","2","0.0689","11410.96"
"131","4259","2025-03-03","1647","101474.18","0.1541","80","2","0.0811","37621.47"
"132","7127","2025-08-26","1625","192091.25","0.0808","72","21","0.1123","50764.68"
"133","7215","2025-06-15","149","49131.08","0.1211","19","22","0.1531","31713.18"
"134","11030","2025-03-28","537","201673.32","0.0441","32","30","0.0341","9180.63"
"135","10426","2025-07-19","969","153430.58","0.1095","25","10","0.0668","21790.49"
"136","3375","2025-09-21","526","44184.62","0.0409","77","10","0.0651","48663.07"
"137","13677","2025-03-29","117","197707.92","0.0935","23","26","0.0896","10691.22"
"138","1023","2025-05-11","1630","138199.79","0.0474","81","6","0.1237","49945.5"
"139","12413","2025-06-22","368","265847.33","0.1871","40","22","0.098","9797.61"
"140","13924","2025-07-02","1544","21177.68","0.0276","79","17","0.0383","27403.18"
"141","7142","2025-05-10","901","269264.76","0.0539","66","13","0.0407","35119.02"
"142","8548","2025-07-09","1493","173379.59","0.1952","84","28","0.0478","16512.15"
"143","14821","2025-04-04","1187","141932.76","0.185","82","12","0.0554","18835.85"
"144","4390","2025-06-11","586","202528.36","0.0166","1","27","0.0766","21652.94"
"145","8738","2025-03-06","796","50847.53","0.1472","19","25","0.0337","609.94"
"146","786","2025-07-16","745","256629.88","0.0189","90","29","0.0813","8458.52"
"147","1286","2025-05-27","1629","230592.45","0.1607","69","16","0.1248","30462.6"
"148","14009","2025-08-25","1250","28158.69","0.0539","4","14","0.0251","23843.62"
"149","499","2025-08-19","1761","242121.33","0.0745","40","26","0.122","20517.69"
"150","6888","2025-08-22","691","230353.48","0.1626","20","28","0.1513","40789.0"
"151","3894","2025-09-29","908","234742.7","0.073","44","10","0.1563","26587.98"
"152","13418","2025-05-17","267","165138.84","0.0107","52","20","0.098","34727.27"
"153","631","2025-12-16","703","51577.52","0.2054","16","16","0.0283","21015.7"
"154","14514","2025-05-21","236","220914.99","0.1236","34","2","0.1456","28493.85"
"155","5899","2025-06-09","1670","211045.05","0.2176","50","25","0.0988","40323.2"
"156","2617","2025-10-29","1312","68016.54","0.0234","44","25","0.0821","15197.65"
"157","13600","2025-10-19","279","66657.24","0.0838","67","7","0.0894","6731.79"
"158","5451","2025-11-12","483","40690.09","0.0905","54","29","0.1488","33731.39"
"159","9493","2025-07-10","251","7941.39","0.1876","89","14","0.1039","2144.25"
"160","2454","2025-03-11","953","137871.49","0.0097","60","24","0.0072","23464.75"
"161","4069","2025-11-09","975","170752.76","0.0057","3","2","0.1536","47297.93"
"162","9832","2025-06-10","1319","208446.9","0.0282","36","25","0.0799","24432.84"
"163","14587","2025-11-27","1724","7613.39","0.2092","84","17","0.1269","10915.79"
"164","4737","2025-08-03","406","237351.2","0.1157","64","28","0.04","5678.36"
"165","11885","2025-10-27","955","114684.0","0.0446","54","19","0.0925","31558.87"
"166","1088","2025-09-12","513","203948.07","0.1021","36","21","0.0464","24129.76"
"167","1148","2025-01-02","279","235912.39","0.2489","73","16","0.025","339.72"
"168","1487","2025-08-01","820","151175.95","0.0243","21","30","0.0186","34277.77"
"169","6189","2025-12-24","1485","225572.13","0.0242","0","13","0.0912","39508.15"
"170","3945","2025-11-01","1392","168518.06","0.0144","68","20","0.1019","9352.48"
"171","14881","2025-07-21","1039","30243.57","0.1629","75","23","0.0536","49774.25"
"172","55","2025-02-03","1436","163292.16","0.1669","14","22","0.1204","15547.05"
"173","2851","2025-07-25","275","44014.3","0.1471","32","2","0.1421","13174.85"
"174","545","2025-02-20","597","13463.39","0.2113","34","5","0.1133","27641.47"
"175","5037","2025-09-20","74","168192.55","0.2236","43","16","0.0945","34981.28"
"176","12544","2025-02-06","1327","261153.85","0.2446","65","12","0.0741","15706.31"
"177","14115","2025-04-27","1423","222549.4","0.2308","79","10","0.1424","32088.35"
"178","5117","2025-02-20","1800","23075.75","0.0207","58","0","0.0031","694.77"
"179","12250","2025-11-24","1181","244651.25","0.0949","26","5","0.0253","23187.14"
"180","8981","2025-04-26","628","152868.3","0.0894","70","15","0.016","23878.69"
"181","10678","2025-03-15","948","166744.53","0.0264","30","2","0.0822","35445.03"
"182","7048","2025-03-23","1463","277025.95","0.0432","85","0","0.0714","34756.14"
"183","1409","2025-02-27","1655","40575.4","0.0891","67","8","0.1287","9103.86"
"184","9775","2025-09-15","1215","61838.45","0.0607","41","27","0.1262","38543.95"
"185","13253","2025-12-25","915","134455.53","0.1851","67","26","0.0209","40372.61"
"186","6839","2025-07-26","209","66656.43","0.1959","23","9","0.0687","37477.17"
"187","1510","2025-02-02","465","177409.1","0.2277","3","18","0.0689","496.04"
"188","2415","2025-07-16","1122","183806.31","0.1281","12","19","0.0483","35427.24"
"189","13771","2025-07-10","1191","153751.61","0.1047","39","7","0.0655","21403.92"
"190","12162","2025-02-18","349","22448.55","0.0856","15","6","0.029","5174.3"
"191","5144","2025-03-23","1595","129442.49","0.0028","8","2","0.0318","49151.85"
"192","7514","2025-10-04","859","54718.19","0.0573","73","9","0.1219","6973.24"
"193","10375","2025-08-16","744","74934.74","0.2173","19","16","0.0853","37632.16"
"194","9459","2025-05-12","1449","200049.56","0.0784","61","11","0.1448","30912.47"
"195","8817","2025-06-03","648","265163.11","0.1486","75","16","0.0103","50577.49"
"196","2180","2025-03-28","1355","172844.25","0.1395","52","13","0.1405","36252.67"
"197","3043","2025-05-10","642","18017.85","0.1838","82","22","0.1532","6789.27"
"198","3744","2025-07-24","1452","150238.08","0.1807","34","5","0.0952","22801.85"
"199","11997","2025-02-02","1752","153593.38","0.0327","50","16","0.0972","2713.77"
"200","3249","2025-10-12","36","19010.98","0.0371","77","6","0.1379","40311.15"
"201","9343","2025-07-13","336","56111.0","0.1232","72","26","0.1312","48141.86"
"202","11988","2025-03-26","404","107549.41","0.1527","58","12","0.085","14634.76"
"203","6085","2025-01-10","714","272154.06","0.1634","70","21","0.0449","40579.84"
"204","10793","2025-03-15","1411","103948.36","0.1881","83","9","0.1506","35480.24"
"205","10948","2025-02-18","1022","199002.31","0.1964","49","26","0.0108","51985.16"
"206","2410","2025-09-09","677","198159.22","0.0894","20","12","0.0656","5894.64"
"207","11296","2025-10-21","147","201501.63","0.0424","41","26","0.0077","26980.58"
"208","14216","2025-03-06","843","192194.23","0.0008","50","19","0.0709","18487.63"
"209","7079","2025-08-16","1444","54043.89","0.1493","66","1","0.143","19705.76"
"210","3137","2025-07-05","1328","57244.54","0.1922","2","29","0.0248","31219.45"
"211","2734","2025-07-11","1029","125071.35","0.1758","4","14","0.1564","31888.57"
"212","960","2025-08-28","107","102312.78","0.2171","32","14","0.0751","21974.07"
"213","10503","2025-07-06","163","148849.96","0.2405","71","23","0.1264","28709.96"
"214","8592","2025-07-29","1719","106847.03","0.1923","37","19","0.0328","18313.59"
"215","4783","2025-06-28","1334","162302.47","0.1296","34","7","0.0312","39793.72"
"216","12678","2025-05-16","478","69039.29","0.103","86","6","0.1582","13213.75"
"217","5832","2025-01-27","883","209467.34","0.0704","1","13","0.0559","18377.7"
"218","1224","2025-02-28","915","175255.24","0.0012","2","13","0.1564","5021.24"
"219","7802","2025-06-16","1558","87684.86","0.229","65","28","0.1526","26354.08"
"220","582","2025-05-22","1586","117328.21","0.0849","39","26","0.0498","30011.97"
"221","534","2025-02-13","1798","186735.53","0.1402","28","11","0.0225","19450.32"
"222","11045","2025-07-05","1111","186875.13","0.1889","46","22","0.0778","28301.9"
"223","6086","2025-04-04","623","126846.43","0.0987","51","14","0.1431","13929.41"
"224","1117","2025-04-05","869","263706.5","0.0469","74","0","0.091","9896.05"
"225","146","2025-12-11","450","146521.96","0.1509","33","22","0.14","21583.01"
"226","3309","2025-01-09","1443","163161.74","0.0088","88","12","0.1071","24754.89"
"227","1632","2025-09-25","947","205640.7","0.1704","74","1","0.0481","49596.74"
"228","5680","2025-02-08","582","150560.49","0.1958","25","13","0.0977","31573.46"
"229","10403","2025-03-20","1652","76116.78","0.0485","30","28","0.038","33777.06"
"230","6192","2025-05-05","411","152444.26","0.0224","36","2","0.0078","44261.03"
"231","11970","2025-11-02","258","106403.63","0.2013","15","5","0.0264","40154.45"
"232","3411","2025-06-07","1001","74411.95","0.2453","8","30","0.0846","14046.17"
"233","5681","2025-10-29","42","197694.26","0.1721","89","23","0.1574","43819.33"
"234","11557","2025-08-20","1051","127531.43","0.1785","73","24","0.0688","19888.97"
"235","12114","2025-04-24","491","42160.21","0.1999","13","27","0.0376","9446.89"
"236","6002","2025-03-30","272","277942.55","0.1258","2","11","0.0771","23121.5"
"237","11687","2025-04-26","1324","52147.89","0.0769","36","24","0.04","45016.61"
"238","1334","2025-03-10","545","177335.77","0.1904","36","7","0.0645","13237.54"
"239","10953","2025-02-05","315","181034.04","0.1111","44","12","0.0489","51988.92"
"240","13125","2025-05-08","967","210653.31","0.0428","12","3","0.1154","644.95"
"241","2658","2025-09-09","1269","93746.01","0.1533","34","15","0.0748","5836.91"
"242","5743","2025-05-11","231","264443.71","0.0198","25","28","0.1265","13017.37"
"243","14214","2025-12-13","1691","264489.72","0.0178","25","11","0.046","37787.46"
"244","4506","2025-12-03","370","148727.65","0.167","88","17","0.0267","22407.35"
"245","6517","2025-09-28","549","121128.47","0.0453","50","16","0.0704","24276.39"
"246","5010","2025-04-27","1643","139427.25","0.2174","2","13","0.0446","11185.54"
"247","225","2025-06-25","518","102944.82","0.0481","62","11","0.0634","23808.6"
"248","3171","2025-09-24","511","197438.04","0.2361","70","28","0.0172","21056.26"
"249","2","2025-05-07","710","153876.63","0.2327","60","20","0.1554","29638.17"
"250","6253","2025-12-04","280","227482.72","0.0972","29","4","0.0818","38229.03"
"251","9440","2025-04-12","770","100636.15","0.2032","2","5","0.1218","1680.64"
"252","14619","2025-12-27","795","59346.64","0.1469","71","21","0.0034","51104.41"
"253","3005","2025-08-08","430","164758.6","0.2361","50","24","0.059","7216.73"
"254","5357","2025-10-27","1046","126124.36","0.0282","28","1","0.0786","30783.74"
"255","9828","2025-02-26","592","48719.12","0.2154","14","15","0.0564","51266.79"
"256","11006","2025-01-15","327","175093.81","0.1467","57","9","0.0775","9154.62"
"257","11202","2025-09-12","175","19926.32","0.1283","82","4","0.1554","35148.79"
"258","13466","2025-06-01","985","16191.89","0.0685","83","4","0.0958","3065.68"
"259","8807","2025-08-03","1336","17916.67","0.2087","46","23","0.1431","44791.46"
"260","6882","2025-09-04","912","224410.73","0.0545","56","30","0.01","30128.88"
"261","8674","2025-05-23","1069","260260.62","0.0582","63","29","0.0282","20706.04"
"262","12221","2025-10-16","484","273848.2","0.0061","42","14","0.1397","42707.69"
"263","9444","2025-04-18","751","193626.93","0.1532","84","13","0.0485","36668.5"
"264","2293","2025-08-16","609","6661.93","0.0117","0","6","0.0002","33257.36"
"265","2270","2025-01-07","1187","130213.84","0.0303","43","7","0.1564","1680.52"
"266","5057","2025-02-02","87","56235.45","0.0005","9","26","0.0476","19426.27"
"267","6698","2025-11-25","579","225831.27","0.1617","79","14","0.0031","24030.78"
"268","7862","2025-05-16","1314","242601.04","0.0488","78","22","0.0245","18626.41"
"269","10094","2025-12-20","1745","167593.68","0.0452","36","19","0.0475","20948.68"
"270","9940","2025-02-02","1377","1785.29","0.026","42","0","0.0431","33131.74"
"271","11487","2025-12-08","811","214498.78","0.1598","10","9","0.0575","32101.71"
"272","3305","2025-12-02","1720","1698.15","0.0063","58","28","0.0122","48888.67"
"273","10361","2025-09-03","1263","62581.08","0.2126","80","17","0.1374","37628.77"
"274","5267","2025-10-31","500","146172.81","0.2252","35","17","0.0445","23531.19"
"275","13536","2025-05-18","1788","234989.82","0.1889","33","6","0.0331","43137.24"
"276","10747","2025-08-04","905","184456.85","0.2016","55","25","0.0603","2426.52"
"277","13266","2025-05-12","1390","180353.19","0.0583","19","4","0.0814","44277.12"
"278","13918","2025-04-08","363","206010.82","0.0085","27","0","0.1106","5566.24"
"279","14211","2025-02-24","1252","250423.12","0.1111","18","7","0.1181","38649.04"
"280","2160","2025-05-15","38","137599.18","0.0408","0","30","0.0367","40317.74"
"281","464","2025-09-28","1533","167123.45","0.163","56","7","0.1338","51035.54"
"282","11617","2025-10-19","506","94849.06","0.2209","48","4","0.0244","30808.71"
"283","7411","2025-11-01","931","224272.21","0.1513","41","15","0.0061","24980.77"
"284","5462","2025-06-25","70","5749.39","0.1685","60","25","0.0665","9474.53"
"285","7428","2025-06-27","530","168836.4","0.0475","60","3","0.0611","12915.27"
"286","10057","2025-02-21","1763","43487.78","0.2163","87","14","0.124","19725.87"
"287","6944","2025-12-29","1067","119398.6","0.0076","64","1","0.0171","11532.8"
"288","4134","2025-03-17","1410","272958.56","0.086","61","13","0.091","18647.79"
"289","2049","2025-06-08","699","121631.3","0.0124","5","1","0.1034","13980.62"
"290","508","2025-02-12","1576","191817.82","0.1217","68","5","0.1525","50614.92"
"291","7906","2025-02-07","821","178088.4","0.1382","26","10","0.1331","40055.64"
"292","11854","2025-08-01","1584","273541.79","0.2311","53","16","0.1387","40946.7"
"293","3001","2025-02-16","1161","227612.77","0.1987","32","16","0.0361","14992.57"
"294","1892","2025-03-25","84","81652.76","0.0517","42","13","0.1316","34480.31"
"295","3902","2025-12-07","793","132729.35","0.1834","90","16","0.1377","45055.98"
"296","6445","2025-10-10","1483","193889.96","0.1254","38","0","0.1399","34299.16"
"297","8912","2025-04-26","1780","75547.74","0.2385","74","13","0.0065","44712.65"
"298","11469","2025-06-07","268","127809.85","0.2033","30","0","0.1382","4141.63"
"299","8894","2025-10-25","222","205413.52","0.0707","68","14","0.0822","47853.56"
"300","12848","2025-10-13","1119","277934.31","0.2079","63","18","0.1051","45045.05"
"301","9957","2025-02-03","461","52128.29","0.0386","4","13","0.0697","37078.17"
"302","2051","2025-03-12","844","94365.28","0.1933","25","12","0.1236","3718.75"
"303","14063","2025-12-17","102","102468.92","0.006","49","10","0.1081","30646.49"
"304","6999","2025-04-07","1289","276799.07","0.1025","30","11","0.1122","38078.56"
"305","7309","2025-11-28","92","170447.97","0.0263","49","18","0.0842","20049.73"
"306","4622","2025-12-23","927","192879.89","0.1709","70","10","0.1059","17107.56"
"307","9398","2025-04-01","269","113304.25","0.2477","46","28","0.0651","18902.96"
"308","14251","2025-11-09","756","167734.59","0.1212","57","5","0.0113","13003.99"
"309","1940","2025-06-08","1017","165892.1","0.0284","19","20","0.026","5462.55"
"310","4876","2025-04-03","1602","185109.88","0.1675","62","4","0.1264","10110.51"
"311","500","2025-03-06","1420","33029.98","0.1711","11","18","0.0349","37444.96"
"312","5622","2025-03-30","251","214668.29","0.1754","53","6","0.0829","39474.35"
"313","6561","2025-08-15","843","80024.72","0.1224","0","20","0.0064","6137.66"
"314","10738","2025-07-08","720","88471.88","0.0701","30","30","0.0275","9041.91"
"315","4111","2025-03-08","1216","153574.84","0.0492","49","12","0.0513","36503.98"
"316","5033","2025-05-24","1095","175615.94","0.1738","73","18","0.079","19993.02"
"317","12446","2025-12-14","1129","255830.9","0.1331","84","28","0.1238","14876.19"
"318","14456","2025-01-19","1084","25482.36","0.07","30","2","0.0198","13317.95"
"319","10936","2025-11-18","518","151945.03","0.2266","16","25","0.0508","39330.89"
"320","3840","2025-08-24","906","75986.63","0.1088","30","4","0.0481","14500.88"
"321","10011","2025-08-29","1286","200489.23","0.076","32","29","0.0844","13769.86"
"322","13915","2025-06-18","1046","143363.9","0.1007","70","13","0.0189","47433.92"
"323","6423","2025-08-25","273","279165.51","0.0633","15","29","0.0332","39762.89"
"324","9714","2025-01-30","765","216311.91","0.1374","90","20","0.0588","11253.48"
"325","3679","2025-10-27","1641","248266.93","0.0399","16","5","0.1038","43306.66"
"326","4328","2025-06-28","517","207354.63","0.1234","72","27","0.041","37719.02"
"327","8259","2025-06-22","1612","187412.39","0.0177","13","26","0.1326","46931.39"
"328","10942","2025-10-14","1057","200401.62","0.1595","18","22","0.0296","7770.93"
"329","1560","2025-04-17","1128","75955.81","0.2079","5","27","0.0031","48102.58"
"330","11170","2025-10-20","665","251388.83","0.2288","79","10","0.1136","37386.63"
"331","3788","2025-06-20","1393","33695.71","0.046","62","6","0.1034","26423.94"
"332","10164","2025-11-17","1557","211283.03","0.0125","69","1","0.0554","51816.85"
"333","1021","2025-03-04","577","203065.35","0.1457","54","1","0.1331","27095.2"
"334","2923","2025-02-22","467","195359.75","0.0434","30","13","0.0785","43476.57"
"335","11102","2025-02-18","737","221190.09","0.2431","55","8","0.0009","16967.28"
"336","3319","2025-01-17","1562","167040.53","0.1291","88","5","0.0483","330.44"
"337","6398","2025-06-12","1729","191990.42","0.2346","33","27","0.1424","2346.09"
"338","12286","2025-09-11","931","179497.2","0.1587","78","3","0.051","17273.55"
"339","8662","2025-03-10","1364","120362.25","0.2259","28","6","0.0883","13821.47"
"340","9393","2025-02-11","140","16998.96","0.0709","31","23","0.022","46837.12"
"341","2857","2025-02-19","855","234979.67","0.0121","12","11","0.1589","32719.06"
"342","3094","2025-10-25","1524","33125.6","0.1075","90","25","0.1315","31708.4"
"343","2976","2025-06-04","1691","179107.44","0.0632","5","11","0.0652","33800.21"
"344","14879","2025-09-13","886","232344.32","0.0547","0","10","0.0064","51682.74"
