"card_id","cardholder_id","issue_date","status","card_product","network","credit_limit","card_present_usage_ratio","digital_wallet_flag"
"60","11749","2020-12-25","temporarily_blocked","business","visa","23709.99","0.481","0"
"61","9896","2020-10-09","active","premium","mastercard","28413.75","0.77","0"
"62","5951","2020-08-01","active","student","mastercard","36774.0","0.896","0"
"63","9112","2021-09-02","active","premium","amex","12361.44","0.305","1"
"64","2217","2024-06-02","reissued","travel_rewards","amex","36347.02","0.544","1"
"65","7434","2025-05-23","active","business","mastercard","5009.21","0.565","1"
"66","3243","2019-04-11","closed","student","visa","8588.43","0.302","0"
"67","9334","2021-02-01","active","business","amex","25845.68","0.613","1"
"68","11692","2021-09-12","active","business","mastercard","34693.93","0.485","0"
"69","6333","2023-09-04","closed","travel_rewards","visa","5910.26","0.356","0"
"70","10453","2021-03-19","temporarily_blocked","business","visa","28601.53","0.047","1"
"71","2283","2025-06-06","closed","cashback","amex","24404.44","0.857","1"
"72","3393","2021-12-05","active","cashback","amex","20339.84","0.352","0"
"73","13217","2023-07-02","active","premium","mastercard","19111.65","0.105","0"
"74","2676","2021-01-05","temporarily_blocked","travel_rewards","mastercard","32464.93","0.027","1"
"75","8269","2020-08-03","active","premium","visa","35523.04","0.268","1"
"76","16517","2023-09-10","active","student","mastercard","14291.55","0.269","1"
"77","13964","2020-03-05","active","business","visa","15970.17","0.298","0"
"78","12828","2024-10-11","active","cashback","visa","11277.21","0.845","1"
"79","11871","2020-12-24","closed","premium","amex","37157.82","0.687","1"
"80","8705","2024-04-12","closed","travel_rewards","visa","13985.93","0.732","0"
"81","3465","2019-09-17","closed","student","amex","14256.3","0.895","1"
"82","9337","2019-04-18","active","travel_rewards","mastercard","25696.76","0.33","1"
"83","12925","2024-06-10","reissued","premium","mastercard","30066.32","0.34","1"
"84","4925","2025-04-24","closed","student","mastercard","34284.81","0.683","1"
"85","2227","2022-05-16","temporarily_blocked","student","amex","3081.5","0.927","0"
"86","9771","2023-12-26","temporarily_blocked","student","mastercard","3057.02","0.112","1"
"87","13877","2019-06-01","active","student","visa","37285.58","0.863","0"
"88","3358","2021-05-30","closed","business","amex","25543.81","0.328","1"
"89","16397","2023-08-22","active","business","mastercard","6538.23","0.847","0"
"90","17235","2019-07-15","active","business","visa","12156.84","0.87","0"
"91","15268","2020-09-25","temporarily_blocked","business","mastercard","1013.38","0.757","1"
"92","12647","2019-12-06","temporarily_blocked","business","visa","8205.39","0.884","0"
"93","3844","2025-08-25","reissued","student","amex","8164.33","0.201","0"
"94","1206","2024-07-11","reissued","travel_rewards","amex","14807.55","0.252","1"
"95","530","2025-03-17","closed","cashback","mastercard","12094.08","0.88","1"
"96","3468","2021-01-17","closed","travel_rewards","amex","8888.31","0.887","0"
"97","13256","2019-08-30","active","travel_rewards","visa","17543.4","0.306","1"
"98","13831","2020-11-04","active","premium","visa","1798.81","0.909","1"
"99","16070","2019-03-31","active","cashback","visa","17670.88","0.063","0"
"100","16118","2021-07-16","temporarily_blocked","business","mastercard","20634.38","0.534","0"
"101","6161","2020-02-23","reissued","travel_rewards","mastercard","26759.22","0.767","1"
"102","7043","2020-04-17","active","premium","mastercard","12585.96","0.13","1"
"103","14429","2022-01-21","temporarily_blocked","travel_rewards","visa","31614.23","0.111","1"
"104","4296","2019-03-01","active","premium","mastercard","4207.44","0.602","1"
"105","5702","2025-03-12","reissued","travel_rewards","mastercard","17705.19","0.043","1"
"106","4360","2024-04-21","closed","premium","visa","11707.33","0.165","1"
"107","6357","2022-08-19","reissued","premium","mastercard","18913.33","0.879","1"
"108","4264","2023-01-13","closed","cashback","mastercard","2835.88","0.8","0"
"109","13112","2022-06-27","temporarily_blocked","student","visa","24092.2","0.894","1"
"110","8067","2023-04-02","reissued","student","amex","28313.04","0.836","1"
"111","2358","2020-10-23","closed","travel_rewards","visa","35113.46","0.884","0"
"112","508","2024-10-11","reissued","business","amex","18595.87","0.864","1"
"113","17178","2019-09-22","closed","travel_rewards","mastercard","39530.29","0.13","0"
"114","10839","2019-12-17","closed","business","mastercard","7962.79","0.138","0"
"115","7870","2021-05-22","reissued","cashback","amex","9836.51","0.089","1"
"116","15509","2025-07-31","reissued","business","amex","12118.05","0.652","0"
"117","8444","2022-02-18","closed","cashback","amex","38993.87","0.126","1"
"118","28","2021-03-03","temporarily_blocked","cashback","visa","4929.71","0.891","1"
"119","9393","2021-09-15","temporarily_blocked","premium","amex","5378.22","0.608","0"
"120","2702","2023-04-13","reissued","cashback","mastercard","34103.64","0.411","1"
"121","1015","2023-01-03","temporarily_blocked","business","visa","22714.82","0.099","1"
"122","13633","2024-02-22","reissued","cashback","mastercard","35190.59","0.227","0"
"123","5573","2022-06-12","active","travel_rewards","visa","16409.69","0.637","0"
"124","9532","2022-06-09","reissued","premium","mastercard","10826.83","0.722","1"
"125","14868","2025-04-09","temporarily_blocked","student","amex","7116.29","0.393","0"
"126","2940","2022-02-17","reissued","student","visa","1603.09","0.866","1"
"127","13214","2022-12-20","reissued","cashback","mastercard","23078.2","0.175","0"
"128","14949","2023-08-27","reissued","travel_rewards","amex","20456.76","0.258","1"
"129","17286","2020-12-09","closed","travel_rewards","mastercard","3067.11","0.36","0"
"130","804","2025-03-01","temporarily_blocked","cashback","visa","2306.43","0.095","1"
"131","4347","2021-03-16","reissued","premium","amex","31477.09","0.213","1"
"132","8671","2024-03-15","reissued","premium","amex","23252.58","0.606","1"
"133","4866","2020-10-08","temporarily_blocked","premium","visa","13152.5","0.486","0"
"134","14320","2019-04-24","reissued","premium","mastercard","36663.98","0.751","1"
"135","5341","2022-07-05","closed","premium","visa","21702.39","0.581","1"
"136","4877","2022-04-20","active","travel_rewards","amex","21974.34","0.119","1"
"137","13574","2020-10-22","active","cashback","amex","18282.18","0.673","0"
"138","6820","2025-10-03","closed","premium","visa","31285.6","0.389","1"
"139","15922","2019-02-13","closed","business","amex","29361.93","0.433","1"
"140","58","2019-10-01","active","business","amex","19982.4","0.762","1"
"141","4110","2022-07-27","active","cashback","amex","5009.08","0.702","0"
"142","3016","2019-05-15","temporarily_blocked","premium","amex","32045.51","0.185","0"
"143","11386","2019-02-04","temporarily_blocked","student","visa","909.66","0.431","1"
"144","5142","2025-03-15","closed","student","visa","24394.18","0.567","0"
"145","7682","2020-04-24","closed","premium","amex","34346.69","0.591","1"
"146","6748","2020-03-19","temporarily_blocked","student","amex","12547.24","0.143","1"
"147","15521","2021-02-11","temporarily_blocked","travel_rewards","visa","29844.24","0.572","0"
"148","9897","2021-09-20","temporarily_blocked","student","amex","29224.19","0.023","0"
"149","16736","2021-10-31","active","student","visa","29892.23","0.566","0"
"150","13166","2024-10-06","reissued","premium","mastercard","33832.2","0.035","1"
"151","7101","2019-02-24","reissued","premium","visa","6861.14","0.209","1"
"152","17592","2022-07-28","reissued","cashback","mastercard","39392.48","0.462","1"
"153","7972","2021-09-22","closed","business","visa","24127.56","0.534","0"
"154","15455","2022-03-31","active","travel_rewards","visa","5231.91","0.748","1"
"155","9299","2025-10-27","active","travel_rewards","mastercard","35437.9","0.283","0"
"156","14719","2019-08-05","reissued","student","amex","21627.21","0.663","1"
"157","9754","2021-06-13","active","travel_rewards","amex","21332.14","0.873","0"
"158","1762","2019-10-25","reissued","business","mastercard","4142.16","0.676","1"
"159","10673","2024-09-18","closed","travel_rewards","visa","8132.39","0.542","0"
"160","16928","2019-07-27","active","premium","amex","6696.66","0.129","0"
"161","7925","2020-06-27","active","business","visa","36779.68","0.303","1"
"162","1499","2023-04-22","closed","cashback","amex","1954.88","0.3","1"
"163","6666","2020-06-03","temporarily_blocked","travel_rewards","mastercard","35651.47","0.529","0"
"164","6356","2022-03-20","closed","student","visa","33629.92","0.178","0"
"165","13349","2019-08-04","reissued","travel_rewards","mastercard","26232.99","0.374","1"
"166","5492","2021-12-11","closed","student","amex","36028.05","0.478","1"
"167","745","2024-08-27","temporarily_blocked","travel_rewards","mastercard","39819.65","0.815","1"
"168","9037","2019-05-18","reissued","cashback","mastercard","26500.24","0.868","1"
"169","11826","2024-10-27","active","travel_rewards","amex","22395.6","0.695","0"
"170","8738","2021-08-10","closed","student","amex","26393.29","0.437","1"
"171","8707","2024-02-20","reissued","student","mastercard","35806.51","0.448","0"
"172","3929","2020-01-12","active","cashback","mastercard","27060.8","0.77","0"
"173","10320","2023-11-04","temporarily_blocked","travel_rewards","mastercard","35666.28","0.048","0"
"174","8464","2023-06-17","reissued","premium","amex","37828.19","0.714","0"
"175","14084","2020-12-22","active","premium","amex","33773.81","0.129","0"
"176","14253","2023-12-05","closed","business","mastercard","8999.45","0.253","1"
"177","14210","2020-04-27","closed","business","amex","26877.41","0.372","1"
"178","10428","2020-11-07","temporarily_blocked","premium","amex","15850.9","0.533","0"
"179","14620","2020-07-22","active","premium","mastercard","3680.85","0.931","1"
"180","13526","2024-07-23","closed","premium","visa","2941.55","0.538","0"
"181","13987","2020-09-28","closed","premium","amex","25463.89","0.304","0"
"182","1352","2022-11-07","reissued","cashback","visa","28183.81","0.374","0"
"183","3742","2024-08-10","temporarily_blocked","premium","amex","33862.41","0.484","1"
"184","6831","2025-10-17","active","premium","amex","39526.43","0.314","0"
"185","8265","2025-04-06","closed","premium","visa","20961.48","0.868","1"
"186","14098","2019-09-19","reissued","cashback","visa","23181.94","0.856","0"
"187","11847","2020-02-11","active","student","visa","15405.55","0.456","1"
"188","7597","2025-05-02","active","student","amex","28769.64","0.34","0"
"189","10503","2022-07-13","active","student","mastercard","17100.53","0.139","1"
"190","418","2025-02-17","reissued","premium","visa","28081.07","0.916","1"
"191","11438","2024-12-10","temporarily_blocked","travel_rewards","amex","36238.97","0.6","1"
"192","12843","2025-02-05","temporarily_blocked","travel_rewards","amex","18255.28","0.241","1"
"193","5649","2024-03-03","reissued","business","amex","17907.65","0.381","1"
"194","3930","2023-09-16","closed","business","visa","30282.61","0.185","1"
"195","2583","2024-04-04","active","travel_rewards","amex","30183.0","0.16","1"
"196","12574","2025-02-13","reissued","premium","visa","25537.91","0.506","1"
"197","16010","2022-04-24","closed","travel_rewards","amex","21595.58","0.818","0"
"198","7091","2023-02-08","reissued","travel_rewards","visa","3211.62","0.597","1"
"199","16935","2019-10-16","active","premium","amex","17697.22","0.284","1"
"200","10463","2022-01-13","temporarily_blocked","business","mastercard","17956.49","0.423","1"
"201","523","2020-05-27","reissued","cashback","visa","18669.6","0.021","1"
"202","9925","2023-10-30","closed","travel_rewards","mastercard","3734.51","0.41","0"
"203","8254","2022-10-13","active","business","visa","15779.67","0.272","0"
"204","6828","2021-05-24","active","student","mastercard","20315.98","0.349","0"
"205","14621","2024-04-14","active","travel_rewards","visa","27276.15","0.22","0"
"206","17503","2025-06-19","temporarily_blocked","premium","amex","31896.0","0.708","1"
"207","9455","2023-06-27","active","premium","mastercard","37838.69","0.12","0"
"208","14332","2019-04-06","closed","cashback","amex","20216.77","0.814","1"
"209","1794","2023-07-14","closed","travel_rewards","amex","18914.13","0.181","0"
"210","1176","2023-12-03","reissued","business","visa","27757.91","0.776","1"
"211","11486","2019-01-31","active","student","amex","12661.83","0.434","0"
"212","13451","2023-01-20","temporarily_blocked","student","amex","29956.38","0.502","1"
"213","13295","2019-06-02","reissued","premium","amex","31458.33","0.326","0"
"214","16980","2024-08-31","reissued","business","visa","9168.14","0.817","1"
"215","15408","2023-08-03","temporarily_blocked","travel_rewards","mastercard","36660.44","0.535","1"
"216","16214","2022-10-18","closed","student","mastercard","27476.65","0.808","0"
"217","15044","2019-04-15","reissued","business","visa","6130.86","0.337","0"
"218","4032","2025-05-08","closed","travel_rewards","amex","11893.81","0.599","1"
"219","640","2022-07-17","active","premium","visa","3326.18","0.453","0"
"220","2492","2024-03-07","closed","business","visa","21792.58","0.597","0"
"221","14967","2020-07-29","active","business","visa","33504.13","0.462","1"
"222","7665","2021-08-21","closed","cashback","visa","8712.25","0.696","1"
"223","14514","2024-09-04","temporarily_blocked","student","mastercard","19609.02","0.079","0"
"224","6830","2024-03-09","closed","cashback","mastercard","37947.33","0.628","0"
"225","14293","2021-06-07","reissued","student","mastercard","32890.03","0.552","1"
"226","1272","2020-06-20","reissued","student","amex","35211.46","0.491","1"
"227","2620","2024-05-30","temporarily_blocked","premium","visa","39234.21","0.151","1"
"228","16534","2024-06-13","reissued","cashback","visa","22387.73","0.552","1"
"229","8097","2023-04-29","reissued","cashback","mastercard","23064.3","0.752","1"
"230","5601","2022-12-05","temporarily_blocked","cashback","mastercard","3468.81","0.857","0"
"231","12283","2020-08-02","closed","student","mastercard","21332.03","0.469","1"
"232","9926","2024-08-17","closed","cashback","mastercard","24480.53","0.824","1"
"233","13338","2020-10-05","temporarily_blocked","business","visa","11650.11","0.264","0"
"234","17350","2023-11-19","active","student","visa","29109.09","0.553","0"
"235","3696","2019-03-04","closed","student","amex","31912.44","0.51","1"
"236","15011","2023-06-10","reissued","cashback","visa","19920.64","0.174","0"
"237","7480","2020-02-18","reissued","business","mastercard","16200.12","0.174","0"
"238","14717","2019-06-16","reissued","travel_rewards","visa","4223.84","0.708","0"
"239","4905","2019-04-22","temporarily_blocked","premium","visa","24482.76","0.917","1"
"240","4617","2024-05-18","temporarily_blocked","business","mastercard","3029.29","0.435","0"
"241","12405","2024-10-15","reissued","business","mastercard","12884.51","0.605","1"
"242","2982","2021-05-09","reissued","business","mastercard","35075.61","0.188","1"
"243","6864","2020-09-26","temporarily_blocked","student","visa","21904.12","0.563","0"
"244","9631","2019-04-06","temporarily_blocked","premium","amex","30382.93","0.719","1"
"245","496","2022-08-22","reissued","premium","mastercard","2567.72","0.193","1"
"246","15632","2022-09-03","reissued","student","visa","11955.04","0.444","1"
"247","10322","2020-03-18","active","business","visa","6362.12","0.072","1"
"248","15510","2025-03-11","temporarily_blocked","travel_rewards","visa","752.08","0.639","1"
"249","5465","2019-06-05","reissued","travel_rewards","visa","36143.59","0.198","0"
"250","11248","2021-02-10","active","cashback","visa","29831.43","0.035","1"
"251","16858","2019-03-27","temporarily_blocked","cashback","visa","8476.23","0.746","0"
"252","17650","2021-03-30","temporarily_blocked","travel_rewards","visa","28637.34","0.32","0"
"253","9732","2021-02-27","temporarily_blocked","travel_rewards","visa","27180.12","0.086","1"
"254","12922","2022-07-14","active","travel_rewards","mastercard","25028.21","0.487","0"
"255","4548","2019-10-19","reissued","student","amex","32549.15","0.637","1"
"256","14909","2023-04-26","reissued","premium","visa","4667.35","0.185","0"
"257","16186","2022-06-06","reissued","travel_rewards","visa","21291.68","0.734","0"
"258","11242","2025-01-01","reissued","travel_rewards","amex","5131.45","0.766","0"
"259","16891","2024-09-21","temporarily_blocked","cashback","amex","32889.37","0.38","1"
"260","1493","2019-02-20","active","business","mastercard","8843.12","0.053","0"
"261","384","2021-06-30","active","cashback","mastercard","34546.57","0.718","1"
"262","8322","2020-11-24","reissued","premium","amex","14015.53","0.175","0"
"263","12134","2020-10-14","reissued","premium","mastercard","39092.63","0.304","1"
"264","9929","2021-01-01","temporarily_blocked","student","amex","4422.18","0.225","1"
"265","859","2022-02-03","active","travel_rewards","amex","26163.46","0.191","1"
"266","13586","2019-04-27","closed","cashback","amex","12547.74","0.634","0"
"267","7557","2022-06-23","active","student","amex","4197.27","0.081","0"
"268","10316","2023-05-19","closed","cashback","mastercard","22470.77","0.674","1"
"269","12728","2021-08-11","closed","premium","amex","12395.46","0.428","0"
"270","7829","2024-09-01","closed","business","visa","31063.26","0.319","1"
"271","7265","2024-07-17","active","business","amex","20303.03","0.928","0"
"272","13297","2020-09-10","reissued","premium","mastercard","17882.66","0.231","1"
"273","7277","2024-10-11","closed","student","mastercard","18721.4","0.544","0"
"274","7866","2020-02-01","active","premium","mastercard","27429.93","0.5","0"
"275","4076","2021-10-15","active","travel_rewards","mastercard","10399.01","0.827","0"
"276","12428","2019-05-17","temporarily_blocked","travel_rewards","mastercard","10912.13","0.782","0"
"277","1097","2025-06-11","temporarily_blocked","business","visa","37324.19","0.44","0"
"278","7053","2020-03-07","closed","student","mastercard","28065.76","0.183","1"
"279","11756","2020-06-08","temporarily_blocked","premium","visa","2661.18","0.081","0"
"280","8511","2023-06-18","temporarily_blocked","premium","mastercard","10814.07","0.403","0"
"281","8098","2023-07-18","temporarily_blocked","business","mastercard","6074.07","0.358","1"
"282","5388","2024-07-01","reissued","business","amex","2263.23","0.76","0"
"283","10521","2021-03-01","temporarily_blocked","business","amex","31123.44","0.387","0"
"284","14883","2021-04-09","active","student","visa","9618.12","0.463","0"
"285","17357","2025-10-26","reissued","business","amex","37790.88","0.721","1"
"286","4574","2019-02-17","temporarily_blocked","student","amex","10441.95","0.061","0"
"287","16851","2025-06-09","reissued","student","amex","12174.67","0.69","1"
"288","17871","2019-07-05","closed","travel_rewards","mastercard","5603.76","0.211","0"
"289","1181","2020-08-16","reissued","student","mastercard","15638.38","0.573","1"
"290","17551","2021-03-03","reissued","travel_rewards","amex","20037.68","0.645","0"
"291","16060","2024-03-01","reissued","travel_rewards","visa","38529.14","0.162","0"
"292","5556","2022-08-07","active","travel_rewards","amex","18217.08","0.512","0"
"293","4427","2019-09-21","reissued","travel_rewards","mastercard","8156.68","0.569","0"
"294","4455","2022-10-26","temporarily_blocked","premium","visa","32394.17","0.097","1"
"295","1336","2022-12-04","reissued","cashback","visa","4723.59","0.467","0"
"296","4862","2020-07-08","closed","cashback","visa","31420.67","0.212","0"
"297","16407","2024-09-24","closed","premium","mastercard","24760.13","0.891","1"
"298","6082","2021-10-03","reissued","travel_rewards","visa","30944.74","0.702","1"
"299","520","2025-07-06","active","cashback","mastercard","6614.77","0.189","0"
"300","15981","2020-07-22","closed","student","amex","1720.27","0.102","1"
"301","11547","2024-12-11","closed","cashback","amex","7254.34","0.78","0"
"302","6411","2021-05-27","active","student","amex","23438.64","0.463","1"
"303","14429","2024-12-16","reissued","business","visa","1624.74","0.155","1"
"304","14301","2022-11-29","reissued","student","visa","5515.62","0.38","1"
"305","7089","2021-08-31","reissued","cashback","amex","17949.03","0.869","0"
"306","12747","2019-07-09","temporarily_blocked","travel_rewards","mastercard","17383.85","0.832","1"
"307","4423","2019-06-11","active","travel_rewards","amex","39905.32","0.252","1"
"308","17844","2023-07-16","closed","premium","amex","33677.86","0.087","0"
"309","6349","2023-10-10","closed","student","visa","17261.69","0.188","1"
"310","3778","2021-02-02","active","cashback","mastercard","15363.88","0.804","0"
"311","1327","2020-06-29","temporarily_blocked","premium","mastercard","17019.88","0.325","1"
"312","6579","2024-04-26","closed","travel_rewards","mastercard","2617.08","0.344","0"
"313","13262","2024-05-16","closed","travel_rewards","mastercard","31316.29","0.786","1"
"314","10941","2021-04-20","active","premium","amex","26658.12","0.59","0"
"315","9156","2021-08-13","closed","student","mastercard","38724.26","0.63","1"
"316","6857","2022-12-12","temporarily_blocked","cashback","amex","39480.74","0.051","0"
"317","5816","2022-03-13","reissued","cashback","mastercard","3980.86","0.855","0"
"318","2575","2022-08-29","closed","business","amex","36237.8","0.487","1"
"319","8577","2019-09-06","active","business","mastercard","39543.29","0.389","1"
"320","17975","2023-03-03","closed","travel_rewards","visa","8172.81","0.749","1"
"321","7546","2025-06-18","reissued","student","mastercard","19156.36","0.842","0"
"322","1254","2019-12-12","closed","cashback","mastercard","24306.56","0.626","0"
"323","2021","2025-08-16","temporarily_blocked","student","visa","30580.77","0.746","1"
"324","17502","2022-05-01","reissued","student","amex","34473.11","0.463","1"
"325","784","2023-02-27","active","premium","mastercard","20648.29","0.415","1"
"326","16712","2025-06-05","closed","cashback","amex","38020.78","0.236","1"
"327","9654","2024-01-30","temporarily_blocked","travel_rewards","visa","25725.68","0.089","0"
"328","6071","2020-09-29","temporarily_blocked","student","amex","15485.9","0.304","1"
"329","9913","2022-07-23","reissued","business","mastercard","5536.17","0.759","1"
"330","11978","2025-05-11","reissued","cashback","visa","6710.69","0.471","1"
"331","7054","2024-04-28","reissued","student","amex","25354.53","0.733","0"
"332","15290","2024-04-18","temporarily_blocked","premium","visa","27047.9","0.408","0"
"333","12990","2023-03-14","reissued","business","amex","36408.47","0.647","0"
"334","5364","2022-10-05","temporarily_blocked","business","amex","5906.02","0.422","0"
"335","1725","2024-08-30","reissued","cashback","visa","38385.1","0.581","1"
"336","4765","2020-05-10","reissued","travel_rewards","mastercard","39954.08","0.771","1"
"337","8546","2022-08-31","reissued","cashback","mastercard","17153.5","0.462","0"
"338","11843","2020-02-11","temporarily_blocked","business","visa","27065.82","0.21","0"
"339","8296","2024-10-08","active","cashback","amex","12604.27","0.276","0"
"340","2381","2025-05-24","active","cashback","visa","35169.71","0.654","1"
"341","2322","2020-09-09","temporarily_blocked","premium","amex","33773.19","0.453","1"
"342","5203","2019-05-09","closed","travel_rewards","visa","22105.91","0.477","1"
"343","5323","2023-02-12","active","cashback","mastercard","31706.16","0.4","0"
"344","15510","2025-04-25","active","premium","mastercard","15435.2","0.321","0"
"345","17426","2020-12-16","closed","business","amex","20660.22","0.083","1"
"346","3563","2023-05-30","temporarily_blocked","travel_rewards","amex","33852.13","0.702","0"
"347","16897","2021-10-10","temporarily_blocked","student","amex","19193.06","0.75","1"
"348","15759","2025-10-24","temporarily_blocked","business","visa","9304.15","0.571","1"
"349","5466","2019-04-11","closed","cashback","mastercard","23565.58","0.843","1"
"350","1839","2024-03-12","closed","cashback","amex","33680.77","0.14","0"
"351","12235","2021-01-20","temporarily_blocked","student","visa","11589.14","0.034","1"
"352","6170","2022-06-22","reissued","travel_rewards","visa","13249.07","0.203","0"
"353","416","2021-10-16","closed","business","mastercard","13308.37","0.726","0"
"354","13124","2024-05-13","active","travel_rewards","mastercard","4291.51","0.387","0"
"355","7071","2020-12-15","temporarily_blocked","cashback","mastercard","17298.91","0.024","0"
"356","11964","2025-02-21","reissued","business","visa","29285.9","0.25","1"
"357","8884","2019-05-27","temporarily_blocked","travel_rewards","mastercard","35768.76","0.851","1"
"358","3744","2021-08-10","reissued","cashback","mastercard","23282.24","0.057","1"
"359","476","2024-12-08","reissued","student","amex","1163.3","0.768","0"
"360","3545","2021-03-01","reissued","premium","mastercard","25495.09","0.139","0"
"361","17234","2019-03-04","closed","cashback","amex","23785.58","0.212","1"
"362","15366","2024-09-29","active","student","mastercard","15375.41","0.078","0"
"363","2156","2020-03-08","reissued","student","amex","27255.25","0.399","0"
"364","1465","2021-02-15","closed","premium","visa","33584.12","0.595","0"
"365","14560","2025-04-20","active","premium","amex","18010.18","0.896","1"
"366","6997","2019-05-24","temporarily_blocked","student","mastercard","4712.5","0.857","1"
"367","12170","2020-03-02","closed","cashback","visa","30586.68","0.304","0"
"368","2200","2021-06-04","closed","cashback","amex","2363.56","0.919","1"
"369","11135","2019-09-06","active","premium","amex","35426.75","0.078","1"
"370","7785","2024-09-18","temporarily_blocked","business","mastercard","34817.15","0.375","0"
"371","3585","2019-01-17","active","cashback","visa","15154.44","0.873","0"
"372","1874","2023-04-23","closed","student","mastercard","28778.4","0.414","0"
"373","16139","2024-11-07","active","business","mastercard","21460.72","0.346","0"
"374","13389","2019-07-24","temporarily_blocked","travel_rewards","amex","30361.64","0.784","1"
"375","14573","2022-03-06","closed","cashback","amex","6211.39","0.06","0"
"376","72","2024-12-28","active","premium","amex","8252.67","0.024","0"
"377","3402","2025-09-26","temporarily_blocked","premium","amex","8970.98","0.7","0"
"378","2500","2025-01-26","active","travel_rewards","mastercard","22004.04","0.496","0"
"379","14299","2022-11-20","closed","student","visa","28426.76","0.592","0"
