"cardholder_id","credit_score_band","customer_name","home_region","customer_segment","tenure_months","travel_frequency","historical_chargeback_flag","risk_band"
"127","subprime","cardholder_127","europe","small_business","121","frequent","0","high"
"128","super_prime","cardholder_128","asia_pacific","mass_market","82","very_frequent","0","low"
"129","near_prime","cardholder_129","north_america","high_risk","162","frequent","0","low"
"130","subprime","cardholder_130","north_america","small_business","114","occasional","0","low"
"131","subprime","cardholder_131","asia_pacific","mass_market","76","frequent","0","moderate"
"132","near_prime","cardholder_132","latin_america","affluent","44","occasional","1","high"
"133","super_prime","cardholder_133","europe","high_risk","150","occasional","0","elevated"
"134","subprime","cardholder_134","asia_pacific","small_business","120","frequent","0","moderate"
"135","prime","cardholder_135","latin_america","mass_market","151","frequent","0","high"
"136","prime","cardholder_136","latin_america","travel_frequent","51","very_frequent","0","low"
"137","prime","cardholder_137","latin_america","affluent","148","frequent","0","elevated"
"138","prime","cardholder_138","latin_america","mass_market","3","rare","0","high"
"139","prime","cardholder_139","europe","travel_frequent","57","occasional","0","moderate"
"140","prime","cardholder_140","north_america","mass_market","113","rare","0","moderate"
"141","prime","cardholder_141","asia_pacific","mass_market","107","occasional","0","elevated"
"142","near_prime","cardholder_142","asia_pacific","high_risk","66","very_frequent","0","elevated"
"143","super_prime","cardholder_143","north_america","travel_frequent","20","occasional","0","moderate"
"144","subprime","cardholder_144","asia_pacific","small_business","102","rare","0","low"
"145","prime","cardholder_145","asia_pacific","small_business","150","very_frequent","0","elevated"
"146","super_prime","cardholder_146","europe","mass_market","7","frequent","0","moderate"
"147","prime","cardholder_147","latin_america","mass_market","167","very_frequent","1","low"
"148","super_prime","cardholder_148","asia_pacific","mass_market","30","rare","0","moderate"
"149","prime","cardholder_149","latin_america","small_business","172","very_frequent","0","moderate"
"150","super_prime","cardholder_150","north_america","small_business","158","very_frequent","0","elevated"
"151","near_prime","cardholder_151","asia_pacific","mass_market","114","very_frequent","0","elevated"
"152","prime","cardholder_152","asia_pacific","mass_market","16","very_frequent","0","low"
"153","near_prime","cardholder_153","north_america","small_business","165","rare","1","elevated"
"154","near_prime","cardholder_154","europe","affluent","18","occasional","0","moderate"
"155","subprime","cardholder_155","europe","travel_frequent","71","occasional","0","elevated"
"156","subprime","cardholder_156","north_america","affluent","34","rare","0","moderate"
"157","subprime","cardholder_157","asia_pacific","high_risk","45","frequent","1","high"
"158","subprime","cardholder_158","north_america","high_risk","122","very_frequent","0","low"
"159","subprime","cardholder_159","europe","small_business","169","frequent","0","low"
"160","super_prime","cardholder_160","latin_america","mass_market","110","rare","0","high"
"161","prime","cardholder_161","north_america","mass_market","156","occasional","1","elevated"
"162","super_prime","cardholder_162","asia_pacific","high_risk","153","frequent","0","high"
"163","near_prime","cardholder_163","north_america","mass_market","111","very_frequent","0","high"
"164","super_prime","cardholder_164","latin_america","travel_frequent","107","rare","0","elevated"
"165","near_prime","cardholder_165","asia_pacific","travel_frequent","176","very_frequent","1","low"
"166","subprime","cardholder_166","latin_america","mass_market","96","occasional","0","elevated"
"167","prime","cardholder_167","latin_america","mass_market","171","very_frequent","0","low"
"168","prime","cardholder_168","asia_pacific","travel_frequent","27","occasional","1","high"
"169","prime","cardholder_169","north_america","affluent","143","frequent","1","elevated"
"170","super_prime","cardholder_170","europe","high_risk","144","rare","0","elevated"
"171","prime","cardholder_171","europe","mass_market","180","frequent","0","elevated"
"172","near_prime","cardholder_172","europe","mass_market","145","very_frequent","1","low"
"173","super_prime","cardholder_173","europe","mass_market","108","very_frequent","0","elevated"
"174","subprime","cardholder_174","asia_pacific","travel_frequent","14","occasional","1","low"
"175","super_prime","cardholder_175","asia_pacific","mass_market","170","very_frequent","0","high"
"176","near_prime","cardholder_176","asia_pacific","small_business","132","rare","0","low"
"177","prime","cardholder_177","latin_america","travel_frequent","12","occasional","0","low"
"178","prime","cardholder_178","europe","mass_market","55","occasional","0","elevated"
"179","subprime","cardholder_179","north_america","travel_frequent","128","very_frequent","0","high"
"180","prime","cardholder_180","europe","high_risk","19","very_frequent","0","low"
"181","super_prime","cardholder_181","north_america","small_business","20","frequent","0","high"
"182","subprime","cardholder_182","asia_pacific","small_business","104","rare","0","moderate"
"183","prime","cardholder_183","latin_america","high_risk","23","very_frequent","0","moderate"
"184","subprime","cardholder_184","latin_america","small_business","102","frequent","0","moderate"
"185","subprime","cardholder_185","europe","travel_frequent","131","rare","0","moderate"
"186","near_prime","cardholder_186","asia_pacific","travel_frequent","61","rare","1","moderate"
"187","subprime","cardholder_187","europe","affluent","46","very_frequent","0","high"
"188","prime","cardholder_188","asia_pacific","high_risk","39","very_frequent","1","high"
"189","subprime","cardholder_189","asia_pacific","travel_frequent","91","rare","0","high"
"190","prime","cardholder_190","north_america","mass_market","74","rare","0","low"
"191","super_prime","cardholder_191","latin_america","high_risk","149","rare","0","moderate"
"192","near_prime","cardholder_192","latin_america","travel_frequent","16","very_frequent","1","elevated"
"193","subprime","cardholder_193","europe","mass_market","64","very_frequent","0","moderate"
"194","prime","cardholder_194","asia_pacific","travel_frequent","100","very_frequent","0","low"
"195","prime","cardholder_195","north_america","travel_frequent","25","very_frequent","0","moderate"
"196","near_prime","cardholder_196","north_america","travel_frequent","90","frequent","0","high"
"197","prime","cardholder_197","north_america","affluent","144","very_frequent","0","elevated"
"198","super_prime","cardholder_198","north_america","affluent","131","frequent","1","elevated"
"199","prime","cardholder_199","europe","affluent","125","occasional","0","moderate"
"200","prime","cardholder_200","north_america","affluent","26","rare","0","moderate"
"201","near_prime","cardholder_201","latin_america","high_risk","42","occasional","0","moderate"
"202","super_prime","cardholder_202","north_america","small_business","94","occasional","0","elevated"
"203","near_prime","cardholder_203","europe","small_business","80","very_frequent","0","moderate"
"204","super_prime","cardholder_204","latin_america","travel_frequent","73","very_frequent","0","high"
"205","near_prime","cardholder_205","europe","affluent","65","rare","0","elevated"
"206","subprime","cardholder_206","north_america","high_risk","73","rare","0","elevated"
"207","super_prime","cardholder_207","europe","small_business","24","occasional","0","elevated"
"208","subprime","cardholder_208","latin_america","mass_market","102","frequent","0","low"
"209","subprime","cardholder_209","europe","travel_frequent","82","rare","0","elevated"
"210","subprime","cardholder_210","europe","affluent","74","very_frequent","0","moderate"
"211","subprime","cardholder_211","latin_america","small_business","21","rare","0","moderate"
"212","subprime","cardholder_212","latin_america","high_risk","74","occasional","0","low"
"213","super_prime","cardholder_213","latin_america","affluent","17","rare","0","high"
"214","near_prime","cardholder_214","north_america","high_risk","37","frequent","0","elevated"
"215","near_prime","cardholder_215","latin_america","affluent","171","rare","0","elevated"
"216","super_prime","cardholder_216","north_america","mass_market","121","rare","0","elevated"
"217","prime","cardholder_217","north_america","travel_frequent","18","frequent","0","low"
"218","near_prime","cardholder_218","asia_pacific","high_risk","12","frequent","0","moderate"
"219","near_prime","cardholder_219","latin_america","small_business","35","rare","0","high"
"220","near_prime","cardholder_220","asia_pacific","mass_market","12","occasional","0","elevated"
"221","super_prime","cardholder_221","latin_america","travel_frequent","65","rare","0","moderate"
"222","subprime","cardholder_222","asia_pacific","travel_frequent","168","frequent","0","elevated"
"223","super_prime","cardholder_223","latin_america","small_business","99","frequent","0","high"
"224","prime","cardholder_224","asia_pacific","small_business","22","very_frequent","1","moderate"
"225","prime","cardholder_225","asia_pacific","high_risk","27","rare","0","elevated"
"226","super_prime","cardholder_226","latin_america","travel_frequent","43","very_frequent","0","low"
"227","prime","cardholder_227","latin_america","travel_frequent","164","rare","1","high"
"228","subprime","cardholder_228","europe","travel_frequent","37","very_frequent","1","low"
"229","prime","cardholder_229","asia_pacific","affluent","99","rare","0","high"
"230","super_prime","cardholder_230","asia_pacific","travel_frequent","20","occasional","0","high"
"231","near_prime","cardholder_231","asia_pacific","travel_frequent","30","rare","0","high"
"232","subprime","cardholder_232","latin_america","high_risk","68","frequent","0","moderate"
"233","super_prime","cardholder_233","asia_pacific","high_risk","52","rare","1","low"
"234","super_prime","cardholder_234","europe","small_business","23","frequent","0","low"
"235","prime","cardholder_235","asia_pacific","high_risk","41","occasional","0","moderate"
"236","near_prime","cardholder_236","europe","mass_market","61","very_frequent","1","elevated"
"237","subprime","cardholder_237","europe","small_business","17","frequent","0","high"
"238","super_prime","cardholder_238","latin_america","high_risk","148","rare","1","elevated"
"239","super_prime","cardholder_239","latin_america","mass_market","175","frequent","1","moderate"
"240","subprime","cardholder_240","latin_america","affluent","32","occasional","0","moderate"
"241","prime","cardholder_241","europe","travel_frequent","133","frequent","0","elevated"
"242","near_prime","cardholder_242","asia_pacific","affluent","161","frequent","0","low"
"243","near_prime","cardholder_243","europe","high_risk","44","frequent","0","low"
"244","subprime","cardholder_244","north_america","mass_market","165","frequent","0","high"
"245","super_prime","cardholder_245","north_america","high_risk","161","frequent","0","elevated"
"246","super_prime","cardholder_246","europe","small_business","77","very_frequent","1","low"
"247","super_prime","cardholder_247","latin_america","affluent","124","very_frequent","0","moderate"
"248","prime","cardholder_248","asia_pacific","travel_frequent","103","occasional","0","low"
"249","super_prime","cardholder_249","europe","travel_frequent","32","frequent","0","moderate"
"250","prime","cardholder_250","north_america","mass_market","99","very_frequent","0","moderate"
"251","near_prime","cardholder_251","asia_pacific","travel_frequent","41","very_frequent","0","high"
"252","super_prime","cardholder_252","asia_pacific","small_business","6","rare","0","high"
"253","prime","cardholder_253","europe","affluent","13","rare","0","high"
"254","subprime","cardholder_254","north_america","travel_frequent","111","occasional","0","elevated"
"255","subprime","cardholder_255","asia_pacific","small_business","103","rare","0","moderate"
"256","subprime","cardholder_256","asia_pacific","travel_frequent","99","very_frequent","0","elevated"
"257","near_prime","cardholder_257","north_america","high_risk","25","very_frequent","0","elevated"
"258","near_prime","cardholder_258","asia_pacific","high_risk","51","very_frequent","0","low"
"259","prime","cardholder_259","europe","mass_market","122","very_frequent","1","moderate"
"260","near_prime","cardholder_260","asia_pacific","travel_frequent","101","frequent","0","high"
"261","super_prime","cardholder_261","asia_pacific","high_risk","5","frequent","0","low"
"262","subprime","cardholder_262","asia_pacific","small_business","153","very_frequent","0","moderate"
"263","near_prime","cardholder_263","latin_america","mass_market","135","very_frequent","1","moderate"
"264","near_prime","cardholder_264","north_america","mass_market","5","very_frequent","0","moderate"
"265","super_prime","cardholder_265","europe","small_business","129","very_frequent","0","low"
"266","prime","cardholder_266","europe","affluent","170","very_frequent","0","elevated"
"267","prime","cardholder_267","latin_america","affluent","140","frequent","0","elevated"
"268","near_prime","cardholder_268","latin_america","high_risk","64","frequent","0","moderate"
"269","near_prime","cardholder_269","asia_pacific","travel_frequent","177","very_frequent","0","elevated"
"270","prime","cardholder_270","asia_pacific","high_risk","32","very_frequent","0","high"
"271","prime","cardholder_271","europe","travel_frequent","11","frequent","0","low"
"272","prime","cardholder_272","latin_america","travel_frequent","123","occasional","0","elevated"
"273","near_prime","cardholder_273","asia_pacific","high_risk","28","occasional","0","moderate"
"274","subprime","cardholder_274","north_america","affluent","106","frequent","0","low"
"275","near_prime","cardholder_275","north_america","affluent","105","very_frequent","0","moderate"
"276","prime","cardholder_276","asia_pacific","travel_frequent","166","rare","0","low"
"277","subprime","cardholder_277","europe","high_risk","45","very_frequent","0","moderate"
"278","super_prime","cardholder_278","latin_america","mass_market","48","frequent","0","low"
"279","prime","cardholder_279","north_america","travel_frequent","73","very_frequent","0","high"
"280","prime","cardholder_280","latin_america","affluent","50","rare","0","high"
"281","subprime","cardholder_281","europe","travel_frequent","87","frequent","0","moderate"
"282","super_prime","cardholder_282","latin_america","affluent","132","frequent","1","low"
"283","super_prime","cardholder_283","europe","affluent","83","occasional","1","high"
"284","prime","cardholder_284","latin_america","affluent","85","frequent","0","low"
"285","near_prime","cardholder_285","asia_pacific","travel_frequent","16","rare","0","moderate"
"286","subprime","cardholder_286","asia_pacific","small_business","164","frequent","0","moderate"
"287","super_prime","cardholder_287","europe","affluent","40","very_frequent","0","elevated"
"288","near_prime","cardholder_288","latin_america","small_business","64","rare","0","elevated"
"289","subprime","cardholder_289","north_america","mass_market","141","occasional","0","moderate"
"290","super_prime","cardholder_290","asia_pacific","affluent","30","occasional","0","high"
"291","subprime","cardholder_291","latin_america","mass_market","117","occasional","0","high"
"292","super_prime","cardholder_292","north_america","high_risk","173","frequent","0","high"
"293","near_prime","cardholder_293","north_america","travel_frequent","149","rare","1","elevated"
"294","subprime","cardholder_294","north_america","mass_market","121","rare","0","moderate"
"295","prime","cardholder_295","latin_america","affluent","98","very_frequent","0","high"
"296","near_prime","cardholder_296","north_america","small_business","168","frequent","1","high"
"297","near_prime","cardholder_297","europe","high_risk","1","rare","0","high"
"298","super_prime","cardholder_298","latin_america","high_risk","59","occasional","0","moderate"
"299","subprime","cardholder_299","europe","travel_frequent","9","very_frequent","0","low"
"300","subprime","cardholder_300","europe","affluent","26","rare","0","low"
"301","super_prime","cardholder_301","north_america","affluent","113","occasional","0","low"
"302","near_prime","cardholder_302","asia_pacific","affluent","148","frequent","0","elevated"
"303","near_prime","cardholder_303","asia_pacific","affluent","170","occasional","0","elevated"
"304","super_prime","cardholder_304","europe","mass_market","143","very_frequent","1","elevated"
"305","super_prime","cardholder_305","asia_pacific","small_business","105","occasional","0","moderate"
"306","near_prime","cardholder_306","latin_america","high_risk","58","frequent","0","moderate"
"307","super_prime","cardholder_307","north_america","small_business","107","occasional","0","elevated"
"308","subprime","cardholder_308","asia_pacific","affluent","116","frequent","1","moderate"
"309","super_prime","cardholder_309","asia_pacific","mass_market","173","rare","0","moderate"
"310","super_prime","cardholder_310","europe","high_risk","54","frequent","0","low"
"311","subprime","cardholder_311","europe","affluent","123","occasional","0","moderate"
"312","prime","cardholder_312","europe","small_business","73","very_frequent","0","elevated"
"313","prime","cardholder_313","asia_pacific","travel_frequent","132","very_frequent","0","high"
"314","prime","cardholder_314","europe","travel_frequent","81","very_frequent","1","moderate"
"315","prime","cardholder_315","north_america","affluent","142","very_frequent","0","moderate"
"316","super_prime","cardholder_316","europe","travel_frequent","146","occasional","0","elevated"
"317","super_prime","cardholder_317","latin_america","travel_frequent","118","occasional","0","elevated"
"318","super_prime","cardholder_318","europe","affluent","48","rare","0","low"
"319","super_prime","cardholder_319","north_america","mass_market","36","occasional","1","moderate"
"320","super_prime","cardholder_320","europe","mass_market","96","rare","0","high"
"321","subprime","cardholder_321","north_america","small_business","137","very_frequent","1","elevated"
"322","subprime","cardholder_322","asia_pacific","high_risk","129","very_frequent","0","moderate"
"323","near_prime","cardholder_323","north_america","mass_market","62","occasional","0","elevated"
"324","super_prime","cardholder_324","asia_pacific","travel_frequent","21","frequent","0","high"
"325","near_prime","cardholder_325","europe","high_risk","77","rare","0","low"
"326","super_prime","cardholder_326","latin_america","mass_market","97","very_frequent","1","low"
"327","super_prime","cardholder_327","north_america","affluent","112","frequent","0","low"
"328","near_prime","cardholder_328","north_america","high_risk","55","very_frequent","0","low"
"329","near_prime","cardholder_329","north_america","travel_frequent","81","rare","0","moderate"
"330","prime","cardholder_330","north_america","small_business","42","occasional","0","high"
"331","super_prime","cardholder_331","asia_pacific","high_risk","36","rare","0","elevated"
"332","super_prime","cardholder_332","north_america","mass_market","60","rare","0","high"
"333","prime","cardholder_333","north_america","travel_frequent","116","very_frequent","0","high"
"334","super_prime","cardholder_334","europe","small_business","22","frequent","0","low"
"335","near_prime","cardholder_335","asia_pacific","mass_market","98","occasional","0","elevated"
"336","subprime","cardholder_336","north_america","travel_frequent","2","frequent","0","elevated"
"337","subprime","cardholder_337","europe","mass_market","48","very_frequent","0","high"
"338","subprime","cardholder_338","north_america","mass_market","91","rare","0","elevated"
"339","prime","cardholder_339","north_america","small_business","106","very_frequent","0","moderate"
"340","super_prime","cardholder_340","europe","high_risk","44","occasional","0","elevated"
"341","subprime","cardholder_341","europe","small_business","43","very_frequent","0","elevated"
"342","prime","cardholder_342","north_america","small_business","65","occasional","0","high"
"343","super_prime","cardholder_343","europe","high_risk","28","occasional","0","high"
"344","prime","cardholder_344","latin_america","travel_frequent","113","frequent","0","moderate"
"345","near_prime","cardholder_345","asia_pacific","travel_frequent","123","frequent","0","high"
"346","super_prime","cardholder_346","asia_pacific","travel_frequent","148","occasional","0","elevated"
"347","subprime","cardholder_347","asia_pacific","small_business","145","occasional","0","moderate"
"348","super_prime","cardholder_348","north_america","high_risk","54","very_frequent","0","low"
"349","near_prime","cardholder_349","latin_america","small_business","163","frequent","0","moderate"
"350","subprime","cardholder_350","latin_america","small_business","115","very_frequent","0","high"
"351","prime","cardholder_351","north_america","high_risk","180","rare","1","moderate"
"352","subprime","cardholder_352","europe","travel_frequent","145","very_frequent","0","elevated"
"353","subprime","cardholder_353","north_america","small_business","26","frequent","0","moderate"
"354","super_prime","cardholder_354","asia_pacific","small_business","119","occasional","0","low"
"355","prime","cardholder_355","north_america","small_business","107","rare","1","moderate"
"356","prime","cardholder_356","asia_pacific","travel_frequent","117","occasional","0","elevated"
"357","super_prime","cardholder_357","north_america","small_business","179","very_frequent","0","elevated"
"358","subprime","cardholder_358","north_america","mass_market","88","rare","0","moderate"
"359","near_prime","cardholder_359","europe","affluent","85","very_frequent","0","moderate"
"360","near_prime","cardholder_360","europe","small_business","164","very_frequent","0","moderate"
"361","super_prime","cardholder_361","latin_america","small_business","2","occasional","0","low"
"362","near_prime","cardholder_362","north_america","high_risk","94","frequent","0","low"
"363","prime","cardholder_363","latin_america","travel_frequent","153","very_frequent","0","low"
"364","super_prime","cardholder_364","asia_pacific","travel_frequent","159","occasional","0","elevated"
"365","near_prime","cardholder_365","north_america","high_risk","81","rare","0","low"
"366","near_prime","cardholder_366","asia_pacific","affluent","131","very_frequent","0","moderate"
"367","super_prime","cardholder_367","latin_america","high_risk","48","very_frequent","0","moderate"
"368","super_prime","cardholder_368","europe","high_risk","74","occasional","0","high"
"369","prime","cardholder_369","north_america","high_risk","3","very_frequent","1","high"
"370","super_prime","cardholder_370","latin_america","high_risk","176","very_frequent","0","high"
"371","subprime","cardholder_371","europe","small_business","145","rare","0","moderate"
"372","prime","cardholder_372","north_america","travel_frequent","58","frequent","0","high"
"373","subprime","cardholder_373","latin_america","high_risk","147","rare","0","elevated"
"374","super_prime","cardholder_374","north_america","high_risk","140","occasional","0","low"
"375","subprime","cardholder_375","asia_pacific","affluent","116","frequent","0","low"
"376","near_prime","cardholder_376","north_america","small_business","54","frequent","0","high"
"377","near_prime","cardholder_377","europe","affluent","53","rare","0","elevated"
"378","prime","cardholder_378","europe","high_risk","75","frequent","0","low"
"379","subprime","cardholder_379","latin_america","affluent","71","occasional","0","moderate"
