fraud_case_id,transaction_id,alert_date,fraud_type,investigation_status,chargeback_amount,loss_amount,model_score
79,43002,2025-01-04,counterfeit,false_positive,6747.23,2305.75,0.204
80,102107,2025-07-27,identity_theft,recovered,2656.74,1212.64,0.724
81,168792,2025-03-07,identity_theft,confirmed_fraud,4226.23,565.81,0.037
82,136307,2025-10-07,identity_theft,recovered,4002.23,4615.63,0.938
83,134431,2025-10-06,account_takeover,under_review,7999.63,5156.0,0.531
84,112269,2025-08-31,friendly_fraud,false_positive,2646.18,5468.58,0.128
85,21684,2025-01-13,counterfeit,under_review,1430.44,839.14,0.974
86,110931,2025-09-18,counterfeit,recovered,3553.8,4515.5,0.034
87,66292,2025-11-29,friendly_fraud,under_review,4205.7,5152.02,0.238
88,43370,2025-03-27,card_not_present,false_positive,6393.48,2516.46,0.511
89,131332,2025-03-22,merchant_collusion,false_positive,1295.17,1106.14,0.113
90,77143,2025-09-17,identity_theft,recovered,2183.55,5950.1,0.645
91,146150,2025-10-10,card_not_present,false_positive,2003.53,1359.03,0.489
92,126009,2025-01-09,merchant_collusion,recovered,3900.16,3733.86,0.69
93,33919,2025-11-24,merchant_collusion,confirmed_fraud,5874.42,887.25,0.198
94,161818,2025-01-17,identity_theft,confirmed_fraud,784.39,376.04,0.094
95,99800,2025-09-23,merchant_collusion,under_review,7891.77,5945.97,0.32
96,5807,2025-04-11,friendly_fraud,under_review,6485.43,1140.12,0.411
97,75341,2025-02-01,identity_theft,confirmed_fraud,7351.58,1935.84,0.713
98,1789,2025-03-22,merchant_collusion,recovered,7475.8,1350.38,0.473
99,8923,2025-06-05,identity_theft,confirmed_fraud,2700.66,2483.92,0.914
100,132730,2025-10-11,identity_theft,confirmed_fraud,5051.19,5648.03,0.706
101,77829,2025-08-07,card_not_present,recovered,407.23,5646.73,0.872
102,92528,2025-02-07,identity_theft,under_review,7201.14,5808.6,0.589
103,128705,2025-09-17,counterfeit,recovered,5369.0,4447.26,0.96
104,43477,2025-01-24,counterfeit,under_review,2378.91,5229.38,0.656
105,4212,2025-01-14,friendly_fraud,confirmed_fraud,7096.17,1593.87,0.56
106,70515,2025-01-26,merchant_collusion,false_positive,5449.92,1733.07,0.33
107,40009,2025-04-08,account_takeover,under_review,5119.91,1576.18,0.843
108,128929,2025-08-29,identity_theft,confirmed_fraud,4931.28,2992.4,0.807
109,120504,2025-10-11,friendly_fraud,recovered,585.96,2124.1,0.552
110,133481,2025-10-10,account_takeover,false_positive,2105.48,1270.3,0.149
111,10582,2025-06-11,account_takeover,under_review,3314.94,2264.17,0.983
112,169008,2025-03-07,account_takeover,confirmed_fraud,7230.86,5486.73,0.328
113,43137,2025-09-17,card_not_present,recovered,1363.36,5051.77,0.471
114,108194,2025-03-14,counterfeit,recovered,4054.69,5364.56,0.673
115,59225,2025-06-18,card_not_present,false_positive,1330.38,2352.56,0.901
116,27095,2025-11-11,counterfeit,recovered,662.77,1349.76,0.463
117,93763,2025-05-28,counterfeit,confirmed_fraud,5817.75,3607.32,0.067
118,35645,2025-02-04,friendly_fraud,false_positive,5688.63,3300.49,0.832
119,145044,2025-10-22,account_takeover,under_review,7715.29,5986.83,0.366
120,111215,2025-09-16,identity_theft,under_review,3940.65,940.65,0.344
121,149691,2025-05-24,merchant_collusion,under_review,5559.52,14.6,0.818
122,29545,2025-01-17,counterfeit,confirmed_fraud,3414.51,1315.47,0.731
123,75221,2025-06-19,counterfeit,confirmed_fraud,237.74,3105.46,0.578
124,42343,2025-10-03,counterfeit,under_review,5988.12,871.33,0.105
125,30828,2025-05-27,account_takeover,confirmed_fraud,3905.41,1107.44,0.785
126,30601,2025-09-08,friendly_fraud,confirmed_fraud,1161.44,2721.27,0.921
127,98366,2025-10-01,friendly_fraud,recovered,5764.42,4738.2,0.608
128,45223,2025-06-17,identity_theft,false_positive,6322.93,2968.42,0.2
129,143805,2025-02-10,card_not_present,false_positive,1939.52,507.85,0.531
130,141931,2025-03-18,account_takeover,false_positive,1564.44,4581.68,0.394
131,59683,2025-07-08,friendly_fraud,false_positive,7902.0,268.69,0.199
132,13603,2025-02-10,merchant_collusion,confirmed_fraud,7883.67,2921.29,0.75
133,164757,2025-10-27,identity_theft,confirmed_fraud,6677.63,3168.25,0.334
134,89412,2025-10-02,account_takeover,confirmed_fraud,6737.54,4262.69,0.799
135,96627,2025-02-27,account_takeover,confirmed_fraud,455.3,4463.0,0.836
136,135720,2025-12-22,merchant_collusion,confirmed_fraud,1290.03,5124.97,0.99
137,40879,2025-04-10,counterfeit,under_review,1792.72,5646.97,0.627
138,47087,2025-01-17,friendly_fraud,confirmed_fraud,2540.47,857.94,0.233
139,67578,2025-10-03,friendly_fraud,confirmed_fraud,2746.27,4379.57,0.017
140,25719,2025-02-28,counterfeit,under_review,7895.36,5247.66,0.726
141,176498,2025-05-01,friendly_fraud,false_positive,6939.76,1914.17,0.668
142,54842,2025-03-20,identity_theft,under_review,4769.63,3381.39,0.401
143,98549,2025-02-03,account_takeover,recovered,5133.86,4534.0,0.752
144,110379,2025-12-08,identity_theft,recovered,4566.26,2294.49,0.715
145,16809,2025-05-05,card_not_present,under_review,6163.03,724.71,0.149
146,104535,2025-06-22,identity_theft,under_review,2498.18,2777.62,0.426
147,135248,2025-09-28,friendly_fraud,under_review,419.36,4498.32,0.738
148,70689,2025-01-19,identity_theft,under_review,79.08,429.3,0.506
149,63602,2025-11-16,account_takeover,confirmed_fraud,6318.49,1574.41,0.123
150,24918,2025-12-06,counterfeit,confirmed_fraud,506.25,2990.52,0.377
151,49158,2025-09-02,card_not_present,confirmed_fraud,7413.43,3103.6,0.473
152,43103,2025-03-25,account_takeover,under_review,3905.55,2714.29,0.532
153,118506,2025-04-05,friendly_fraud,recovered,1359.22,1658.89,0.282
154,146592,2025-05-23,card_not_present,recovered,2790.4,3946.44,0.336
155,71369,2025-09-21,merchant_collusion,recovered,6095.69,3438.12,0.34
156,51936,2025-10-27,friendly_fraud,recovered,929.95,3465.18,0.889
157,132692,2025-10-01,account_takeover,under_review,4880.36,3705.22,0.859
158,12760,2025-09-06,account_takeover,false_positive,2363.22,855.53,0.079
159,27911,2025-04-01,card_not_present,confirmed_fraud,1447.01,5949.66,0.207
160,176549,2025-07-16,identity_theft,under_review,7366.21,677.54,0.444
161,1446,2025-11-28,identity_theft,recovered,532.53,2622.37,0.604
162,110226,2025-12-13,merchant_collusion,false_positive,5265.14,4272.75,0.113
163,25160,2025-08-28,card_not_present,confirmed_fraud,5227.15,5678.31,0.088
164,61817,2025-09-30,merchant_collusion,confirmed_fraud,464.57,1764.18,0.538
165,125074,2025-12-01,card_not_present,confirmed_fraud,26.64,1092.32,0.567
166,98672,2025-03-21,account_takeover,false_positive,1866.3,3589.12,0.215
167,65560,2025-11-22,friendly_fraud,confirmed_fraud,4725.88,1242.11,0.505
168,117277,2025-03-28,card_not_present,false_positive,3753.25,3532.58,0.165
169,136953,2025-10-18,merchant_collusion,false_positive,7962.84,2763.34,0.838
170,167399,2025-07-11,counterfeit,confirmed_fraud,1359.38,857.35,0.205
171,130003,2025-09-08,identity_theft,recovered,4651.32,3173.22,0.164
172,133682,2025-02-12,counterfeit,under_review,5892.23,3477.77,0.512
173,103744,2025-08-04,friendly_fraud,false_positive,251.67,1096.32,0.904
174,17719,2025-08-30,merchant_collusion,false_positive,1046.64,3737.87,0.945
175,145403,2025-01-10,account_takeover,under_review,4967.65,3159.71,0.733
176,96346,2025-01-20,friendly_fraud,false_positive,2776.98,930.18,0.287
177,46449,2025-12-04,identity_theft,recovered,6125.27,5784.25,0.757
178,72423,2025-05-24,identity_theft,false_positive,4366.56,4101.62,0.831
179,37930,2025-05-31,merchant_collusion,false_positive,7361.57,301.84,0.112
180,164044,2025-04-06,counterfeit,recovered,257.59,512.83,0.072
181,120527,2025-08-09,account_takeover,confirmed_fraud,1769.27,5464.66,0.713
182,23082,2025-06-19,account_takeover,confirmed_fraud,1928.09,579.9,0.438
183,23453,2025-05-13,counterfeit,under_review,5017.29,2865.29,0.722
184,16397,2025-04-28,merchant_collusion,under_review,2435.61,1243.17,0.25
185,169478,2025-01-23,identity_theft,false_positive,7449.22,1809.56,0.631
186,75539,2025-09-28,counterfeit,false_positive,3374.05,4640.5,0.239
187,22391,2025-10-02,merchant_collusion,false_positive,2139.5,115.05,0.016
188,87325,2025-03-17,identity_theft,under_review,6333.3,5496.37,0.869
189,60246,2025-11-23,identity_theft,confirmed_fraud,4349.74,1902.11,0.657
190,163404,2025-01-02,account_takeover,recovered,2534.03,2001.94,0.498
191,150953,2025-01-03,account_takeover,under_review,4434.38,5211.81,0.799
192,163465,2025-03-22,account_takeover,confirmed_fraud,3836.02,5372.08,0.154
193,56497,2025-05-16,friendly_fraud,false_positive,1294.18,778.98,0.758
194,23847,2025-02-15,card_not_present,confirmed_fraud,4234.73,969.14,0.212
195,36076,2025-09-04,account_takeover,recovered,3846.4,3646.96,0.829
196,154470,2025-11-21,friendly_fraud,under_review,846.12,5483.79,0.037
197,35832,2025-12-16,card_not_present,under_review,6994.61,4518.7,0.655
198,178120,2025-04-08,account_takeover,confirmed_fraud,7129.42,4290.05,0.971
199,175513,2025-03-28,friendly_fraud,false_positive,438.11,5048.67,0.871
200,171098,2025-05-05,friendly_fraud,recovered,40.97,4237.08,0.849
201,18542,2025-11-27,identity_theft,false_positive,4582.01,5476.46,0.674
202,62532,2025-03-12,account_takeover,false_positive,5715.98,3138.55,0.595
203,107997,2025-01-26,account_takeover,under_review,6544.28,4076.72,0.012
204,19126,2025-06-25,identity_theft,confirmed_fraud,578.53,2001.56,0.553
205,139587,2025-05-31,friendly_fraud,under_review,7768.92,2655.76,0.592
206,42879,2025-07-05,account_takeover,under_review,6851.37,5097.74,0.665
207,9216,2025-10-02,friendly_fraud,false_positive,7087.69,1642.46,0.248
208,138593,2025-02-26,account_takeover,recovered,3490.54,1190.76,0.974
209,21326,2025-01-17,card_not_present,under_review,2779.06,5316.69,0.417
210,30313,2025-12-29,card_not_present,false_positive,7016.59,1179.9,0.307
211,117868,2025-12-04,merchant_collusion,under_review,7099.1,444.73,0.95
212,147140,2025-07-05,account_takeover,recovered,5862.97,2856.61,0.588
213,62143,2025-04-20,card_not_present,confirmed_fraud,2108.81,217.06,0.102
214,158213,2025-02-06,identity_theft,false_positive,7477.45,2448.9,0.832
215,97668,2025-05-12,merchant_collusion,recovered,3141.08,5163.95,0.429
216,173924,2025-10-03,identity_theft,confirmed_fraud,5889.69,4471.11,0.043
217,68248,2025-04-16,account_takeover,confirmed_fraud,727.62,4858.89,0.271
218,174326,2025-07-19,account_takeover,recovered,1949.67,5505.36,0.417
219,146200,2025-05-15,merchant_collusion,under_review,6916.96,2958.0,0.027
220,7934,2025-05-12,card_not_present,recovered,4144.01,817.45,0.461
221,89444,2025-03-30,counterfeit,false_positive,1299.12,1057.2,0.195
222,15864,2025-01-24,account_takeover,confirmed_fraud,2417.39,4069.51,0.553
223,128424,2025-10-09,friendly_fraud,recovered,1297.02,986.12,0.434
224,46897,2025-03-13,friendly_fraud,recovered,4397.94,4681.66,0.957
225,153657,2025-06-16,account_takeover,confirmed_fraud,5363.78,5699.95,0.772
226,52629,2025-12-06,card_not_present,confirmed_fraud,811.12,2148.23,0.758
227,80853,2025-12-25,merchant_collusion,false_positive,1417.5,3966.19,0.405
228,154689,2025-09-19,friendly_fraud,under_review,6092.91,2573.01,0.58
229,174845,2025-08-16,merchant_collusion,under_review,552.33,5605.97,0.106
230,150436,2025-04-18,account_takeover,confirmed_fraud,4198.15,3477.8,0.617
231,162906,2025-06-28,card_not_present,recovered,2641.23,1560.27,0.168
232,77272,2025-11-08,account_takeover,false_positive,5350.94,1927.32,0.815
233,152728,2025-10-02,merchant_collusion,confirmed_fraud,6253.82,5846.1,0.326
234,120873,2025-07-15,counterfeit,false_positive,6633.32,1883.3,0.57
235,118937,2025-07-18,counterfeit,false_positive,2490.93,5664.84,0.081
236,91264,2025-03-01,card_not_present,false_positive,754.43,4234.06,0.04
237,89256,2025-11-15,friendly_fraud,recovered,7334.41,3698.09,0.294
238,62173,2025-06-19,identity_theft,recovered,2579.94,4326.29,0.235
239,30211,2025-02-09,card_not_present,recovered,4132.22,5400.79,0.986
240,69927,2025-11-10,identity_theft,false_positive,844.86,647.8,0.505
241,138036,2025-12-13,merchant_collusion,confirmed_fraud,5837.98,2296.88,0.656
242,57023,2025-09-29,account_takeover,under_review,3260.95,498.93,0.28
243,143362,2025-10-10,account_takeover,recovered,4002.02,5987.51,0.606
244,127366,2025-10-29,merchant_collusion,under_review,3746.23,1848.08,0.35
245,84003,2025-01-12,account_takeover,false_positive,1555.49,4393.17,0.402
246,17256,2025-05-03,card_not_present,under_review,1334.63,1967.27,0.718
247,75968,2025-06-27,account_takeover,confirmed_fraud,6196.42,2419.98,0.732
248,9508,2025-06-14,counterfeit,under_review,5851.92,5014.74,0.78
249,106673,2025-04-26,friendly_fraud,recovered,2489.18,1985.0,0.94
250,118769,2025-04-03,identity_theft,false_positive,7399.02,921.84,0.91
251,144620,2025-04-09,merchant_collusion,under_review,3079.0,3686.27,0.179
252,100397,2025-08-27,account_takeover,under_review,5760.16,3110.92,0.891
253,76177,2025-01-29,friendly_fraud,under_review,339.96,1720.72,0.203
254,82435,2025-10-20,friendly_fraud,recovered,327.41,2747.43,0.868
255,116425,2025-10-22,card_not_present,recovered,2078.93,5346.15,0.604
256,38029,2025-12-12,identity_theft,confirmed_fraud,4689.37,3158.7,0.457
257,81266,2025-05-13,card_not_present,recovered,2634.04,4017.25,0.217
258,25029,2025-09-04,merchant_collusion,false_positive,3509.28,26.44,0.804
259,59549,2025-09-18,card_not_present,false_positive,6061.49,5043.59,0.222
260,128553,2025-08-10,counterfeit,false_positive,5397.06,4915.31,0.687
261,130673,2025-06-11,counterfeit,confirmed_fraud,1330.66,2935.76,0.724
262,36961,2025-01-05,friendly_fraud,confirmed_fraud,2344.01,596.1,0.457
263,111838,2025-04-08,friendly_fraud,recovered,496.94,5641.42,0.946
264,49067,2025-10-29,merchant_collusion,false_positive,1515.85,1160.59,0.26
265,163818,2025-05-31,identity_theft,confirmed_fraud,6191.08,4789.72,0.798
266,64870,2025-08-04,friendly_fraud,recovered,3276.04,2542.0,0.321
267,73607,2025-02-23,card_not_present,confirmed_fraud,7346.97,2100.21,0.464
268,13335,2025-10-02,account_takeover,confirmed_fraud,5235.39,3669.04,0.201
269,52242,2025-03-29,counterfeit,confirmed_fraud,1824.81,4944.27,0.498
270,172527,2025-11-18,account_takeover,false_positive,1616.81,862.81,0.395
271,70361,2025-01-09,account_takeover,false_positive,6377.23,3092.35,0.413
272,103730,2025-07-25,identity_theft,recovered,3043.4,5291.6,0.506
273,125453,2025-08-26,identity_theft,false_positive,2833.89,2872.38,0.953
274,164122,2025-04-12,counterfeit,under_review,7550.73,4718.87,0.812
275,9123,2025-07-18,friendly_fraud,recovered,6200.85,2147.57,0.419
276,7602,2025-03-20,card_not_present,confirmed_fraud,3814.84,3316.05,0.77
277,63944,2025-08-24,counterfeit,under_review,4454.08,5361.23,0.81
278,156883,2025-10-17,card_not_present,false_positive,682.83,2899.81,0.453
279,99670,2025-02-14,identity_theft,false_positive,4275.99,4085.46,0.883
280,113227,2025-01-23,merchant_collusion,under_review,7234.73,704.56,0.944
281,93690,2025-11-12,merchant_collusion,under_review,4025.6,5158.79,0.44
282,40826,2025-01-03,merchant_collusion,false_positive,486.66,3507.6,0.814
283,29083,2025-05-28,identity_theft,recovered,4089.3,5020.76,0.826
284,93981,2025-01-11,account_takeover,under_review,425.87,5965.63,0.418
285,77705,2025-08-31,card_not_present,confirmed_fraud,2791.62,1747.34,0.58
286,73315,2025-04-01,counterfeit,under_review,7824.59,408.48,0.985
287,178445,2025-12-08,card_not_present,under_review,7724.48,4562.62,0.946
288,28350,2025-05-23,merchant_collusion,recovered,3203.47,494.78,0.226
289,39893,2025-12-04,counterfeit,under_review,6921.38,3016.38,0.488
290,35791,2025-09-02,merchant_collusion,recovered,2147.45,2094.15,0.748
291,4096,2025-02-13,counterfeit,confirmed_fraud,6468.53,5890.09,0.494
292,160632,2025-04-22,identity_theft,false_positive,1892.19,1501.4,0.651
293,84488,2025-08-07,account_takeover,confirmed_fraud,2598.57,4019.52,0.644
294,122639,2025-12-17,merchant_collusion,recovered,7614.69,558.97,0.366
295,124317,2025-02-03,counterfeit,false_positive,1268.63,3383.2,0.396
296,43989,2025-02-22,account_takeover,confirmed_fraud,2608.24,2172.43,0.621
297,89607,2025-08-27,account_takeover,recovered,3890.62,1418.97,0.681
298,15342,2025-08-07,account_takeover,confirmed_fraud,6619.88,2062.43,0.502
299,134609,2025-01-01,identity_theft,under_review,771.9,661.03,0.794
300,122527,2025-01-17,identity_theft,false_positive,6334.51,5156.49,0.875
301,8287,2025-11-10,merchant_collusion,under_review,6858.76,2520.36,0.188
302,113775,2025-05-21,merchant_collusion,recovered,4074.81,2296.97,0.05
303,7853,2025-05-28,friendly_fraud,false_positive,7396.3,3745.04,0.933
304,160543,2025-06-28,merchant_collusion,under_review,4447.71,3329.39,0.165
305,101381,2025-05-06,friendly_fraud,false_positive,2690.81,160.23,0.046
306,120565,2025-11-17,merchant_collusion,false_positive,2785.23,3687.95,0.37
307,5480,2025-06-05,counterfeit,under_review,7742.93,2501.08,0.447
308,105035,2025-10-17,friendly_fraud,recovered,6957.51,4096.39,0.921
309,140667,2025-10-10,merchant_collusion,false_positive,1133.11,330.37,0.951
310,132583,2025-10-07,card_not_present,confirmed_fraud,3572.18,3087.19,0.427
311,114309,2025-11-12,counterfeit,false_positive,4735.73,1610.9,0.454
312,173966,2025-12-14,merchant_collusion,confirmed_fraud,4831.28,906.49,0.475
313,100144,2025-06-30,counterfeit,under_review,2396.63,680.35,0.591
314,28124,2025-11-28,identity_theft,confirmed_fraud,3918.94,1631.69,0.644
315,119679,2025-11-16,merchant_collusion,under_review,3644.53,4866.75,0.256
316,54729,2025-10-25,card_not_present,under_review,7829.2,2954.88,0.256
317,147549,2025-04-01,counterfeit,confirmed_fraud,4017.54,4615.94,0.738
318,130602,2025-04-08,card_not_present,recovered,1759.81,733.17,0.519
319,126545,2025-09-09,account_takeover,under_review,5424.92,286.21,0.364
320,135749,2025-03-26,merchant_collusion,false_positive,3828.42,4445.09,0.695
321,173921,2025-04-28,counterfeit,recovered,6389.66,779.56,0.743
322,85754,2025-10-16,card_not_present,false_positive,3419.01,149.77,0.956
323,136990,2025-04-07,card_not_present,confirmed_fraud,1378.62,3712.22,0.749
324,151365,2025-08-25,friendly_fraud,confirmed_fraud,1571.01,5499.56,0.135
325,128097,2025-06-05,merchant_collusion,recovered,4249.9,1181.25,0.255
326,108240,2025-11-08,card_not_present,confirmed_fraud,162.16,5299.9,0.326
327,58821,2025-07-01,account_takeover,confirmed_fraud,3629.52,1443.47,0.296
328,13036,2025-11-29,card_not_present,false_positive,7566.14,3233.99,0.201
329,39645,2025-08-11,friendly_fraud,recovered,5761.97,22.22,0.841
330,61557,2025-06-04,counterfeit,under_review,4820.78,4709.56,0.992
331,27966,2025-02-23,card_not_present,false_positive,325.99,5643.42,0.529
332,129335,2025-10-04,counterfeit,false_positive,2588.91,5208.85,0.413
333,125047,2025-11-25,friendly_fraud,false_positive,4636.2,2168.39,0.925
334,17887,2025-12-24,counterfeit,recovered,3344.46,532.66,0.057
335,80731,2025-01-18,counterfeit,confirmed_fraud,3071.54,3650.66,0.335
336,62935,2025-11-22,identity_theft,under_review,4932.03,4109.65,0.55
337,176364,2025-10-17,merchant_collusion,false_positive,6588.81,4181.97,0.41
338,47363,2025-12-31,counterfeit,under_review,1245.23,3735.67,0.648
339,111962,2025-01-01,counterfeit,false_positive,6698.86,1846.02,0.537
340,18860,2025-01-02,account_takeover,false_positive,2372.42,1761.58,0.789
341,54967,2025-12-18,account_takeover,under_review,2033.84,3143.01,0.615
342,125099,2025-04-10,identity_theft,under_review,1667.68,2959.08,0.449
343,153894,2025-10-17,card_not_present,false_positive,4447.58,2353.44,0.077
344,32606,2025-05-11,identity_theft,confirmed_fraud,1173.81,5358.54,0.739
345,53628,2025-08-13,friendly_fraud,recovered,3650.05,592.92,0.064
346,260,2025-07-13,identity_theft,confirmed_fraud,6404.96,28.88,0.667
347,19868,2025-03-18,friendly_fraud,false_positive,1370.87,2037.0,0.54
348,19769,2025-03-17,merchant_collusion,under_review,5173.37,2068.88,0.412
349,128944,2025-04-23,counterfeit,false_positive,6840.08,4200.85,0.33
350,155191,2025-05-05,merchant_collusion,false_positive,5225.71,1438.42,0.041
351,177920,2025-02-23,identity_theft,recovered,6661.27,2000.16,0.592
352,129026,2025-07-13,friendly_fraud,false_positive,623.9,2859.31,0.292
353,65283,2025-07-16,merchant_collusion,recovered,3172.0,5158.53,0.925
354,42296,2025-01-25,identity_theft,recovered,5158.67,1302.97,0.216
355,81959,2025-03-16,counterfeit,confirmed_fraud,1419.73,249.58,0.472
356,108591,2025-04-20,counterfeit,confirmed_fraud,7574.83,774.3,0.589
357,52801,2025-08-11,friendly_fraud,confirmed_fraud,10.75,434.5,0.078
358,129277,2025-10-04,account_takeover,recovered,6712.09,3687.64,0.667
359,167582,2025-04-30,account_takeover,recovered,3580.26,3045.41,0.268
360,8642,2025-10-31,card_not_present,false_positive,4877.84,1483.44,0.794
361,117569,2025-08-25,account_takeover,false_positive,7550.42,4194.09,0.374
362,175858,2025-06-10,merchant_collusion,recovered,194.88,902.27,0.282
363,92107,2025-04-24,merchant_collusion,confirmed_fraud,2259.05,2433.03,0.279
364,95851,2025-02-28,card_not_present,recovered,5500.48,1984.08,0.215
365,153202,2025-04-03,account_takeover,under_review,6708.45,4122.73,0.709
