transaction_id,card_id,merchant_id,transaction_date,merchant_category,transaction_amount,merchant_country,entry_mode,transaction_currency
36,15602,14580,2025-03-26,grocery,4181.62,us,chip,usd
37,5330,13905,2025-09-08,cash_advance,1614.44,mx,chip,eur
38,2961,1659,2025-01-22,fuel,762.13,de,contactless,eur
39,4711,6130,2025-02-12,cash_advance,1481.3,uk,chip,cad
40,4226,6348,2025-01-21,grocery,3268.67,mx,contactless,gbp
41,3591,7241,2025-06-12,digital_services,1712.9,br,wallet,gbp
42,13877,11114,2025-08-07,digital_services,9279.66,ae,manual_keyed,eur
43,8989,11257,2025-04-03,fuel,7526.64,mx,ecommerce,usd
44,11724,12991,2025-07-08,travel,1872.89,us,chip,cad
45,15220,11028,2025-03-11,jewelry,1522.69,uk,ecommerce,gbp
46,14694,313,2025-10-27,travel,4206.5,de,chip,cad
47,15211,6771,2025-09-03,fuel,5615.04,de,manual_keyed,usd
48,23797,8617,2025-10-14,fuel,2668.69,us,contactless,eur
49,2803,6713,2025-12-21,cash_advance,6657.0,de,ecommerce,eur
50,6562,2939,2025-07-20,digital_services,1579.68,de,manual_keyed,eur
51,7661,8850,2025-05-22,gaming,8701.07,ae,wallet,usd
52,20331,12980,2025-11-30,digital_services,2313.55,ae,contactless,cad
53,23650,8746,2025-01-31,jewelry,2288.81,ae,manual_keyed,usd
54,18072,3131,2025-03-12,travel,268.65,mx,wallet,cad
55,2103,7527,2025-10-11,fuel,6963.27,sg,manual_keyed,cad
56,18366,8332,2025-11-14,jewelry,8349.54,ae,wallet,gbp
57,9105,2424,2025-07-25,fuel,1451.38,fr,contactless,usd
58,18822,2026,2025-09-06,fuel,7547.01,de,contactless,eur
59,5168,2767,2025-08-22,cash_advance,5632.55,fr,contactless,eur
60,3854,11294,2025-03-20,gaming,8882.74,sg,ecommerce,gbp
61,22478,3361,2025-05-11,gaming,4953.5,ae,chip,cad
62,23802,5142,2025-03-23,electronics,5023.95,fr,manual_keyed,gbp
63,8471,1174,2025-04-18,fuel,9247.09,uk,chip,gbp
64,6688,8456,2025-03-02,travel,2100.94,us,ecommerce,cad
65,3455,8813,2025-07-06,digital_services,1551.34,ae,contactless,eur
66,22902,4280,2025-02-07,electronics,3167.51,uk,ecommerce,usd
67,22896,11620,2025-02-09,electronics,1426.6,de,chip,eur
68,14544,3550,2025-09-04,cash_advance,3745.71,mx,contactless,cad
69,24004,8966,2025-10-17,jewelry,7028.19,fr,contactless,usd
70,19070,3997,2025-04-03,cash_advance,8299.03,de,chip,cad
71,19259,2777,2025-07-11,gaming,1972.7,br,wallet,cad
72,23575,67,2025-01-07,gaming,3371.14,mx,wallet,gbp
73,5980,3119,2025-10-26,digital_services,3394.66,mx,contactless,eur
74,23450,4811,2025-10-18,electronics,2648.86,fr,chip,cad
75,4389,8526,2025-03-29,fuel,7256.35,br,wallet,usd
76,21378,8344,2025-03-16,fuel,4485.01,de,manual_keyed,gbp
77,22442,8299,2025-12-17,digital_services,733.78,sg,wallet,eur
78,15004,12523,2025-04-23,digital_services,367.73,uk,wallet,gbp
79,3005,9169,2025-08-04,digital_services,8377.97,sg,contactless,gbp
80,6907,5316,2025-07-17,electronics,8404.31,mx,chip,usd
81,22063,846,2025-08-25,fuel,484.52,de,contactless,eur
82,6868,14844,2025-05-11,digital_services,1901.15,sg,chip,usd
83,8797,11396,2025-03-03,travel,6626.13,ae,chip,gbp
84,6331,14982,2025-05-16,cash_advance,5123.17,uk,wallet,gbp
85,18593,11919,2025-12-24,cash_advance,111.41,uk,chip,cad
86,7131,2525,2025-07-20,electronics,4917.82,us,ecommerce,cad
87,13778,9161,2025-05-25,fuel,4838.6,fr,wallet,gbp
88,13339,2061,2025-05-16,electronics,4639.04,ae,chip,eur
89,9209,8658,2025-09-01,cash_advance,1567.3,us,ecommerce,eur
90,9038,4928,2025-02-03,jewelry,3924.19,uk,contactless,eur
91,17823,11740,2025-08-02,gaming,5410.78,uk,wallet,cad
92,17169,1375,2025-03-21,jewelry,8370.2,fr,ecommerce,gbp
93,16137,4770,2025-08-02,cash_advance,6549.93,sg,manual_keyed,eur
94,13075,8246,2025-06-06,grocery,695.45,br,contactless,eur
95,2023,4736,2025-08-29,electronics,9035.14,mx,chip,cad
96,5663,14837,2025-11-22,fuel,7737.26,us,wallet,eur
97,2344,6847,2025-10-28,electronics,3803.05,ae,chip,cad
98,3270,4880,2025-09-01,fuel,7614.27,mx,contactless,gbp
99,13813,13806,2025-11-26,electronics,6555.61,us,contactless,cad
100,18845,4883,2025-03-11,electronics,6965.91,ae,chip,eur
101,12035,11278,2025-02-25,electronics,2124.38,de,chip,usd
102,22656,13696,2025-04-17,cash_advance,6892.53,ae,contactless,usd
103,21020,3702,2025-07-09,grocery,9239.42,ae,contactless,usd
104,19753,4713,2025-02-11,fuel,6564.32,mx,manual_keyed,usd
105,24291,9400,2025-02-23,fuel,4545.12,mx,manual_keyed,usd
106,10294,4883,2025-04-22,gaming,6800.75,sg,wallet,cad
107,23338,6477,2025-03-13,jewelry,6087.36,mx,manual_keyed,eur
108,7496,5082,2025-05-31,cash_advance,8566.43,fr,manual_keyed,gbp
109,291,6463,2025-11-16,gaming,7444.12,br,ecommerce,eur
110,7295,6894,2025-08-14,travel,6562.51,mx,wallet,cad
111,7492,13084,2025-06-25,electronics,2557.26,de,manual_keyed,gbp
112,4461,5724,2025-02-10,fuel,6960.42,de,contactless,cad
113,5264,375,2025-04-20,electronics,4282.54,us,chip,cad
114,529,8763,2025-07-20,travel,5532.13,uk,ecommerce,gbp
115,16103,12889,2025-11-24,travel,8561.06,ae,contactless,usd
116,113,12021,2025-10-12,grocery,4836.09,fr,contactless,cad
117,12445,6005,2025-12-29,grocery,2695.17,ae,wallet,usd
118,23706,7030,2025-12-28,grocery,1741.73,us,contactless,usd
119,7027,4107,2025-11-18,electronics,8513.09,de,wallet,gbp
120,17239,1394,2025-01-18,gaming,3465.95,br,ecommerce,usd
121,7683,6345,2025-05-18,grocery,4796.91,de,ecommerce,eur
122,659,7411,2025-07-21,travel,5534.42,ae,ecommerce,usd
123,12527,11066,2025-09-14,grocery,9350.39,ae,chip,gbp
124,19772,9350,2025-05-19,grocery,8593.0,br,chip,cad
125,3372,719,2025-11-14,digital_services,6577.58,mx,contactless,usd
126,16942,12540,2025-03-01,grocery,6494.07,us,wallet,cad
127,22598,4933,2025-12-31,gaming,891.38,uk,contactless,eur
128,8002,3942,2025-09-15,grocery,8921.87,sg,chip,cad
129,10289,8925,2025-08-10,digital_services,8477.64,ae,wallet,usd
130,19319,2082,2025-12-20,jewelry,7885.11,ae,wallet,eur
131,7815,6592,2025-01-07,travel,8412.53,br,manual_keyed,usd
132,23955,11723,2025-02-18,jewelry,7996.01,mx,contactless,cad
133,4584,12556,2025-10-07,jewelry,1216.04,br,manual_keyed,gbp
134,3564,12218,2025-01-26,fuel,3392.59,fr,manual_keyed,cad
135,4096,8665,2025-06-12,jewelry,6322.51,us,contactless,eur
136,21114,9679,2025-05-29,digital_services,3588.54,ae,manual_keyed,usd
137,2806,3374,2025-10-07,fuel,3615.46,uk,manual_keyed,usd
138,3518,10252,2025-09-06,digital_services,1160.01,ae,manual_keyed,cad
139,14691,3654,2025-05-14,gaming,4957.36,ae,manual_keyed,cad
140,11544,7202,2025-02-15,electronics,4329.85,de,wallet,usd
141,13696,10342,2025-05-31,gaming,3053.6,us,chip,gbp
142,3869,12150,2025-07-29,fuel,2971.27,br,chip,gbp
143,156,1794,2025-06-11,cash_advance,3448.9,fr,manual_keyed,gbp
144,8068,10026,2025-07-03,electronics,4654.41,ae,ecommerce,eur
145,19986,12533,2025-12-25,gaming,5389.57,mx,wallet,cad
146,3518,11314,2025-12-16,cash_advance,4225.03,br,contactless,gbp
147,16660,7094,2025-12-12,cash_advance,1191.4,br,ecommerce,gbp
148,19755,2580,2025-05-19,digital_services,7499.47,de,manual_keyed,eur
149,10179,2135,2025-02-07,grocery,2389.32,uk,wallet,cad
150,18628,6820,2025-02-08,electronics,2462.25,uk,manual_keyed,gbp
151,14911,583,2025-07-31,travel,9484.48,de,chip,usd
152,7597,1282,2025-09-24,cash_advance,6247.25,de,contactless,usd
153,23768,14387,2025-12-26,travel,9235.06,uk,contactless,eur
154,9964,2505,2025-12-27,jewelry,3902.92,ae,chip,cad
155,13087,170,2025-04-02,travel,7164.46,ae,wallet,usd
156,19207,12097,2025-06-10,cash_advance,9436.9,us,wallet,usd
157,4740,8187,2025-09-02,electronics,7600.3,ae,wallet,cad
158,444,11301,2025-09-28,gaming,4427.46,de,chip,gbp
159,13672,1035,2025-02-04,jewelry,2989.57,us,manual_keyed,gbp
160,16280,4277,2025-07-06,electronics,1062.33,us,manual_keyed,gbp
161,6068,4563,2025-10-21,fuel,5905.26,br,manual_keyed,eur
162,18948,14677,2025-12-30,digital_services,213.3,us,chip,cad
163,19615,14432,2025-02-21,electronics,1567.04,de,manual_keyed,usd
164,10600,5348,2025-06-07,digital_services,7138.31,sg,chip,gbp
165,11458,11295,2025-02-25,electronics,3656.92,fr,chip,eur
166,5435,10635,2025-11-30,travel,9028.61,fr,manual_keyed,cad
167,10873,79,2025-03-10,travel,6052.71,ae,manual_keyed,gbp
168,17571,2386,2025-07-29,travel,4678.51,de,ecommerce,cad
169,5703,7911,2025-08-29,fuel,6586.5,mx,manual_keyed,eur
170,7676,1021,2025-02-03,gaming,1249.73,us,ecommerce,usd
171,14435,11399,2025-06-11,travel,209.46,de,chip,cad
172,20527,14573,2025-04-17,fuel,5015.48,ae,wallet,eur
173,15592,13299,2025-10-16,cash_advance,8283.58,fr,ecommerce,eur
174,6680,1325,2025-12-18,digital_services,452.83,ae,contactless,usd
175,5437,7954,2025-07-16,electronics,9191.42,us,ecommerce,usd
176,21238,6876,2025-06-25,electronics,5153.88,br,manual_keyed,gbp
177,9648,14775,2025-05-23,fuel,7318.95,de,wallet,gbp
178,324,2614,2025-07-25,cash_advance,5498.15,sg,wallet,gbp
179,22865,7357,2025-08-02,fuel,401.12,mx,ecommerce,usd
180,4354,9096,2025-10-15,fuel,1936.29,ae,chip,eur
181,23768,8348,2025-11-15,fuel,9057.62,uk,manual_keyed,eur
182,2313,6527,2025-04-07,fuel,3169.43,ae,contactless,cad
183,3448,4546,2025-04-18,travel,7435.51,sg,wallet,usd
184,16686,2459,2025-12-13,jewelry,2587.78,br,manual_keyed,usd
185,6389,12325,2025-11-02,jewelry,851.49,us,wallet,usd
186,9185,8186,2025-04-08,grocery,5910.84,mx,contactless,gbp
187,14613,5720,2025-03-10,digital_services,1287.47,sg,contactless,usd
188,15770,7395,2025-04-01,jewelry,7110.93,us,wallet,gbp
189,23579,4379,2025-06-30,grocery,350.59,sg,ecommerce,gbp
190,9345,4719,2025-09-30,jewelry,6323.79,mx,wallet,eur
191,15447,4462,2025-04-05,fuel,4493.49,sg,contactless,usd
192,6886,7222,2025-03-31,cash_advance,9204.77,mx,manual_keyed,eur
193,18474,7977,2025-02-08,travel,6200.25,mx,ecommerce,cad
194,5618,8401,2025-02-13,travel,6642.37,mx,ecommerce,cad
195,13391,4356,2025-11-08,cash_advance,4217.99,de,wallet,cad
196,7069,1778,2025-07-08,grocery,2813.48,mx,contactless,usd
197,9751,14365,2025-10-10,digital_services,957.92,fr,wallet,usd
198,20332,7431,2025-05-18,electronics,5246.84,de,ecommerce,usd
199,10817,6045,2025-08-04,grocery,1120.77,ae,manual_keyed,gbp
200,14046,1667,2025-03-01,digital_services,2336.58,us,chip,eur
201,1645,3259,2025-12-30,jewelry,6069.7,fr,chip,eur
202,19793,14012,2025-07-24,grocery,726.14,fr,contactless,gbp
203,4534,5075,2025-10-11,fuel,8957.49,uk,contactless,eur
204,14645,10557,2025-11-27,electronics,5311.43,sg,wallet,eur
205,6559,2100,2025-02-15,gaming,6160.81,ae,chip,cad
206,9236,7987,2025-06-27,digital_services,2786.01,ae,wallet,eur
207,13994,9392,2025-06-14,grocery,5523.0,de,contactless,gbp
208,2720,12000,2025-09-26,grocery,2754.35,de,chip,usd
209,5827,13947,2025-06-22,jewelry,661.37,br,contactless,cad
210,18830,11015,2025-12-18,electronics,8960.47,de,ecommerce,eur
211,8921,10691,2025-07-30,cash_advance,5790.48,uk,contactless,gbp
212,4972,2113,2025-04-20,travel,7249.18,br,chip,cad
213,17257,5970,2025-03-26,gaming,3654.27,fr,chip,usd
214,14148,10543,2025-03-28,grocery,5066.49,sg,manual_keyed,usd
215,2285,5848,2025-06-07,cash_advance,7279.49,mx,ecommerce,gbp
216,23428,11753,2025-01-20,digital_services,2046.71,de,chip,cad
217,2557,13808,2025-04-02,cash_advance,922.13,fr,manual_keyed,cad
218,16208,9348,2025-01-24,gaming,8624.37,fr,chip,cad
219,8364,14152,2025-12-18,cash_advance,2348.96,uk,contactless,usd
220,13262,4563,2025-01-12,fuel,4990.7,mx,ecommerce,cad
221,6002,13490,2025-12-19,jewelry,4141.49,uk,manual_keyed,gbp
222,21681,2399,2025-09-27,digital_services,7382.81,sg,wallet,eur
223,23567,13005,2025-10-11,travel,4406.79,uk,wallet,eur
224,19550,3530,2025-03-20,electronics,6509.63,mx,chip,eur
225,23369,728,2025-04-17,grocery,7155.52,fr,chip,usd
226,2630,9902,2025-12-30,gaming,5530.01,uk,chip,usd
227,14339,13642,2025-04-23,travel,8398.74,ae,manual_keyed,cad
228,4657,10123,2025-05-05,gaming,3031.79,mx,contactless,cad
229,15639,2285,2025-08-06,jewelry,7680.74,fr,chip,cad
230,17043,5764,2025-11-14,gaming,4751.19,uk,ecommerce,gbp
231,12661,11894,2025-07-24,gaming,7412.85,us,manual_keyed,usd
232,4407,1529,2025-04-16,jewelry,3983.09,ae,chip,cad
233,17082,11369,2025-01-04,cash_advance,5078.12,uk,wallet,gbp
234,20038,6643,2025-11-21,digital_services,6754.09,us,ecommerce,cad
235,3685,13667,2025-11-09,travel,560.32,ae,chip,gbp
236,12448,2819,2025-11-08,fuel,2894.38,de,contactless,gbp
237,13822,9365,2025-12-25,cash_advance,5562.13,mx,ecommerce,gbp
238,10438,742,2025-12-23,fuel,3036.87,br,ecommerce,usd
239,12787,6645,2025-11-17,jewelry,4283.22,br,contactless,cad
240,2586,1812,2025-11-09,electronics,6746.62,de,contactless,eur
241,18303,9969,2025-05-26,digital_services,6466.71,br,manual_keyed,eur
242,2466,4654,2025-04-29,jewelry,3010.05,ae,ecommerce,cad
243,1654,1036,2025-05-31,cash_advance,2806.57,uk,chip,gbp
244,437,11921,2025-02-25,jewelry,7579.69,de,ecommerce,eur
245,22636,4815,2025-02-08,electronics,1157.17,ae,manual_keyed,eur
246,20495,6485,2025-01-10,cash_advance,6824.58,ae,wallet,usd
247,6202,13256,2025-03-03,travel,8964.98,fr,contactless,gbp
248,8158,2354,2025-06-08,fuel,3782.77,sg,wallet,cad
249,18287,11223,2025-02-14,fuel,6839.24,us,contactless,usd
250,22013,7322,2025-09-13,jewelry,354.49,us,contactless,gbp
251,22896,1304,2025-01-02,grocery,1894.89,uk,wallet,eur
252,17974,18,2025-10-01,fuel,3705.53,us,chip,gbp
253,5331,73,2025-06-01,fuel,935.04,ae,chip,usd
254,21552,4072,2025-01-01,electronics,6263.61,de,chip,usd
255,17361,14670,2025-02-15,gaming,540.33,us,manual_keyed,usd
256,13005,10924,2025-08-29,gaming,8002.22,fr,ecommerce,usd
257,4475,6280,2025-12-02,digital_services,5062.12,mx,contactless,gbp
258,15644,12989,2025-10-14,fuel,6686.94,uk,ecommerce,gbp
259,10524,4159,2025-05-14,electronics,1402.05,sg,ecommerce,usd
260,23858,1843,2025-06-08,cash_advance,9074.88,ae,wallet,cad
261,22019,4888,2025-06-26,cash_advance,3223.15,de,manual_keyed,gbp
262,23570,3143,2025-12-01,travel,9108.72,fr,ecommerce,usd
263,17346,57,2025-08-03,grocery,6177.11,br,chip,gbp
264,12452,9791,2025-06-13,grocery,6039.33,uk,wallet,gbp
265,15619,2940,2025-02-06,digital_services,1402.93,de,contactless,gbp
266,2713,4996,2025-09-27,travel,1593.84,ae,manual_keyed,gbp
267,14563,4905,2025-11-21,digital_services,5878.18,br,ecommerce,gbp
268,15094,9870,2025-02-05,digital_services,7126.89,mx,contactless,cad
269,21742,11280,2025-03-26,cash_advance,567.9,ae,manual_keyed,cad
270,4799,4592,2025-11-12,jewelry,8674.36,de,manual_keyed,eur
271,21297,12052,2025-07-03,jewelry,712.93,fr,wallet,gbp
272,10650,13038,2025-10-29,digital_services,3284.75,mx,contactless,usd
273,15651,1201,2025-09-27,electronics,5862.14,uk,contactless,eur
274,2911,1313,2025-07-08,electronics,5922.97,br,contactless,gbp
275,2848,9862,2025-03-17,fuel,4827.99,de,contactless,cad
276,3100,1597,2025-12-03,electronics,3940.0,ae,wallet,usd
277,24080,304,2025-02-25,cash_advance,6955.57,mx,wallet,usd
278,19660,3929,2025-12-15,gaming,7388.12,de,chip,eur
279,22248,12916,2025-08-13,jewelry,2149.45,mx,chip,gbp
280,19356,3156,2025-01-07,cash_advance,7536.77,sg,chip,usd
281,18356,243,2025-04-25,jewelry,5975.09,de,contactless,gbp
282,18332,242,2025-03-24,cash_advance,8028.19,br,wallet,cad
283,14166,6027,2025-09-22,cash_advance,1582.42,uk,chip,cad
284,17351,7354,2025-08-17,fuel,5006.17,ae,ecommerce,gbp
285,3769,3104,2025-11-26,travel,6760.35,fr,manual_keyed,usd
286,2550,10542,2025-09-06,gaming,5964.22,sg,manual_keyed,eur
287,13454,6195,2025-11-29,grocery,8501.89,us,manual_keyed,usd
288,11270,7745,2025-09-14,gaming,5898.69,uk,ecommerce,eur
289,14967,10535,2025-11-03,digital_services,74.9,uk,contactless,cad
290,4235,10399,2025-08-24,gaming,1334.27,us,chip,usd
291,7279,13613,2025-03-25,digital_services,2559.84,de,chip,eur
292,13255,10615,2025-07-24,travel,6304.41,ae,contactless,usd
293,23860,5839,2025-04-16,grocery,4512.18,us,chip,cad
294,7729,1374,2025-02-03,digital_services,8962.33,us,ecommerce,cad
295,20247,381,2025-11-07,gaming,5850.75,ae,ecommerce,usd
296,19751,9800,2025-07-16,jewelry,4006.76,fr,ecommerce,eur
297,11696,13406,2025-11-10,fuel,7708.88,uk,ecommerce,eur
298,6195,9923,2025-08-07,cash_advance,4191.35,fr,contactless,gbp
299,23742,7398,2025-09-09,gaming,8602.69,uk,contactless,usd
300,12520,6068,2025-09-26,gaming,8812.44,de,wallet,gbp
301,3406,8963,2025-02-08,electronics,1616.61,br,wallet,usd
302,4345,2912,2025-10-29,travel,1500.14,mx,chip,cad
303,23349,13981,2025-05-14,travel,7666.25,mx,manual_keyed,cad
304,3534,10473,2025-01-14,jewelry,2739.44,ae,ecommerce,eur
305,11912,12316,2025-02-21,grocery,4952.19,us,manual_keyed,eur
306,483,5713,2025-05-09,grocery,7207.64,br,contactless,gbp
307,5237,3673,2025-06-19,jewelry,904.25,fr,manual_keyed,usd
308,23169,9885,2025-08-31,fuel,1616.84,mx,wallet,cad
309,13381,6127,2025-08-10,digital_services,6359.2,uk,wallet,usd
310,17029,11092,2025-03-21,electronics,3784.29,us,contactless,cad
311,18848,10627,2025-07-27,electronics,5103.57,ae,ecommerce,usd
312,8319,5027,2025-05-21,electronics,2424.32,br,ecommerce,cad
313,19767,10515,2025-08-23,fuel,7719.83,sg,manual_keyed,gbp
314,11559,14155,2025-03-14,digital_services,8285.69,ae,wallet,usd
315,17499,11256,2025-08-18,fuel,5128.73,mx,contactless,gbp
316,22629,1457,2025-02-26,grocery,496.45,ae,wallet,usd
317,5614,8670,2025-06-21,jewelry,2522.93,ae,ecommerce,gbp
318,3334,1479,2025-09-30,fuel,187.19,mx,chip,cad
319,13690,2321,2025-02-03,cash_advance,6574.14,de,chip,gbp
320,16673,6468,2025-05-13,jewelry,480.56,fr,chip,gbp
321,8071,11459,2025-02-26,electronics,4469.07,us,manual_keyed,gbp
322,8350,3870,2025-12-21,grocery,4187.79,sg,wallet,cad
323,16467,2625,2025-05-07,fuel,1782.78,ae,wallet,cad
324,2279,12990,2025-10-16,gaming,5585.02,fr,ecommerce,cad
325,11633,14043,2025-09-20,electronics,4007.42,sg,manual_keyed,gbp
326,21255,3709,2025-01-22,cash_advance,371.7,ae,wallet,eur
327,21524,10639,2025-01-14,digital_services,6199.89,us,chip,cad
328,23591,14098,2025-08-01,travel,156.27,ae,manual_keyed,gbp
329,9491,5962,2025-07-14,travel,6723.72,ae,chip,gbp
330,7161,5628,2025-08-31,electronics,1357.57,mx,contactless,eur
331,5699,1213,2025-12-26,grocery,4451.49,us,chip,eur
332,14832,1428,2025-04-06,cash_advance,6937.12,mx,chip,cad
333,1157,9094,2025-07-09,fuel,5895.01,sg,manual_keyed,usd
334,11601,12950,2025-08-28,gaming,4817.75,uk,wallet,usd
335,19785,5541,2025-03-16,digital_services,3751.71,de,manual_keyed,usd
336,4712,10991,2025-02-01,grocery,8550.76,sg,wallet,cad
337,4968,13343,2025-12-18,grocery,526.46,br,chip,gbp
338,4793,274,2025-07-24,electronics,3523.47,us,ecommerce,gbp
339,19768,5433,2025-01-31,electronics,3715.41,de,ecommerce,eur
340,22382,190,2025-03-26,cash_advance,1441.8,ae,contactless,cad
341,4868,8736,2025-05-08,electronics,2212.41,mx,ecommerce,cad
342,9418,3732,2025-05-25,jewelry,6905.3,ae,chip,cad
343,2339,11676,2025-09-17,cash_advance,8421.54,uk,manual_keyed,gbp
344,23835,8490,2025-03-03,gaming,2778.64,ae,ecommerce,cad
345,17364,12849,2025-08-20,cash_advance,5735.86,mx,manual_keyed,eur
346,19311,12252,2025-11-07,cash_advance,5275.28,ae,chip,cad
347,6611,9580,2025-12-03,cash_advance,4363.72,ae,wallet,gbp
348,3904,4378,2025-11-08,cash_advance,2111.34,mx,wallet,eur
349,10989,6515,2025-12-09,grocery,8389.58,ae,wallet,usd
350,15366,4240,2025-10-14,gaming,5375.72,mx,manual_keyed,gbp
351,10665,4018,2025-07-04,gaming,1103.04,fr,chip,usd
352,23064,4326,2025-04-29,cash_advance,2843.8,uk,manual_keyed,eur
353,2271,6694,2025-04-03,digital_services,3934.86,de,manual_keyed,gbp
354,2308,5078,2025-05-20,travel,2214.1,br,chip,usd
355,12323,9305,2025-06-03,grocery,1306.78,us,manual_keyed,eur
356,1852,12263,2025-08-31,electronics,6428.04,de,wallet,usd
357,21467,11248,2025-07-14,fuel,4848.83,fr,ecommerce,cad
358,20468,8675,2025-05-17,jewelry,4412.48,uk,chip,usd
359,7491,12259,2025-01-13,gaming,6627.3,mx,wallet,eur
360,1092,14847,2025-04-10,digital_services,3451.85,fr,manual_keyed,cad
361,19087,1544,2025-08-09,travel,1474.14,us,chip,gbp
362,18996,9105,2025-04-19,gaming,8467.49,br,manual_keyed,cad
363,15777,9223,2025-03-17,digital_services,7056.69,br,chip,usd
364,10272,9870,2025-06-22,cash_advance,1698.57,de,wallet,eur
365,8054,6051,2025-03-06,digital_services,978.97,fr,ecommerce,gbp
366,2812,14207,2025-05-14,electronics,5940.59,us,chip,usd
367,10942,7758,2025-05-07,grocery,3730.72,ae,manual_keyed,gbp
368,354,10243,2025-01-17,digital_services,3055.58,mx,wallet,gbp
369,4318,3367,2025-11-28,digital_services,4298.36,uk,ecommerce,gbp
370,10571,6928,2025-06-28,travel,1972.11,fr,manual_keyed,eur
371,3358,3839,2025-09-23,gaming,6199.38,ae,ecommerce,gbp
372,10471,2967,2025-09-28,electronics,1462.63,ae,ecommerce,gbp
373,17944,10319,2025-10-01,fuel,6401.68,mx,contactless,gbp
374,12101,6511,2025-09-10,jewelry,3403.2,sg,manual_keyed,eur
375,137,1022,2025-10-23,travel,9306.82,us,chip,eur
376,15998,5031,2025-02-23,gaming,1562.88,br,chip,cad
377,21166,5987,2025-02-28,cash_advance,300.43,sg,contactless,cad
378,13607,14675,2025-02-11,grocery,7807.53,us,manual_keyed,usd
379,1239,11894,2025-02-26,gaming,6693.44,fr,manual_keyed,eur
380,4613,4106,2025-01-22,cash_advance,6345.57,us,wallet,gbp
381,7088,1220,2025-04-21,jewelry,9382.58,sg,manual_keyed,cad
382,2992,4942,2025-12-01,grocery,4307.78,de,contactless,gbp
383,16845,6781,2025-10-20,travel,4196.14,us,chip,eur
384,3530,10050,2025-07-22,jewelry,5066.54,fr,ecommerce,gbp
385,22198,1363,2025-07-21,electronics,7772.22,de,wallet,gbp
386,7829,6765,2025-03-15,jewelry,7918.77,sg,manual_keyed,usd
387,5078,6409,2025-10-14,jewelry,2848.15,de,wallet,eur
388,1005,2932,2025-11-13,grocery,7286.97,us,contactless,usd
389,20260,10468,2025-02-12,jewelry,9216.07,uk,chip,eur
390,24278,9582,2025-06-28,gaming,7927.96,uk,chip,gbp
391,17801,13408,2025-02-01,electronics,8090.26,us,contactless,gbp
392,6708,11708,2025-07-29,electronics,6390.66,br,ecommerce,eur
393,6250,9453,2025-10-28,jewelry,7995.19,fr,chip,eur
394,16199,3667,2025-10-23,digital_services,1121.87,us,wallet,eur
395,18393,14794,2025-01-04,gaming,458.17,mx,ecommerce,gbp
396,17948,42,2025-01-29,cash_advance,1410.09,uk,chip,cad
397,18039,10271,2025-11-18,jewelry,6222.23,us,contactless,gbp
