card_id,cardholder_id,status,card_product,network,credit_limit,card_present_usage_ratio,digital_wallet_flag
47,11665,temporarily_blocked,business,visa,4170.31,0.888,1
48,7216,closed,travel_rewards,amex,17343.54,0.474,1
49,9886,reissued,business,mastercard,39778.55,0.834,1
50,16172,active,travel_rewards,visa,12453.4,0.339,0
51,5881,temporarily_blocked,cashback,amex,33559.23,0.614,1
52,8040,active,travel_rewards,amex,31216.89,0.093,0
53,7755,active,student,amex,24148.96,0.796,0
54,13131,reissued,travel_rewards,mastercard,6989.61,0.891,0
55,16961,closed,student,visa,23584.21,0.736,1
56,1546,closed,cashback,visa,10422.74,0.784,0
57,9188,closed,travel_rewards,amex,4994.17,0.228,0
58,15187,reissued,travel_rewards,mastercard,35607.46,0.641,0
59,2297,active,cashback,visa,35632.05,0.56,0
60,11749,temporarily_blocked,business,visa,23709.99,0.481,0
61,9896,active,premium,mastercard,28413.75,0.77,0
62,5951,active,student,mastercard,36774.0,0.896,0
63,9112,active,premium,amex,12361.44,0.305,1
64,2217,reissued,travel_rewards,amex,36347.02,0.544,1
65,7434,active,business,mastercard,5009.21,0.565,1
66,3243,closed,student,visa,8588.43,0.302,0
67,9334,active,business,amex,25845.68,0.613,1
68,11692,active,business,mastercard,34693.93,0.485,0
69,6333,closed,travel_rewards,visa,5910.26,0.356,0
70,10453,temporarily_blocked,business,visa,28601.53,0.047,1
71,2283,closed,cashback,amex,24404.44,0.857,1
72,3393,active,cashback,amex,20339.84,0.352,0
73,13217,active,premium,mastercard,19111.65,0.105,0
74,2676,temporarily_blocked,travel_rewards,mastercard,32464.93,0.027,1
75,8269,active,premium,visa,35523.04,0.268,1
76,16517,active,student,mastercard,14291.55,0.269,1
77,13964,active,business,visa,15970.17,0.298,0
78,12828,active,cashback,visa,11277.21,0.845,1
79,11871,closed,premium,amex,37157.82,0.687,1
80,8705,closed,travel_rewards,visa,13985.93,0.732,0
81,3465,closed,student,amex,14256.3,0.895,1
82,9337,active,travel_rewards,mastercard,25696.76,0.33,1
83,12925,reissued,premium,mastercard,30066.32,0.34,1
84,4925,closed,student,mastercard,34284.81,0.683,1
85,2227,temporarily_blocked,student,amex,3081.5,0.927,0
86,9771,temporarily_blocked,student,mastercard,3057.02,0.112,1
87,13877,active,student,visa,37285.58,0.863,0
88,3358,closed,business,amex,25543.81,0.328,1
89,16397,active,business,mastercard,6538.23,0.847,0
90,17235,active,business,visa,12156.84,0.87,0
91,15268,temporarily_blocked,business,mastercard,1013.38,0.757,1
92,12647,temporarily_blocked,business,visa,8205.39,0.884,0
93,3844,reissued,student,amex,8164.33,0.201,0
94,1206,reissued,travel_rewards,amex,14807.55,0.252,1
95,530,closed,cashback,mastercard,12094.08,0.88,1
96,3468,closed,travel_rewards,amex,8888.31,0.887,0
97,13256,active,travel_rewards,visa,17543.4,0.306,1
98,13831,active,premium,visa,1798.81,0.909,1
99,16070,active,cashback,visa,17670.88,0.063,0
100,16118,temporarily_blocked,business,mastercard,20634.38,0.534,0
101,6161,reissued,travel_rewards,mastercard,26759.22,0.767,1
102,7043,active,premium,mastercard,12585.96,0.13,1
103,14429,temporarily_blocked,travel_rewards,visa,31614.23,0.111,1
104,4296,active,premium,mastercard,4207.44,0.602,1
105,5702,reissued,travel_rewards,mastercard,17705.19,0.043,1
106,4360,closed,premium,visa,11707.33,0.165,1
107,6357,reissued,premium,mastercard,18913.33,0.879,1
108,4264,closed,cashback,mastercard,2835.88,0.8,0
109,13112,temporarily_blocked,student,visa,24092.2,0.894,1
110,8067,reissued,student,amex,28313.04,0.836,1
111,2358,closed,travel_rewards,visa,35113.46,0.884,0
112,508,reissued,business,amex,18595.87,0.864,1
113,17178,closed,travel_rewards,mastercard,39530.29,0.13,0
114,10839,closed,business,mastercard,7962.79,0.138,0
115,7870,reissued,cashback,amex,9836.51,0.089,1
116,15509,reissued,business,amex,12118.05,0.652,0
117,8444,closed,cashback,amex,38993.87,0.126,1
118,28,temporarily_blocked,cashback,visa,4929.71,0.891,1
119,9393,temporarily_blocked,premium,amex,5378.22,0.608,0
120,2702,reissued,cashback,mastercard,34103.64,0.411,1
121,1015,temporarily_blocked,business,visa,22714.82,0.099,1
122,13633,reissued,cashback,mastercard,35190.59,0.227,0
123,5573,active,travel_rewards,visa,16409.69,0.637,0
124,9532,reissued,premium,mastercard,10826.83,0.722,1
125,14868,temporarily_blocked,student,amex,7116.29,0.393,0
126,2940,reissued,student,visa,1603.09,0.866,1
127,13214,reissued,cashback,mastercard,23078.2,0.175,0
128,14949,reissued,travel_rewards,amex,20456.76,0.258,1
129,17286,closed,travel_rewards,mastercard,3067.11,0.36,0
130,804,temporarily_blocked,cashback,visa,2306.43,0.095,1
131,4347,reissued,premium,amex,31477.09,0.213,1
132,8671,reissued,premium,amex,23252.58,0.606,1
133,4866,temporarily_blocked,premium,visa,13152.5,0.486,0
134,14320,reissued,premium,mastercard,36663.98,0.751,1
135,5341,closed,premium,visa,21702.39,0.581,1
136,4877,active,travel_rewards,amex,21974.34,0.119,1
137,13574,active,cashback,amex,18282.18,0.673,0
138,6820,closed,premium,visa,31285.6,0.389,1
139,15922,closed,business,amex,29361.93,0.433,1
140,58,active,business,amex,19982.4,0.762,1
141,4110,active,cashback,amex,5009.08,0.702,0
142,3016,temporarily_blocked,premium,amex,32045.51,0.185,0
143,11386,temporarily_blocked,student,visa,909.66,0.431,1
144,5142,closed,student,visa,24394.18,0.567,0
145,7682,closed,premium,amex,34346.69,0.591,1
146,6748,temporarily_blocked,student,amex,12547.24,0.143,1
147,15521,temporarily_blocked,travel_rewards,visa,29844.24,0.572,0
148,9897,temporarily_blocked,student,amex,29224.19,0.023,0
149,16736,active,student,visa,29892.23,0.566,0
150,13166,reissued,premium,mastercard,33832.2,0.035,1
151,7101,reissued,premium,visa,6861.14,0.209,1
152,17592,reissued,cashback,mastercard,39392.48,0.462,1
153,7972,closed,business,visa,24127.56,0.534,0
154,15455,active,travel_rewards,visa,5231.91,0.748,1
155,9299,active,travel_rewards,mastercard,35437.9,0.283,0
156,14719,reissued,student,amex,21627.21,0.663,1
157,9754,active,travel_rewards,amex,21332.14,0.873,0
158,1762,reissued,business,mastercard,4142.16,0.676,1
159,10673,closed,travel_rewards,visa,8132.39,0.542,0
160,16928,active,premium,amex,6696.66,0.129,0
161,7925,active,business,visa,36779.68,0.303,1
162,1499,closed,cashback,amex,1954.88,0.3,1
163,6666,temporarily_blocked,travel_rewards,mastercard,35651.47,0.529,0
164,6356,closed,student,visa,33629.92,0.178,0
165,13349,reissued,travel_rewards,mastercard,26232.99,0.374,1
166,5492,closed,student,amex,36028.05,0.478,1
167,745,temporarily_blocked,travel_rewards,mastercard,39819.65,0.815,1
168,9037,reissued,cashback,mastercard,26500.24,0.868,1
169,11826,active,travel_rewards,amex,22395.6,0.695,0
170,8738,closed,student,amex,26393.29,0.437,1
171,8707,reissued,student,mastercard,35806.51,0.448,0
172,3929,active,cashback,mastercard,27060.8,0.77,0
173,10320,temporarily_blocked,travel_rewards,mastercard,35666.28,0.048,0
174,8464,reissued,premium,amex,37828.19,0.714,0
175,14084,active,premium,amex,33773.81,0.129,0
176,14253,closed,business,mastercard,8999.45,0.253,1
177,14210,closed,business,amex,26877.41,0.372,1
178,10428,temporarily_blocked,premium,amex,15850.9,0.533,0
179,14620,active,premium,mastercard,3680.85,0.931,1
180,13526,closed,premium,visa,2941.55,0.538,0
181,13987,closed,premium,amex,25463.89,0.304,0
182,1352,reissued,cashback,visa,28183.81,0.374,0
183,3742,temporarily_blocked,premium,amex,33862.41,0.484,1
184,6831,active,premium,amex,39526.43,0.314,0
185,8265,closed,premium,visa,20961.48,0.868,1
186,14098,reissued,cashback,visa,23181.94,0.856,0
187,11847,active,student,visa,15405.55,0.456,1
188,7597,active,student,amex,28769.64,0.34,0
189,10503,active,student,mastercard,17100.53,0.139,1
190,418,reissued,premium,visa,28081.07,0.916,1
191,11438,temporarily_blocked,travel_rewards,amex,36238.97,0.6,1
192,12843,temporarily_blocked,travel_rewards,amex,18255.28,0.241,1
193,5649,reissued,business,amex,17907.65,0.381,1
194,3930,closed,business,visa,30282.61,0.185,1
195,2583,active,travel_rewards,amex,30183.0,0.16,1
196,12574,reissued,premium,visa,25537.91,0.506,1
197,16010,closed,travel_rewards,amex,21595.58,0.818,0
198,7091,reissued,travel_rewards,visa,3211.62,0.597,1
199,16935,active,premium,amex,17697.22,0.284,1
200,10463,temporarily_blocked,business,mastercard,17956.49,0.423,1
201,523,reissued,cashback,visa,18669.6,0.021,1
202,9925,closed,travel_rewards,mastercard,3734.51,0.41,0
203,8254,active,business,visa,15779.67,0.272,0
204,6828,active,student,mastercard,20315.98,0.349,0
205,14621,active,travel_rewards,visa,27276.15,0.22,0
206,17503,temporarily_blocked,premium,amex,31896.0,0.708,1
207,9455,active,premium,mastercard,37838.69,0.12,0
208,14332,closed,cashback,amex,20216.77,0.814,1
209,1794,closed,travel_rewards,amex,18914.13,0.181,0
210,1176,reissued,business,visa,27757.91,0.776,1
211,11486,active,student,amex,12661.83,0.434,0
212,13451,temporarily_blocked,student,amex,29956.38,0.502,1
213,13295,reissued,premium,amex,31458.33,0.326,0
214,16980,reissued,business,visa,9168.14,0.817,1
215,15408,temporarily_blocked,travel_rewards,mastercard,36660.44,0.535,1
216,16214,closed,student,mastercard,27476.65,0.808,0
217,15044,reissued,business,visa,6130.86,0.337,0
218,4032,closed,travel_rewards,amex,11893.81,0.599,1
219,640,active,premium,visa,3326.18,0.453,0
220,2492,closed,business,visa,21792.58,0.597,0
221,14967,active,business,visa,33504.13,0.462,1
222,7665,closed,cashback,visa,8712.25,0.696,1
223,14514,temporarily_blocked,student,mastercard,19609.02,0.079,0
224,6830,closed,cashback,mastercard,37947.33,0.628,0
225,14293,reissued,student,mastercard,32890.03,0.552,1
226,1272,reissued,student,amex,35211.46,0.491,1
227,2620,temporarily_blocked,premium,visa,39234.21,0.151,1
228,16534,reissued,cashback,visa,22387.73,0.552,1
229,8097,reissued,cashback,mastercard,23064.3,0.752,1
230,5601,temporarily_blocked,cashback,mastercard,3468.81,0.857,0
231,12283,closed,student,mastercard,21332.03,0.469,1
232,9926,closed,cashback,mastercard,24480.53,0.824,1
233,13338,temporarily_blocked,business,visa,11650.11,0.264,0
234,17350,active,student,visa,29109.09,0.553,0
235,3696,closed,student,amex,31912.44,0.51,1
236,15011,reissued,cashback,visa,19920.64,0.174,0
237,7480,reissued,business,mastercard,16200.12,0.174,0
238,14717,reissued,travel_rewards,visa,4223.84,0.708,0
239,4905,temporarily_blocked,premium,visa,24482.76,0.917,1
240,4617,temporarily_blocked,business,mastercard,3029.29,0.435,0
241,12405,reissued,business,mastercard,12884.51,0.605,1
242,2982,reissued,business,mastercard,35075.61,0.188,1
243,6864,temporarily_blocked,student,visa,21904.12,0.563,0
244,9631,temporarily_blocked,premium,amex,30382.93,0.719,1
245,496,reissued,premium,mastercard,2567.72,0.193,1
246,15632,reissued,student,visa,11955.04,0.444,1
247,10322,active,business,visa,6362.12,0.072,1
248,15510,temporarily_blocked,travel_rewards,visa,752.08,0.639,1
249,5465,reissued,travel_rewards,visa,36143.59,0.198,0
250,11248,active,cashback,visa,29831.43,0.035,1
251,16858,temporarily_blocked,cashback,visa,8476.23,0.746,0
252,17650,temporarily_blocked,travel_rewards,visa,28637.34,0.32,0
253,9732,temporarily_blocked,travel_rewards,visa,27180.12,0.086,1
254,12922,active,travel_rewards,mastercard,25028.21,0.487,0
255,4548,reissued,student,amex,32549.15,0.637,1
256,14909,reissued,premium,visa,4667.35,0.185,0
257,16186,reissued,travel_rewards,visa,21291.68,0.734,0
258,11242,reissued,travel_rewards,amex,5131.45,0.766,0
259,16891,temporarily_blocked,cashback,amex,32889.37,0.38,1
260,1493,active,business,mastercard,8843.12,0.053,0
261,384,active,cashback,mastercard,34546.57,0.718,1
262,8322,reissued,premium,amex,14015.53,0.175,0
263,12134,reissued,premium,mastercard,39092.63,0.304,1
264,9929,temporarily_blocked,student,amex,4422.18,0.225,1
265,859,active,travel_rewards,amex,26163.46,0.191,1
266,13586,closed,cashback,amex,12547.74,0.634,0
267,7557,active,student,amex,4197.27,0.081,0
268,10316,closed,cashback,mastercard,22470.77,0.674,1
269,12728,closed,premium,amex,12395.46,0.428,0
270,7829,closed,business,visa,31063.26,0.319,1
271,7265,active,business,amex,20303.03,0.928,0
272,13297,reissued,premium,mastercard,17882.66,0.231,1
273,7277,closed,student,mastercard,18721.4,0.544,0
274,7866,active,premium,mastercard,27429.93,0.5,0
275,4076,active,travel_rewards,mastercard,10399.01,0.827,0
276,12428,temporarily_blocked,travel_rewards,mastercard,10912.13,0.782,0
277,1097,temporarily_blocked,business,visa,37324.19,0.44,0
278,7053,closed,student,mastercard,28065.76,0.183,1
279,11756,temporarily_blocked,premium,visa,2661.18,0.081,0
280,8511,temporarily_blocked,premium,mastercard,10814.07,0.403,0
281,8098,temporarily_blocked,business,mastercard,6074.07,0.358,1
282,5388,reissued,business,amex,2263.23,0.76,0
283,10521,temporarily_blocked,business,amex,31123.44,0.387,0
284,14883,active,student,visa,9618.12,0.463,0
285,17357,reissued,business,amex,37790.88,0.721,1
286,4574,temporarily_blocked,student,amex,10441.95,0.061,0
287,16851,reissued,student,amex,12174.67,0.69,1
288,17871,closed,travel_rewards,mastercard,5603.76,0.211,0
289,1181,reissued,student,mastercard,15638.38,0.573,1
290,17551,reissued,travel_rewards,amex,20037.68,0.645,0
291,16060,reissued,travel_rewards,visa,38529.14,0.162,0
292,5556,active,travel_rewards,amex,18217.08,0.512,0
293,4427,reissued,travel_rewards,mastercard,8156.68,0.569,0
294,4455,temporarily_blocked,premium,visa,32394.17,0.097,1
295,1336,reissued,cashback,visa,4723.59,0.467,0
296,4862,closed,cashback,visa,31420.67,0.212,0
297,16407,closed,premium,mastercard,24760.13,0.891,1
298,6082,reissued,travel_rewards,visa,30944.74,0.702,1
299,520,active,cashback,mastercard,6614.77,0.189,0
300,15981,closed,student,amex,1720.27,0.102,1
301,11547,closed,cashback,amex,7254.34,0.78,0
302,6411,active,student,amex,23438.64,0.463,1
303,14429,reissued,business,visa,1624.74,0.155,1
304,14301,reissued,student,visa,5515.62,0.38,1
305,7089,reissued,cashback,amex,17949.03,0.869,0
306,12747,temporarily_blocked,travel_rewards,mastercard,17383.85,0.832,1
307,4423,active,travel_rewards,amex,39905.32,0.252,1
308,17844,closed,premium,amex,33677.86,0.087,0
309,6349,closed,student,visa,17261.69,0.188,1
310,3778,active,cashback,mastercard,15363.88,0.804,0
311,1327,temporarily_blocked,premium,mastercard,17019.88,0.325,1
312,6579,closed,travel_rewards,mastercard,2617.08,0.344,0
313,13262,closed,travel_rewards,mastercard,31316.29,0.786,1
314,10941,active,premium,amex,26658.12,0.59,0
315,9156,closed,student,mastercard,38724.26,0.63,1
316,6857,temporarily_blocked,cashback,amex,39480.74,0.051,0
317,5816,reissued,cashback,mastercard,3980.86,0.855,0
318,2575,closed,business,amex,36237.8,0.487,1
319,8577,active,business,mastercard,39543.29,0.389,1
320,17975,closed,travel_rewards,visa,8172.81,0.749,1
321,7546,reissued,student,mastercard,19156.36,0.842,0
322,1254,closed,cashback,mastercard,24306.56,0.626,0
323,2021,temporarily_blocked,student,visa,30580.77,0.746,1
324,17502,reissued,student,amex,34473.11,0.463,1
325,784,active,premium,mastercard,20648.29,0.415,1
326,16712,closed,cashback,amex,38020.78,0.236,1
327,9654,temporarily_blocked,travel_rewards,visa,25725.68,0.089,0
328,6071,temporarily_blocked,student,amex,15485.9,0.304,1
329,9913,reissued,business,mastercard,5536.17,0.759,1
330,11978,reissued,cashback,visa,6710.69,0.471,1
331,7054,reissued,student,amex,25354.53,0.733,0
332,15290,temporarily_blocked,premium,visa,27047.9,0.408,0
333,12990,reissued,business,amex,36408.47,0.647,0
334,5364,temporarily_blocked,business,amex,5906.02,0.422,0
335,1725,reissued,cashback,visa,38385.1,0.581,1
336,4765,reissued,travel_rewards,mastercard,39954.08,0.771,1
337,8546,reissued,cashback,mastercard,17153.5,0.462,0
338,11843,temporarily_blocked,business,visa,27065.82,0.21,0
339,8296,active,cashback,amex,12604.27,0.276,0
340,2381,active,cashback,visa,35169.71,0.654,1
341,2322,temporarily_blocked,premium,amex,33773.19,0.453,1
342,5203,closed,travel_rewards,visa,22105.91,0.477,1
343,5323,active,cashback,mastercard,31706.16,0.4,0
344,15510,active,premium,mastercard,15435.2,0.321,0
345,17426,closed,business,amex,20660.22,0.083,1
346,3563,temporarily_blocked,travel_rewards,amex,33852.13,0.702,0
347,16897,temporarily_blocked,student,amex,19193.06,0.75,1
348,15759,temporarily_blocked,business,visa,9304.15,0.571,1
349,5466,closed,cashback,mastercard,23565.58,0.843,1
350,1839,closed,cashback,amex,33680.77,0.14,0
351,12235,temporarily_blocked,student,visa,11589.14,0.034,1
352,6170,reissued,travel_rewards,visa,13249.07,0.203,0
353,416,closed,business,mastercard,13308.37,0.726,0
354,13124,active,travel_rewards,mastercard,4291.51,0.387,0
355,7071,temporarily_blocked,cashback,mastercard,17298.91,0.024,0
356,11964,reissued,business,visa,29285.9,0.25,1
357,8884,temporarily_blocked,travel_rewards,mastercard,35768.76,0.851,1
358,3744,reissued,cashback,mastercard,23282.24,0.057,1
359,476,reissued,student,amex,1163.3,0.768,0
360,3545,reissued,premium,mastercard,25495.09,0.139,0
361,17234,closed,cashback,amex,23785.58,0.212,1
362,15366,active,student,mastercard,15375.41,0.078,0
363,2156,reissued,student,amex,27255.25,0.399,0
364,1465,closed,premium,visa,33584.12,0.595,0
365,14560,active,premium,amex,18010.18,0.896,1
366,6997,temporarily_blocked,student,mastercard,4712.5,0.857,1
367,12170,closed,cashback,visa,30586.68,0.304,0
368,2200,closed,cashback,amex,2363.56,0.919,1
369,11135,active,premium,amex,35426.75,0.078,1
370,7785,temporarily_blocked,business,mastercard,34817.15,0.375,0
371,3585,active,cashback,visa,15154.44,0.873,0
372,1874,closed,student,mastercard,28778.4,0.414,0
373,16139,active,business,mastercard,21460.72,0.346,0
374,13389,temporarily_blocked,travel_rewards,amex,30361.64,0.784,1
375,14573,closed,cashback,amex,6211.39,0.06,0
376,72,active,premium,amex,8252.67,0.024,0
377,3402,temporarily_blocked,premium,amex,8970.98,0.7,0
378,2500,active,travel_rewards,mastercard,22004.04,0.496,0
379,14299,closed,student,visa,28426.76,0.592,0
380,5424,active,premium,amex,10958.12,0.283,1
381,13403,temporarily_blocked,business,amex,26788.02,0.756,0
382,5151,active,travel_rewards,mastercard,32006.76,0.82,1
383,11951,temporarily_blocked,student,mastercard,33091.38,0.57,1
384,2678,temporarily_blocked,business,visa,4051.53,0.207,0
385,13535,active,travel_rewards,mastercard,1808.25,0.32,1
386,17133,reissued,travel_rewards,visa,37446.14,0.221,1
387,7668,temporarily_blocked,premium,mastercard,18195.73,0.674,0
388,9891,reissued,student,amex,28302.95,0.59,0
389,1960,closed,premium,mastercard,35295.39,0.848,0
390,5009,temporarily_blocked,cashback,visa,6023.54,0.738,1
391,7632,closed,travel_rewards,mastercard,38148.16,0.067,0
392,12322,closed,student,visa,6158.04,0.179,0
393,2575,reissued,cashback,visa,12380.62,0.365,1
394,14603,reissued,cashback,amex,21572.41,0.442,0
395,6310,reissued,premium,mastercard,36673.74,0.447,1
396,2290,temporarily_blocked,cashback,mastercard,18264.25,0.261,1
397,7527,closed,student,mastercard,2787.61,0.623,1
398,13409,reissued,business,amex,13100.91,0.831,0
399,103,closed,cashback,amex,544.04,0.146,1
400,11633,temporarily_blocked,cashback,visa,7211.31,0.042,0
401,9202,closed,travel_rewards,visa,11407.46,0.544,1
402,7405,reissued,student,mastercard,33405.12,0.661,0
403,16918,reissued,travel_rewards,amex,36626.18,0.455,1
404,14710,reissued,premium,visa,11267.64,0.445,1
405,1558,closed,business,amex,17285.15,0.227,0
406,10208,reissued,student,amex,18250.17,0.902,1
407,137,reissued,premium,visa,4746.67,0.283,1
408,7262,reissued,student,mastercard,7833.82,0.423,1
409,4219,reissued,business,amex,37791.73,0.33,0
410,17309,active,business,mastercard,39072.98,0.301,1
411,16308,temporarily_blocked,travel_rewards,visa,39706.23,0.739,0
412,10952,temporarily_blocked,cashback,mastercard,10513.8,0.632,0
413,7275,active,premium,visa,22129.97,0.199,0
414,12273,closed,cashback,mastercard,13648.72,0.231,1
415,16499,reissued,student,amex,19556.58,0.426,0
416,16486,closed,student,amex,33137.31,0.1,1
417,9712,reissued,travel_rewards,visa,12858.44,0.524,1
418,5510,active,student,visa,12032.67,0.495,0
419,15789,reissued,student,visa,19750.56,0.633,0
420,3424,active,student,mastercard,34383.09,0.104,0
421,2420,reissued,cashback,amex,28423.82,0.665,0
422,13043,closed,travel_rewards,visa,4363.75,0.825,1
423,4536,temporarily_blocked,cashback,visa,14001.83,0.702,0
424,13298,closed,travel_rewards,amex,37779.78,0.578,1
425,2864,closed,business,visa,33798.61,0.397,1
426,10973,active,student,mastercard,24756.82,0.346,0
427,8179,reissued,student,mastercard,11381.81,0.17,0
428,13964,reissued,student,visa,33217.43,0.19,1
429,6725,temporarily_blocked,cashback,amex,17741.45,0.507,0
430,13913,reissued,premium,amex,11798.96,0.253,1
431,16868,reissued,cashback,amex,39423.07,0.14,1
432,16682,reissued,cashback,visa,30707.01,0.676,0
433,6145,closed,travel_rewards,visa,17438.16,0.503,0
434,10148,temporarily_blocked,business,mastercard,16905.11,0.661,0
435,5424,active,cashback,amex,16816.86,0.086,0
436,1774,closed,premium,visa,32276.58,0.548,0
437,15603,temporarily_blocked,business,mastercard,30762.78,0.883,0
438,6178,active,student,mastercard,10059.52,0.455,1
439,17017,closed,travel_rewards,visa,11647.31,0.671,0
440,10861,reissued,travel_rewards,amex,28859.04,0.455,0
441,14520,temporarily_blocked,premium,mastercard,13469.51,0.177,1
442,7016,temporarily_blocked,student,mastercard,4549.55,0.545,1
443,17926,temporarily_blocked,travel_rewards,amex,24239.48,0.642,1
444,3272,temporarily_blocked,student,amex,34319.45,0.081,1
445,17609,reissued,cashback,amex,23196.8,0.318,1
446,1585,temporarily_blocked,premium,visa,35465.22,0.621,1
447,9267,active,student,amex,25879.9,0.114,1
448,5605,reissued,cashback,visa,1442.68,0.488,1
449,9760,closed,cashback,mastercard,29377.12,0.852,1
450,13309,closed,premium,visa,12031.2,0.485,0
451,12097,temporarily_blocked,cashback,amex,17948.65,0.807,1
452,5019,temporarily_blocked,premium,visa,23663.3,0.244,1
453,6928,reissued,cashback,visa,39870.18,0.762,0
454,3976,active,travel_rewards,mastercard,8164.79,0.213,1
455,6821,closed,student,amex,6941.74,0.779,0
456,12137,active,premium,mastercard,618.48,0.457,0
457,11372,reissued,premium,amex,37563.83,0.835,0
458,12885,reissued,business,amex,2877.46,0.318,0
459,1916,temporarily_blocked,cashback,mastercard,36052.46,0.574,0
460,2237,reissued,cashback,amex,12919.23,0.087,0
461,14860,closed,travel_rewards,amex,28594.52,0.651,1
462,13323,reissued,premium,visa,27033.04,0.69,0
463,15899,closed,travel_rewards,mastercard,21678.51,0.889,0
464,5071,active,cashback,mastercard,14905.82,0.08,1
465,2718,closed,cashback,mastercard,6604.6,0.294,0
466,15333,closed,business,mastercard,10578.48,0.665,1
467,16309,temporarily_blocked,cashback,visa,12315.64,0.722,0
468,11666,temporarily_blocked,cashback,amex,28815.81,0.276,0
469,903,active,business,visa,27310.55,0.528,1
470,11894,closed,cashback,mastercard,39698.85,0.898,0
471,9306,reissued,travel_rewards,amex,10175.02,0.168,1
472,437,reissued,student,amex,12938.49,0.477,1
473,13358,active,business,mastercard,25733.47,0.743,0
474,7374,temporarily_blocked,business,mastercard,5129.31,0.32,0
475,9689,active,travel_rewards,amex,6741.35,0.583,1
476,10941,closed,business,amex,8757.76,0.083,1
477,5508,temporarily_blocked,business,amex,12170.15,0.5,1
478,14560,reissued,student,mastercard,36356.71,0.633,1
479,17446,temporarily_blocked,cashback,mastercard,38568.18,0.47,1
480,8863,active,premium,mastercard,21364.53,0.477,1
481,1118,active,premium,amex,16325.23,0.344,0
482,10590,reissued,travel_rewards,mastercard,10059.09,0.141,1
483,3172,active,cashback,amex,3679.39,0.387,1
484,7665,active,student,mastercard,2025.06,0.466,1
485,6900,active,cashback,visa,33960.27,0.122,0
486,11415,reissued,business,mastercard,31055.87,0.184,0
487,17036,temporarily_blocked,student,amex,23227.3,0.478,1
488,12698,reissued,cashback,mastercard,1537.31,0.309,1
489,4365,closed,business,visa,4010.05,0.685,0
490,177,reissued,business,visa,3142.48,0.883,0
491,1998,reissued,cashback,amex,1058.83,0.282,1
492,13548,active,business,visa,20007.46,0.335,0
493,14254,closed,premium,mastercard,780.2,0.383,1
494,17137,reissued,premium,mastercard,5747.37,0.218,1
495,12708,active,business,mastercard,24235.73,0.384,0
496,14092,temporarily_blocked,travel_rewards,amex,18606.01,0.221,1
497,14455,closed,travel_rewards,mastercard,39511.83,0.027,0
498,13975,closed,cashback,amex,21803.85,0.623,1
499,4235,active,business,amex,26079.72,0.401,1
500,5485,temporarily_blocked,business,amex,17741.32,0.6,1
501,12442,reissued,travel_rewards,mastercard,18300.27,0.691,1
502,3800,active,cashback,amex,14455.23,0.583,1
