merchant_id,merchant_category,merchant_country,merchant_name,acquirer_region,merchant_size,card_not_present_share,chargeback_ratio,merchant_risk_band
244,luxury,uk,merchant_244,europe,mid_market,0.343,0.0501,low
245,travel,de,merchant_245,europe,micro,0.761,0.08,moderate
246,fuel,mx,merchant_246,latin_america,enterprise,0.471,0.1035,elevated
247,fuel,mx,merchant_247,latin_america,micro,0.432,0.1233,moderate
248,fuel,mx,merchant_248,latin_america,small,0.394,0.0342,low
249,gaming,br,merchant_249,latin_america,mid_market,0.146,0.1202,high
250,luxury,us,merchant_250,north_america,enterprise,0.737,0.0963,low
251,luxury,br,merchant_251,latin_america,mid_market,0.585,0.1737,moderate
252,fuel,fr,merchant_252,asia_pacific,small,0.373,0.1364,moderate
253,luxury,us,merchant_253,latin_america,small,0.774,0.1349,moderate
254,grocery,fr,merchant_254,latin_america,enterprise,0.892,0.0283,low
255,gaming,sg,merchant_255,north_america,mid_market,0.547,0.0752,high
256,digital_services,de,merchant_256,latin_america,micro,0.867,0.0894,low
257,digital_services,fr,merchant_257,europe,micro,0.189,0.1192,moderate
258,electronics,fr,merchant_258,latin_america,micro,0.182,0.1273,elevated
259,gaming,de,merchant_259,europe,enterprise,0.265,0.1446,elevated
260,grocery,fr,merchant_260,latin_america,small,0.275,0.0281,high
261,fuel,fr,merchant_261,latin_america,micro,0.017,0.0663,high
262,digital_services,uk,merchant_262,latin_america,small,0.411,0.1463,high
263,digital_services,fr,merchant_263,asia_pacific,small,0.261,0.1199,elevated
264,electronics,ae,merchant_264,europe,small,0.944,0.0081,low
265,digital_services,sg,merchant_265,europe,small,0.89,0.0486,elevated
266,luxury,fr,merchant_266,north_america,mid_market,0.258,0.141,elevated
267,gaming,de,merchant_267,north_america,mid_market,0.36,0.0524,elevated
268,travel,us,merchant_268,north_america,micro,0.553,0.06,high
269,electronics,uk,merchant_269,asia_pacific,small,0.413,0.1742,low
270,luxury,fr,merchant_270,latin_america,micro,0.677,0.0676,moderate
271,electronics,us,merchant_271,north_america,small,0.761,0.0232,high
272,digital_services,sg,merchant_272,north_america,mid_market,0.637,0.1394,low
273,digital_services,mx,merchant_273,asia_pacific,small,0.089,0.0934,elevated
274,electronics,br,merchant_274,asia_pacific,small,0.423,0.1477,elevated
275,gaming,fr,merchant_275,europe,small,0.966,0.1134,elevated
276,grocery,mx,merchant_276,asia_pacific,mid_market,0.304,0.1218,high
277,fuel,us,merchant_277,latin_america,micro,0.358,0.1765,elevated
278,fuel,fr,merchant_278,asia_pacific,small,0.671,0.1336,high
279,digital_services,fr,merchant_279,asia_pacific,enterprise,0.979,0.1193,high
280,grocery,fr,merchant_280,asia_pacific,micro,0.585,0.156,low
281,luxury,ae,merchant_281,europe,mid_market,0.758,0.1367,high
282,electronics,br,merchant_282,latin_america,micro,0.88,0.0382,moderate
283,grocery,sg,merchant_283,latin_america,micro,0.726,0.0664,low
284,travel,uk,merchant_284,north_america,enterprise,0.879,0.05,low
285,electronics,de,merchant_285,europe,mid_market,0.324,0.0665,moderate
286,fuel,fr,merchant_286,north_america,small,0.407,0.0411,high
287,gaming,uk,merchant_287,latin_america,enterprise,0.701,0.016,elevated
288,luxury,br,merchant_288,latin_america,small,0.032,0.0265,high
289,travel,br,merchant_289,north_america,enterprise,0.681,0.065,moderate
290,gaming,us,merchant_290,europe,mid_market,0.45,0.1099,high
291,travel,mx,merchant_291,europe,micro,0.113,0.1528,high
292,gaming,ae,merchant_292,latin_america,mid_market,0.879,0.0607,moderate
293,gaming,uk,merchant_293,europe,mid_market,0.923,0.104,low
294,travel,mx,merchant_294,europe,small,0.36,0.1479,elevated
295,digital_services,ae,merchant_295,north_america,small,0.566,0.0213,high
296,grocery,uk,merchant_296,asia_pacific,mid_market,0.018,0.0292,high
297,travel,us,merchant_297,europe,enterprise,0.78,0.1,moderate
298,travel,mx,merchant_298,latin_america,small,0.582,0.1547,moderate
299,luxury,sg,merchant_299,europe,mid_market,0.143,0.0965,high
300,electronics,mx,merchant_300,north_america,small,0.56,0.1561,low
301,grocery,us,merchant_301,latin_america,small,0.947,0.1442,moderate
302,fuel,us,merchant_302,asia_pacific,enterprise,0.145,0.0038,low
303,fuel,us,merchant_303,north_america,small,0.322,0.056,moderate
304,travel,uk,merchant_304,asia_pacific,mid_market,0.725,0.0931,low
305,luxury,sg,merchant_305,latin_america,mid_market,0.354,0.1097,high
306,gaming,uk,merchant_306,latin_america,enterprise,0.417,0.1676,elevated
307,gaming,sg,merchant_307,asia_pacific,small,0.653,0.1381,moderate
308,grocery,br,merchant_308,asia_pacific,small,0.443,0.1574,low
309,grocery,ae,merchant_309,latin_america,mid_market,0.881,0.0654,elevated
310,fuel,fr,merchant_310,latin_america,micro,0.153,0.0216,elevated
311,electronics,uk,merchant_311,north_america,small,0.653,0.0937,low
312,gaming,fr,merchant_312,latin_america,micro,0.941,0.128,elevated
313,electronics,mx,merchant_313,europe,mid_market,0.515,0.1013,high
314,digital_services,de,merchant_314,latin_america,small,0.258,0.1138,moderate
315,grocery,uk,merchant_315,europe,mid_market,0.518,0.1157,high
316,fuel,sg,merchant_316,north_america,small,0.331,0.1282,high
317,digital_services,uk,merchant_317,latin_america,enterprise,0.869,0.106,moderate
318,travel,ae,merchant_318,asia_pacific,enterprise,0.46,0.1348,high
319,gaming,de,merchant_319,north_america,micro,0.755,0.0622,elevated
320,travel,uk,merchant_320,asia_pacific,enterprise,0.335,0.0403,low
321,travel,mx,merchant_321,asia_pacific,micro,0.019,0.1286,low
322,luxury,de,merchant_322,europe,small,0.374,0.0945,low
323,gaming,uk,merchant_323,north_america,micro,0.861,0.0328,high
324,fuel,uk,merchant_324,latin_america,small,0.826,0.1084,moderate
325,fuel,mx,merchant_325,asia_pacific,mid_market,0.061,0.0258,high
326,luxury,uk,merchant_326,europe,small,0.435,0.1479,low
327,luxury,us,merchant_327,north_america,mid_market,0.041,0.1789,elevated
328,luxury,br,merchant_328,north_america,enterprise,0.832,0.1397,high
329,luxury,fr,merchant_329,north_america,small,0.324,0.0171,elevated
330,travel,de,merchant_330,europe,small,0.85,0.0886,low
331,grocery,fr,merchant_331,north_america,small,0.598,0.0718,moderate
332,fuel,ae,merchant_332,asia_pacific,mid_market,0.581,0.0891,low
333,travel,mx,merchant_333,latin_america,enterprise,0.028,0.1305,low
334,gaming,br,merchant_334,latin_america,enterprise,0.412,0.0643,moderate
335,travel,uk,merchant_335,asia_pacific,small,0.663,0.0297,low
336,gaming,uk,merchant_336,europe,small,0.326,0.1539,low
337,electronics,us,merchant_337,europe,mid_market,0.071,0.1455,moderate
338,luxury,us,merchant_338,latin_america,enterprise,0.891,0.0471,moderate
339,grocery,sg,merchant_339,north_america,micro,0.505,0.0614,elevated
340,luxury,sg,merchant_340,latin_america,small,0.78,0.0156,high
341,electronics,fr,merchant_341,asia_pacific,micro,0.321,0.171,low
342,digital_services,br,merchant_342,europe,micro,0.123,0.0763,low
343,luxury,ae,merchant_343,north_america,enterprise,0.942,0.0101,low
344,electronics,uk,merchant_344,latin_america,enterprise,0.119,0.0498,elevated
345,luxury,fr,merchant_345,north_america,enterprise,0.169,0.1753,low
346,luxury,de,merchant_346,north_america,mid_market,0.386,0.0945,high
347,travel,ae,merchant_347,north_america,enterprise,0.465,0.0935,low
348,digital_services,de,merchant_348,europe,mid_market,0.024,0.0839,low
349,digital_services,fr,merchant_349,asia_pacific,small,0.109,0.0987,high
350,fuel,us,merchant_350,europe,mid_market,0.23,0.0387,elevated
351,grocery,de,merchant_351,latin_america,small,0.905,0.0577,elevated
352,fuel,mx,merchant_352,asia_pacific,enterprise,0.793,0.0636,low
353,fuel,sg,merchant_353,north_america,small,0.47,0.0534,elevated
354,travel,fr,merchant_354,europe,micro,0.365,0.0522,elevated
355,electronics,de,merchant_355,asia_pacific,micro,0.828,0.1762,high
356,travel,us,merchant_356,north_america,mid_market,0.49,0.1034,elevated
357,travel,us,merchant_357,asia_pacific,micro,0.397,0.0214,elevated
358,grocery,de,merchant_358,asia_pacific,mid_market,0.228,0.0786,elevated
359,luxury,mx,merchant_359,asia_pacific,enterprise,0.782,0.149,high
360,fuel,fr,merchant_360,europe,mid_market,0.956,0.1258,high
361,digital_services,br,merchant_361,latin_america,small,0.931,0.1351,low
362,travel,ae,merchant_362,europe,mid_market,0.706,0.0284,elevated
363,fuel,ae,merchant_363,latin_america,small,0.339,0.0901,low
364,grocery,uk,merchant_364,north_america,enterprise,0.421,0.0635,elevated
365,grocery,uk,merchant_365,asia_pacific,small,0.579,0.1536,moderate
366,gaming,uk,merchant_366,north_america,small,0.74,0.0952,high
